time(ms) energy(J) GlobalRank
3607648 1977.531128 0
3607748 1978.469666 0
3607848 1979.391541 0
3607948 1980.315735 0
3608049 1981.239136 0
3608149 1982.163330 0
3608249 1983.088928 0
3608349 1984.011963 0
3608449 1984.931030 0
3608549 1985.852783 0
3608649 1986.779663 0
3608749 1987.704407 0
3608849 1988.633484 0
3608949 1989.565552 0
3609049 1990.493958 0
3609150 1991.423096 0
3609250 1992.348572 0
3609350 1993.275635 0
3609450 1994.207153 0
3609550 1995.135925 0
3609650 1996.065430 0
3609750 1996.996887 0
3609850 1997.923279 0
3609950 1998.854675 0
3610050 1999.786072 0
3610150 2000.716003 0
3610250 2001.647888 0
3610351 2002.576965 0
3610451 2003.508362 0
3610551 2004.437134 0
3610651 2005.370056 0
3610751 2006.300537 0
3610851 2007.233215 0
3610951 2008.167236 0
3611051 2009.098816 0
3611151 2010.025940 0
3611251 2010.956360 0
3611351 2011.882446 0
3611451 2012.806458 0
3611551 2013.738403 0
3611652 2014.669861 0
3611752 2015.600708 0
3611852 2016.534973 0
3611952 2017.471985 0
3612052 2018.404968 0
3612152 2019.339600 0
3612252 2020.272095 0
3612352 2021.208679 0
3612452 2022.142273 0
3612552 2023.076111 0
3612652 2024.011902 0
3612752 2024.949951 0
3612853 2025.941895 0
3612953 2026.976013 0
3613053 2027.920288 0
3613153 2028.858948 0
3613253 2029.793213 0
3613353 2030.727905 0
3613453 2031.662415 0
3613553 2032.599854 0
3613653 2033.534912 0
3613753 2034.471497 0
3613854 2035.410339 0
3613954 2036.347473 0
3614054 2037.289185 0
3614154 2038.220642 0
3614254 2039.156860 0
3614354 2040.093079 0
3614454 2041.031616 0
3614554 2041.967041 0
3614654 2042.904907 0
3614754 2043.841919 0
3614854 2044.776062 0
3614955 2045.711243 0
3615055 2046.649475 0
3615155 2047.589050 0
3615255 2048.529114 0
3615355 2049.462036 0
3615455 2050.400269 0
3615555 2051.335388 0
3615655 2052.277100 0
3615755 2053.216980 0
3615855 2054.158020 0
3615955 2055.099060 0
3616056 2056.035339 0
3616156 2056.976929 0
3616256 2057.914368 0
3616356 2058.855286 0
3616456 2059.799255 0
3616556 2060.740845 0
3616656 2061.683167 0
3616756 2062.625793 0
3616856 2063.568054 0
3616956 2064.510437 0
3617056 2065.453003 0
3617157 2066.393799 0
3617257 2067.327454 0
3617357 2068.267151 0
3617457 2069.207825 0
3617557 2070.153625 0
3617657 2071.096191 0
3617757 2072.037598 0
3617857 2072.982605 0
3617957 2073.924561 0
3618057 2074.860229 0
3618157 2075.801086 0
3618257 2076.748962 0
3618358 2077.691284 0
3618458 2078.637268 0
3618558 2079.579651 0
3618658 2080.520508 0
3618758 2081.462952 0
3618858 2082.405029 0
3618958 2083.350281 0
3619058 2084.301758 0
3619158 2085.239868 0
3619258 2086.188416 0
3619358 2087.136230 0
3619458 2088.083313 0
3619559 2089.030273 0
3619659 2089.971802 0
3619759 2090.918152 0
3619859 2091.867554 0
3619959 2092.810974 0
3620059 2093.757690 0
3620159 2094.703308 0
3620259 2095.654907 0
3620359 2096.602783 0
3620459 2097.551575 0
3620559 2098.497009 0
3620660 2099.443787 0
3620760 2100.392029 0
3620860 2101.339844 0
3620960 2102.281860 0
3621060 2103.228882 0
3621160 2104.173767 0
3621260 2105.121826 0
3621360 2106.070862 0
3621460 2107.023010 0
3621560 2107.970581 0
3621660 2108.920410 0
3621760 2109.871094 0
3621861 2110.823730 0
3621961 2111.771606 0
3622061 2112.720703 0
3622161 2113.671021 0
3622261 2114.620850 0
3622361 2115.569458 0
3622461 2116.520752 0
3622561 2117.472534 0
3622661 2118.421387 0
3622761 2119.373901 0
3622861 2120.324829 0
3622961 2121.275024 0
3623061 2122.221497 0
3623162 2123.170715 0
3623262 2124.120789 0
3623362 2125.071106 0
3623462 2126.022156 0
3623562 2126.969604 0
3623662 2127.918396 0
3623762 2128.870239 0
3623862 2129.823425 0
3623962 2130.774353 0
3624062 2131.720032 0
3624162 2132.671509 0
3624262 2133.623718 0
3624363 2134.574341 0
3624463 2135.527954 0
3624563 2136.481323 0
3624663 2137.433472 0
3624763 2138.388367 0
3624863 2139.339050 0
3624963 2140.291077 0
3625063 2141.242920 0
3625163 2142.200378 0
3625263 2143.151855 0
3625363 2144.098450 0
3625463 2145.052490 0
3625564 2146.004028 0
3625664 2146.947571 0
3625764 2147.895325 0
