time(ms) function_name moment
3607644 MPI_Barrier 0
3607644 MPI_Barrier 1
3607682 MPI_Allreduce 0
3607682 MPI_Allreduce 1
3607714 MPI_Allreduce 0
3607714 MPI_Allreduce 1
3607739 MPI_Allreduce 0
3607739 MPI_Allreduce 1
3607764 MPI_Allreduce 0
3607764 MPI_Allreduce 1
3607789 MPI_Allreduce 0
3607789 MPI_Allreduce 1
3607814 MPI_Allreduce 0
3607814 MPI_Allreduce 1
3607839 MPI_Allreduce 0
3607839 MPI_Allreduce 1
3607863 MPI_Allreduce 0
3607863 MPI_Allreduce 1
3607888 MPI_Allreduce 0
3607888 MPI_Allreduce 1
3607913 MPI_Allreduce 0
3607913 MPI_Allreduce 1
3607938 MPI_Allreduce 0
3607938 MPI_Allreduce 1
3607963 MPI_Allreduce 0
3607963 MPI_Allreduce 1
3607988 MPI_Allreduce 0
3607988 MPI_Allreduce 1
3608013 MPI_Allreduce 0
3608013 MPI_Allreduce 1
3608038 MPI_Allreduce 0
3608038 MPI_Allreduce 1
3608063 MPI_Allreduce 0
3608063 MPI_Allreduce 1
3608088 MPI_Allreduce 0
3608088 MPI_Allreduce 1
3608113 MPI_Allreduce 0
3608113 MPI_Allreduce 1
3608137 MPI_Allreduce 0
3608137 MPI_Allreduce 1
3608162 MPI_Allreduce 0
3608162 MPI_Allreduce 1
3608187 MPI_Allreduce 0
3608187 MPI_Allreduce 1
3608212 MPI_Allreduce 0
3608212 MPI_Allreduce 1
3608237 MPI_Allreduce 0
3608237 MPI_Allreduce 1
3608262 MPI_Allreduce 0
3608262 MPI_Allreduce 1
3608287 MPI_Allreduce 0
3608287 MPI_Allreduce 1
3608312 MPI_Allreduce 0
3608312 MPI_Allreduce 1
3608336 MPI_Allreduce 0
3608336 MPI_Allreduce 1
3608361 MPI_Allreduce 0
3608361 MPI_Allreduce 1
3608386 MPI_Allreduce 0
3608386 MPI_Allreduce 1
3608411 MPI_Allreduce 0
3608411 MPI_Allreduce 1
3608436 MPI_Allreduce 0
3608436 MPI_Allreduce 1
3608461 MPI_Allreduce 0
3608461 MPI_Allreduce 1
3608486 MPI_Allreduce 0
3608486 MPI_Allreduce 1
3608511 MPI_Allreduce 0
3608511 MPI_Allreduce 1
3608536 MPI_Allreduce 0
3608536 MPI_Allreduce 1
3608561 MPI_Allreduce 0
3608561 MPI_Allreduce 1
3608586 MPI_Allreduce 0
3608586 MPI_Allreduce 1
3608611 MPI_Allreduce 0
3608611 MPI_Allreduce 1
3608636 MPI_Allreduce 0
3608636 MPI_Allreduce 1
3608660 MPI_Allreduce 0
3608660 MPI_Allreduce 1
3608685 MPI_Allreduce 0
3608685 MPI_Allreduce 1
3608710 MPI_Allreduce 0
3608710 MPI_Allreduce 1
3608735 MPI_Allreduce 0
3608735 MPI_Allreduce 1
3608760 MPI_Allreduce 0
3608760 MPI_Allreduce 1
3608785 MPI_Allreduce 0
3608785 MPI_Allreduce 1
3608810 MPI_Allreduce 0
3608810 MPI_Allreduce 1
3608835 MPI_Allreduce 0
3608835 MPI_Allreduce 1
3608860 MPI_Allreduce 0
3608860 MPI_Allreduce 1
3608885 MPI_Allreduce 0
3608885 MPI_Allreduce 1
3608910 MPI_Allreduce 0
3608910 MPI_Allreduce 1
3608935 MPI_Allreduce 0
3608935 MPI_Allreduce 1
3608960 MPI_Allreduce 0
3608960 MPI_Allreduce 1
3608985 MPI_Allreduce 0
3608985 MPI_Allreduce 1
3609009 MPI_Allreduce 0
3609009 MPI_Allreduce 1
3609034 MPI_Allreduce 0
3609034 MPI_Allreduce 1
3609059 MPI_Allreduce 0
3609059 MPI_Allreduce 1
3609084 MPI_Allreduce 0
3609084 MPI_Allreduce 1
3609109 MPI_Allreduce 0
3609109 MPI_Allreduce 1
3609134 MPI_Allreduce 0
3609134 MPI_Allreduce 1
3609159 MPI_Allreduce 0
3609159 MPI_Allreduce 1
3609184 MPI_Allreduce 0
3609184 MPI_Allreduce 1
3609209 MPI_Allreduce 0
3609209 MPI_Allreduce 1
3609233 MPI_Allreduce 0
3609233 MPI_Allreduce 1
3609259 MPI_Allreduce 0
3609259 MPI_Allreduce 1
3609283 MPI_Allreduce 0
3609283 MPI_Allreduce 1
3609308 MPI_Allreduce 0
3609308 MPI_Allreduce 1
3609333 MPI_Allreduce 0
3609333 MPI_Allreduce 1
3609358 MPI_Allreduce 0
3609358 MPI_Allreduce 1
3609383 MPI_Allreduce 0
3609383 MPI_Allreduce 1
3609408 MPI_Allreduce 0
3609408 MPI_Allreduce 1
3609433 MPI_Allreduce 0
3609433 MPI_Allreduce 1
3609458 MPI_Allreduce 0
3609458 MPI_Allreduce 1
3609483 MPI_Allreduce 0
3609483 MPI_Allreduce 1
3609508 MPI_Allreduce 0
3609508 MPI_Allreduce 1
3609533 MPI_Allreduce 0
3609533 MPI_Allreduce 1
3609557 MPI_Allreduce 0
3609557 MPI_Allreduce 1
3609582 MPI_Allreduce 0
3609582 MPI_Allreduce 1
3609607 MPI_Allreduce 0
3609607 MPI_Allreduce 1
3609632 MPI_Allreduce 0
3609632 MPI_Allreduce 1
3609657 MPI_Allreduce 0
3609657 MPI_Allreduce 1
3609682 MPI_Allreduce 0
3609682 MPI_Allreduce 1
3609707 MPI_Allreduce 0
3609707 MPI_Allreduce 1
3609732 MPI_Allreduce 0
3609732 MPI_Allreduce 1
3609757 MPI_Allreduce 0
3609757 MPI_Allreduce 1
3609782 MPI_Allreduce 0
3609782 MPI_Allreduce 1
3609807 MPI_Allreduce 0
3609807 MPI_Allreduce 1
3609832 MPI_Allreduce 0
3609832 MPI_Allreduce 1
3609857 MPI_Allreduce 0
3609857 MPI_Allreduce 1
3609882 MPI_Allreduce 0
3609882 MPI_Allreduce 1
3609906 MPI_Allreduce 0
3609906 MPI_Allreduce 1
3609931 MPI_Allreduce 0
3609931 MPI_Allreduce 1
3609956 MPI_Allreduce 0
3609956 MPI_Allreduce 1
3609981 MPI_Allreduce 0
3609981 MPI_Allreduce 1
3610006 MPI_Allreduce 0
3610006 MPI_Allreduce 1
3610031 MPI_Allreduce 0
3610031 MPI_Allreduce 1
3610056 MPI_Allreduce 0
3610056 MPI_Allreduce 1
3610081 MPI_Allreduce 0
3610081 MPI_Allreduce 1
3610106 MPI_Allreduce 0
3610106 MPI_Allreduce 1
3610131 MPI_Allreduce 0
3610131 MPI_Allreduce 1
3610156 MPI_Allreduce 0
3610156 MPI_Allreduce 1
3610181 MPI_Allreduce 0
3610181 MPI_Allreduce 1
3610205 MPI_Allreduce 0
3610205 MPI_Allreduce 1
3610230 MPI_Allreduce 0
3610230 MPI_Allreduce 1
3610255 MPI_Allreduce 0
3610255 MPI_Allreduce 1
3610280 MPI_Allreduce 0
3610280 MPI_Allreduce 1
3610305 MPI_Allreduce 0
3610305 MPI_Allreduce 1
3610330 MPI_Allreduce 0
3610330 MPI_Allreduce 1
3610355 MPI_Allreduce 0
3610355 MPI_Allreduce 1
3610380 MPI_Allreduce 0
3610380 MPI_Allreduce 1
3610405 MPI_Allreduce 0
3610405 MPI_Allreduce 1
3610430 MPI_Allreduce 0
3610430 MPI_Allreduce 1
3610455 MPI_Allreduce 0
3610455 MPI_Allreduce 1
3610480 MPI_Allreduce 0
3610480 MPI_Allreduce 1
3610505 MPI_Allreduce 0
3610505 MPI_Allreduce 1
3610530 MPI_Allreduce 0
3610530 MPI_Allreduce 1
3610555 MPI_Allreduce 0
3610555 MPI_Allreduce 1
3610580 MPI_Allreduce 0
3610580 MPI_Allreduce 1
3610605 MPI_Allreduce 0
3610605 MPI_Allreduce 1
3610630 MPI_Allreduce 0
3610630 MPI_Allreduce 1
3610655 MPI_Allreduce 0
3610655 MPI_Allreduce 1
3610679 MPI_Allreduce 0
3610679 MPI_Allreduce 1
3610704 MPI_Allreduce 0
3610704 MPI_Allreduce 1
3610729 MPI_Allreduce 0
3610729 MPI_Allreduce 1
3610754 MPI_Allreduce 0
3610754 MPI_Allreduce 1
3610779 MPI_Allreduce 0
3610779 MPI_Allreduce 1
3610804 MPI_Allreduce 0
3610804 MPI_Allreduce 1
3610829 MPI_Allreduce 0
3610829 MPI_Allreduce 1
3610854 MPI_Allreduce 0
3610854 MPI_Allreduce 1
3610879 MPI_Allreduce 0
3610879 MPI_Allreduce 1
3610904 MPI_Allreduce 0
3610904 MPI_Allreduce 1
3610929 MPI_Allreduce 0
3610929 MPI_Allreduce 1
3610954 MPI_Allreduce 0
3610954 MPI_Allreduce 1
3610979 MPI_Allreduce 0
3610979 MPI_Allreduce 1
3611004 MPI_Allreduce 0
3611004 MPI_Allreduce 1
3611028 MPI_Allreduce 0
3611028 MPI_Allreduce 1
3611053 MPI_Allreduce 0
3611053 MPI_Allreduce 1
3611078 MPI_Allreduce 0
3611078 MPI_Allreduce 1
3611103 MPI_Allreduce 0
3611103 MPI_Allreduce 1
3611128 MPI_Allreduce 0
3611128 MPI_Allreduce 1
3611153 MPI_Allreduce 0
3611153 MPI_Allreduce 1
3611178 MPI_Allreduce 0
3611178 MPI_Allreduce 1
3611203 MPI_Allreduce 0
3611203 MPI_Allreduce 1
3611228 MPI_Allreduce 0
3611228 MPI_Allreduce 1
3611253 MPI_Allreduce 0
3611253 MPI_Allreduce 1
3611278 MPI_Allreduce 0
3611278 MPI_Allreduce 1
3611303 MPI_Allreduce 0
3611303 MPI_Allreduce 1
3611328 MPI_Allreduce 0
3611328 MPI_Allreduce 1
3611353 MPI_Allreduce 0
3611353 MPI_Allreduce 1
3611378 MPI_Allreduce 0
3611378 MPI_Allreduce 1
3611403 MPI_Allreduce 0
3611403 MPI_Allreduce 1
3611428 MPI_Allreduce 0
3611428 MPI_Allreduce 1
3611453 MPI_Allreduce 0
3611453 MPI_Allreduce 1
3611478 MPI_Allreduce 0
3611478 MPI_Allreduce 1
3611503 MPI_Allreduce 0
3611503 MPI_Allreduce 1
3611528 MPI_Allreduce 0
3611528 MPI_Allreduce 1
3611553 MPI_Allreduce 0
3611553 MPI_Allreduce 1
3611577 MPI_Allreduce 0
3611577 MPI_Allreduce 1
3611602 MPI_Allreduce 0
3611602 MPI_Allreduce 1
3611627 MPI_Allreduce 0
3611627 MPI_Allreduce 1
3611652 MPI_Allreduce 0
3611652 MPI_Allreduce 1
3611677 MPI_Allreduce 0
3611677 MPI_Allreduce 1
3611702 MPI_Allreduce 0
3611702 MPI_Allreduce 1
3611727 MPI_Allreduce 0
3611727 MPI_Allreduce 1
3611752 MPI_Allreduce 0
3611752 MPI_Allreduce 1
3611777 MPI_Allreduce 0
3611777 MPI_Allreduce 1
3611802 MPI_Allreduce 0
3611802 MPI_Allreduce 1
3611827 MPI_Allreduce 0
3611827 MPI_Allreduce 1
3611852 MPI_Allreduce 0
3611852 MPI_Allreduce 1
3611877 MPI_Allreduce 0
3611877 MPI_Allreduce 1
3611902 MPI_Allreduce 0
3611902 MPI_Allreduce 1
3611927 MPI_Allreduce 0
3611927 MPI_Allreduce 1
3611952 MPI_Allreduce 0
3611952 MPI_Allreduce 1
