FUNCTION, MPI_Waitall start, 998822049 ms, 8323329
FUNCTION, MPI_Waitall end, 998822050 ms, 8323329
FUNCTION, MPI_Wait start, 998822050 ms, 8323329
FUNCTION, MPI_Wait end, 998822051 ms, 8323329
FUNCTION, MPI_Wait start, 998822051 ms, 8323329
FUNCTION, MPI_Wait end, 998822051 ms, 8323329
FUNCTION, MPI_Wait start, 998822052 ms, 8323329
FUNCTION, MPI_Wait end, 998822052 ms, 8323329
FUNCTION, MPI_Wait start, 998822052 ms, 8323329
FUNCTION, MPI_Wait end, 998822052 ms, 8323329
FUNCTION, MPI_Wait start, 998822053 ms, 8323329
FUNCTION, MPI_Wait end, 998822053 ms, 8323329
FUNCTION, MPI_Wait start, 998822053 ms, 8323329
FUNCTION, MPI_Wait end, 998822053 ms, 8323329
FUNCTION, MPI_Wait start, 998822053 ms, 8323329
FUNCTION, MPI_Wait end, 998822054 ms, 8323329
FUNCTION, MPI_Barrier start, 998822054 ms, 8323329
FUNCTION, MPI_Barrier end, 998822056 ms, 8323329
FUNCTION, MPI_Waitall start, 998822295 ms, 8323329
FUNCTION, MPI_Waitall end, 998822295 ms, 8323329
FUNCTION, MPI_Wait start, 998822295 ms, 8323329
FUNCTION, MPI_Wait end, 998822295 ms, 8323329
FUNCTION, MPI_Wait start, 998822296 ms, 8323329
FUNCTION, MPI_Wait end, 998822301 ms, 8323329
FUNCTION, MPI_Wait start, 998822324 ms, 8323329
FUNCTION, MPI_Wait end, 998822332 ms, 8323329
FUNCTION, MPI_Wait start, 998822336 ms, 8323329
FUNCTION, MPI_Wait end, 998822336 ms, 8323329
FUNCTION, MPI_Wait start, 998822336 ms, 8323329
FUNCTION, MPI_Wait end, 998822336 ms, 8323329
FUNCTION, MPI_Wait start, 998822336 ms, 8323329
FUNCTION, MPI_Wait end, 998822337 ms, 8323329
FUNCTION, MPI_Wait start, 998822337 ms, 8323329
FUNCTION, MPI_Wait end, 998822337 ms, 8323329
FUNCTION, MPI_Waitall start, 998822411 ms, 8323329
FUNCTION, MPI_Waitall end, 998822411 ms, 8323329
FUNCTION, MPI_Wait start, 998822411 ms, 8323329
FUNCTION, MPI_Wait end, 998822411 ms, 8323329
FUNCTION, MPI_Wait start, 998822414 ms, 8323329
FUNCTION, MPI_Wait end, 998822417 ms, 8323329
FUNCTION, MPI_Wait start, 998822419 ms, 8323329
FUNCTION, MPI_Wait end, 998822420 ms, 8323329
FUNCTION, MPI_Waitall start, 998822472 ms, 8323329
FUNCTION, MPI_Waitall end, 998822472 ms, 8323329
FUNCTION, MPI_Wait start, 998822472 ms, 8323329
FUNCTION, MPI_Wait end, 998822482 ms, 8323329
FUNCTION, MPI_Wait start, 998822482 ms, 8323329
FUNCTION, MPI_Wait end, 998822482 ms, 8323329
FUNCTION, MPI_Wait start, 998822482 ms, 8323329
FUNCTION, MPI_Wait end, 998822483 ms, 8323329
