time(ms) energy(J) hostname
129523627 0.000000 box
129523727 1.203064 box
129523827 1.243958 box
129523927 1.246216 box
129524027 1.247498 box
129524127 1.246216 box
129524227 1.245728 box
129524327 1.246887 box
129524427 1.245422 box
129524527 1.247314 box
129524627 1.245361 box
129524727 1.245972 box
129524827 1.246887 box
129524927 1.245300 box
129525027 1.246033 box
129525127 1.247009 box
129525227 1.246033 box
129525327 1.246643 box
129525427 1.246704 box
129525527 1.246033 box
129525627 1.245422 box
129525727 1.247498 box
129525827 1.246033 box
129525927 1.245300 box
129526027 1.246460 box
129526127 1.246216 box
129526227 1.245056 box
129526327 1.246399 box
129526427 1.245850 box
129526527 1.246704 box
129526627 1.246277 box
129526727 1.244873 box
129526827 1.246948 box
129526927 1.245850 box
129527027 1.249451 box
129527127 1.245911 box
129527227 1.245789 box
129527327 1.246155 box
129527427 1.226624 box
129527527 1.083801 box
129527627 1.127686 box
129527727 1.246033 box
129527827 1.246460 box
129527927 1.246338 box
129528027 1.245850 box
129528127 1.245483 box
129528227 1.242981 box
129528327 1.245850 box
129528427 1.246765 box
129528527 1.248596 box
129528627 1.244080 box
129528727 1.247742 box
129528827 1.247009 box
129528927 1.246399 box
129529027 1.248047 box
129529127 1.246094 box
129529227 1.246216 box
129529327 1.246460 box
129529427 1.246338 box
129529527 1.246521 box
129529627 1.246033 box
129529727 1.238403 box
129529827 1.249695 box
129529927 1.246765 box
129530027 1.248169 box
129530127 1.247070 box
129530227 1.246765 box
129530327 1.246887 box
129530427 1.246399 box
129530527 1.245850 box
129530627 1.247253 box
129530727 1.245850 box
129530827 1.246155 box
129530927 1.246277 box
129531027 1.247253 box
129531127 1.245728 box
129531227 1.247620 box
129531327 1.244751 box
129531427 1.245239 box
129531527 1.247559 box
129531627 1.247192 box
129531727 1.247192 box
129531827 1.246521 box
129531927 1.246643 box
129532027 1.246521 box
129532127 1.246338 box
129532227 1.246155 box
129532327 1.246887 box
129532427 1.246216 box
129532527 1.246826 box
129532627 1.246826 box
129532727 1.246277 box
129532827 1.242065 box
129532927 1.246399 box
129533027 1.249084 box
129533127 1.245789 box
129533227 1.247131 box
129533327 1.246399 box
129533427 1.246582 box
129533527 1.246643 box
129533627 1.246460 box
129533727 1.246277 box
129533827 1.246643 box
129533927 1.245544 box
