time(ms) energy(J) hostname
130926037 0.000000 box
130926137 1.358459 box
130926237 1.446167 box
130926337 1.436462 box
130926437 1.421387 box
130926537 1.393494 box
130926637 1.394897 box
130926737 1.394958 box
130926837 1.393860 box
130926937 1.397339 box
130927037 1.394470 box
130927137 1.396851 box
130927237 1.396423 box
130927337 1.396118 box
130927437 1.396362 box
130927537 1.396851 box
130927637 1.397095 box
130927737 1.400085 box
130927837 1.397400 box
130927937 1.398865 box
130928037 1.398743 box
130928137 1.399658 box
130928237 1.398438 box
130928337 1.400696 box
130928437 1.399719 box
130928537 1.401001 box
130928637 1.397461 box
130928737 1.400818 box
130928837 1.400208 box
130928937 1.399475 box
130929037 1.401917 box
130929137 1.401306 box
130929237 1.402283 box
130929337 1.497925 box
130929437 1.495056 box
130929537 1.496033 box
130929637 1.434875 box
130929737 1.096436 box
130929837 1.139038 box
130929937 1.497925 box
130930037 1.496765 box
130930137 1.496887 box
130930237 1.495300 box
130930337 1.496155 box
130930437 1.491394 box
130930537 1.461731 box
130930637 1.496033 box
130930737 1.495789 box
130930837 1.498657 box
130930937 1.495239 box
130931037 1.496948 box
130931137 1.495789 box
130931237 1.496155 box
130931337 1.495544 box
130931437 1.496155 box
130931537 1.497253 box
130931637 1.496033 box
130931737 1.493896 box
130931837 1.491638 box
130931937 1.468384 box
130932037 1.496887 box
130932137 1.496582 box
130932237 1.495972 box
130932337 1.497009 box
130932437 1.496277 box
130932537 1.497070 box
130932637 1.495605 box
130932737 1.497375 box
130932837 1.495300 box
130932937 1.497009 box
130933037 1.495789 box
130933137 1.495483 box
130933237 1.485840 box
130933337 1.469116 box
130933437 1.496521 box
130933537 1.495728 box
130933637 1.497742 box
130933737 1.497375 box
130933837 1.495728 box
130933937 1.497009 box
130934037 1.496460 box
130934137 1.496033 box
130934237 1.495605 box
130934337 1.497070 box
130934437 1.495789 box
130934537 1.496338 box
130934637 1.489319 box
130934737 1.486084 box
130934837 1.471924 box
130934937 1.494690 box
130935037 1.498230 box
130935137 1.496216 box
130935237 1.496216 box
130935337 1.495667 box
130935437 1.496338 box
130935537 1.496521 box
130935637 1.495300 box
130935737 1.496155 box
130935837 1.497375 box
130935937 1.496582 box
130936037 1.489929 box
130936137 1.495972 box
130936237 1.462463 box
130936337 1.495667 box
130936437 1.496277 box
130936537 1.496582 box
130936637 1.496765 box
130936737 1.496338 box
130936837 1.495972 box
130936937 1.496521 box
130937037 1.495361 box
130937137 1.496521 box
130937237 1.497437 box
130937337 1.496216 box
130937437 1.493652 box
130937537 1.492126 box
130937637 1.459961 box
130937737 1.496277 box
130937837 1.496216 box
130937937 1.496765 box
130938037 1.496277 box
130938137 1.496277 box
130938237 1.496521 box
130938337 1.496399 box
130938437 1.496460 box
130938537 1.495972 box
130938637 1.498169 box
130938737 1.495422 box
130938837 1.494385 box
130938937 1.493408 box
130939037 1.465942 box
130939137 1.496643 box
130939237 1.495789 box
130939337 1.497803 box
130939437 1.496704 box
130939537 1.495605 box
130939637 1.496521 box
130939737 1.496643 box
130939837 1.496582 box
130939937 1.495789 box
130940037 1.497009 box
130940137 1.495911 box
130940237 1.495178 box
130940337 1.490417 box
130940437 1.460022 box
130940537 1.496399 box
130940637 1.497925 box
130940737 1.497009 box
130940837 1.496338 box
130940937 1.496399 box
130941037 1.495605 box
130941137 1.496643 box
130941237 1.496460 box
130941337 1.495239 box
130941437 1.497986 box
130941537 1.496582 box
130941637 1.497314 box
130941737 1.490662 box
130941837 1.481812 box
130941937 1.480835 box
130942037 1.496887 box
130942137 1.497986 box
130942237 1.495422 box
