time(ms) energy(J) hostname
146145726 0.000000 box
146145826 1.134888 box
146145926 1.406189 box
146146026 1.406494 box
146146126 1.395691 box
146146226 1.389465 box
146146326 1.391968 box
146146426 1.389221 box
146146526 1.389221 box
146146626 1.388794 box
146146726 1.388611 box
146146826 1.390930 box
146146926 1.389221 box
146147026 1.392761 box
146147126 1.374451 box
146147226 1.405762 box
146147326 1.390381 box
146147426 1.391907 box
146147526 1.391235 box
146147626 1.390564 box
146147726 1.390747 box
146147826 1.392517 box
146147926 1.391235 box
146148026 1.378723 box
146148126 1.405212 box
146148226 1.391113 box
146148326 1.393005 box
146148426 1.393250 box
146148526 1.393005 box
146148626 1.394104 box
146148726 1.392883 box
146148826 1.393494 box
146148926 1.393677 box
146149026 1.446533 box
146149126 1.445740 box
146149226 1.445740 box
146149326 1.443420 box
146149426 1.139465 box
146149526 1.090881 box
146149626 1.406250 box
146149726 1.445923 box
146149826 1.447266 box
146149926 1.445496 box
146150026 1.445496 box
146150126 1.443481 box
146150226 1.435730 box
146150326 1.435120 box
146150426 1.445679 box
146150526 1.448120 box
146150626 1.446350 box
146150726 1.446960 box
146150826 1.446838 box
146150926 1.445679 box
146151026 1.445312 box
146151126 1.447449 box
146151226 1.446228 box
146151326 1.446899 box
146151426 1.445129 box
146151526 1.445129 box
146151626 1.442871 box
146151726 1.431641 box
146151826 1.446350 box
146151926 1.447449 box
146152026 1.446350 box
146152126 1.446716 box
146152226 1.445801 box
146152326 1.446472 box
146152426 1.445374 box
146152526 1.446594 box
146152626 1.446045 box
146152726 1.445984 box
146152826 1.445435 box
146152926 1.445129 box
146153026 1.445740 box
146153126 1.428772 box
146153226 1.445435 box
146153326 1.446533 box
146153426 1.447144 box
146153526 1.447571 box
146153626 1.446716 box
146153726 1.445862 box
146153826 1.446228 box
146153926 1.445862 box
146154026 1.445068 box
146154126 1.446960 box
146154226 1.446228 box
146154326 1.445374 box
146154426 1.445312 box
146154526 1.440308 box
146154626 1.435181 box
146154726 1.446411 box
146154826 1.446838 box
146154926 1.445496 box
146155026 1.447144 box
146155126 1.446045 box
146155226 1.446960 box
146155326 1.446655 box
146155426 1.445862 box
146155526 1.445679 box
146155626 1.447937 box
146155726 1.445374 box
146155826 1.443909 box
146155926 1.446472 box
146156026 1.423096 box
146156126 1.445801 box
146156226 1.447144 box
146156326 1.446899 box
146156426 1.446411 box
146156526 1.446289 box
146156626 1.446228 box
