time(ms) energy(J) hostname
142648596 0.000000 box
142648696 1.084229 box
142648796 1.444702 box
142648896 1.448730 box
142648996 1.418884 box
142649096 1.421143 box
142649196 1.434082 box
142649296 1.407959 box
142649396 1.434937 box
142649496 1.408997 box
142649596 1.435181 box
142649696 1.421997 box
142649796 1.422180 box
142649896 1.408508 box
142649996 1.435730 box
142650096 1.409241 box
142650196 1.421936 box
142650296 1.423584 box
142650396 1.422424 box
142650496 1.435791 box
142650596 1.409851 box
142650696 1.435120 box
142650796 1.423096 box
142650896 1.423279 box
142650996 1.409851 box
142651096 1.435852 box
142651196 1.409668 box
142651296 1.422241 box
142651396 1.422852 box
142651496 1.424011 box
142651596 1.435120 box
142651696 1.409668 box
142651796 1.423340 box
142651896 1.508301 box
142651996 1.481995 box
142652096 1.510498 box
142652196 1.490967 box
142652296 1.200317 box
142652396 1.113037 box
142652496 1.411804 box
142652596 1.496826 box
142652696 1.495178 box
142652796 1.496033 box
142652896 1.496826 box
142652996 1.494324 box
142653096 1.490417 box
142653196 1.474121 box
142653296 1.496521 box
142653396 1.498962 box
142653496 1.498291 box
142653596 1.497192 box
142653696 1.496521 box
142653796 1.496826 box
142653896 1.495544 box
142653996 1.495667 box
142654096 1.497803 box
142654196 1.496704 box
142654296 1.494934 box
142654396 1.491516 box
142654496 1.468140 box
142654596 1.498962 box
142654696 1.497620 box
142654796 1.497253 box
142654896 1.496216 box
142654996 1.496948 box
142655096 1.496826 box
142655196 1.495483 box
142655296 1.496887 box
142655396 1.496033 box
142655496 1.497314 box
142655596 1.495667 box
142655696 1.496094 box
142655796 1.492310 box
142655896 1.491089 box
142655996 1.482361 box
142656096 1.496948 box
142656196 1.496460 box
142656296 1.495850 box
142656396 1.497437 box
142656496 1.497253 box
142656596 1.495361 box
142656696 1.496765 box
142656796 1.495667 box
142656896 1.495728 box
142656996 1.498169 box
142657096 1.495972 box
142657196 1.492004 box
142657296 1.492371 box
142657396 1.479919 box
142657496 1.496460 box
142657596 1.497498 box
142657696 1.496155 box
142657796 1.497009 box
142657896 1.496765 box
142657996 1.496399 box
142658096 1.495422 box
142658196 1.496948 box
142658296 1.495789 box
142658396 1.497070 box
142658496 1.496460 box
142658596 1.494263 box
142658696 1.490601 box
142658796 1.474915 box
142658896 1.496399 box
142658996 1.495728 box
142659096 1.497314 box
142659196 1.497742 box
142659296 1.496033 box
142659396 1.496704 box
142659496 1.496399 box
142659596 1.496460 box
142659696 1.496033 box
142659796 1.497620 box
142659896 1.495605 box
142659996 1.495605 box
142660096 1.492004 box
142660196 1.472839 box
142660296 1.496521 box
142660396 1.497498 box
142660496 1.496704 box
142660596 1.496399 box
142660696 1.495911 box
142660796 1.496521 box
142660896 1.495911 box
142660996 1.496521 box
142661096 1.495728 box
142661196 1.497192 box
142661296 1.496704 box
142661396 1.494934 box
142661496 1.491211 box
142661596 1.491333 box
142661696 1.477112 box
142661796 1.496155 box
142661896 1.497498 box
142661996 1.494202 box
142662096 1.498779 box
142662196 1.496155 box
142662296 1.496338 box
142662396 1.495728 box
142662496 1.497070 box
142662596 1.495361 box
142662696 1.497681 box
142662796 1.495911 box
142662896 1.491821 box
142662996 1.491638 box
142663096 1.472839 box
142663196 1.495789 box
142663296 1.497986 box
142663396 1.495911 box
142663496 1.495728 box
142663596 1.496887 box
142663696 1.496216 box
142663796 1.496399 box
142663896 1.495728 box
142663996 1.496094 box
142664096 1.497314 box
142664196 1.496155 box
142664296 1.494690 box
142664396 1.491760 box
142664496 1.473206 box
142664596 1.496094 box
142664696 1.495728 box
142664796 1.498352 box
142664896 1.496094 box
142664996 1.495483 box
142665096 1.496033 box
142665196 1.496155 box
142665296 1.496277 box
142665396 1.496399 box
142665496 1.496826 box
142665596 1.495850 box
142665696 1.495789 box
142665796 1.492615 box
142665896 1.473816 box
142665996 1.495850 box
142666096 1.496521 box
142666196 1.497498 box
142666296 1.495972 box
142666396 1.495728 box
142666496 1.495911 box
142666596 1.496643 box
142666696 1.496826 box
142666796 1.495422 box
142666896 1.497681 box
142666996 1.495850 box
142667096 1.494873 box
142667196 1.492249 box
142667296 1.485535 box
142667396 1.477356 box
142667496 1.495667 box
142667596 1.497375 box
142667696 1.495728 box
142667796 1.498840 box
142667896 1.495667 box
142667996 1.495911 box
142668096 1.496399 box
142668196 1.496277 box
142668296 1.495728 box
142668396 1.497986 box
142668496 1.494751 box
142668596 1.490112 box
142668696 1.497375 box
142668796 1.469177 box
142668896 1.496277 box
142668996 1.498230 box
142669096 1.495911 box
142669196 1.496399 box
142669296 1.497009 box
142669396 1.496216 box
142669496 1.495605 box
142669596 1.498962 box
142669696 1.495605 box
142669796 1.497986 box
142669896 1.496521 box
142669996 1.493042 box
142670096 1.494629 box
142670196 1.470703 box
142670296 1.496765 box
142670396 1.496338 box
142670496 1.498962 box
142670596 1.495422 box
142670696 1.497131 box
142670796 1.496765 box
142670896 1.496216 box
142670996 1.496948 box
142671096 1.495728 box
142671196 1.497375 box
142671296 1.496765 box
142671396 1.494507 box
142671496 1.489746 box
142671596 1.474976 box
142671696 1.496338 box
142671796 1.495972 box
142671896 1.498169 box
142671996 1.497253 box
142672096 1.496277 box
142672196 1.496216 box
142672296 1.496704 box
142672396 1.495972 box
142672496 1.496033 box
142672596 1.496704 box
142672696 1.496033 box
142672796 1.495544 box
142672896 1.493958 box
142672996 1.483765 box
142673096 1.487061 box
142673196 1.495361 box
142673296 1.498047 box
142673396 1.496094 box
142673496 1.496216 box
142673596 1.496216 box
142673696 1.495483 box
142673796 1.495850 box
142673896 1.495789 box
142673996 1.496582 box
142674096 1.497620 box
142674196 1.495422 box
142674296 1.488037 box
142674396 1.496582 box
142674496 1.468994 box
142674596 1.496643 box
142674696 1.496704 box
142674796 1.496155 box
142674896 1.497437 box
142674996 1.496216 box
142675096 1.496033 box
142675196 1.497009 box
142675296 1.495972 box
142675396 1.495544 box
142675496 1.498352 box
142675596 1.496460 box
142675696 1.492920 box
142675796 1.493408 box
142675896 1.473145 box
142675996 1.495728 box
142676096 1.496094 box
142676196 1.497009 box
142676296 1.497131 box
142676396 1.496155 box
142676496 1.496094 box
142676596 1.496277 box
142676696 1.496521 box
142676796 1.496094 box
142676896 1.497253 box
142676996 1.496704 box
142677096 1.494812 box
142677196 1.493530 box
142677296 1.472656 box
142677396 1.496643 box
142677496 1.496216 box
142677596 1.496521 box
142677696 1.496033 box
142677796 1.497742 box
142677896 1.495789 box
142677996 1.495972 box
142678096 1.495605 box
142678196 1.496338 box
142678296 1.497253 box
142678396 1.495361 box
142678496 1.495972 box
142678596 1.493591 box
142678696 1.488342 box
142678796 1.490601 box
142678896 1.495667 box
142678996 1.497375 box
142679096 1.496887 box
142679196 1.496643 box
142679296 1.496399 box
142679396 1.495789 box
142679496 1.496399 box
142679596 1.495850 box
142679696 1.494995 box
142679796 1.497925 box
142679896 1.495361 box
142679996 1.490051 box
142680096 1.495422 box
142680196 1.478333 box
142680296 1.497192 box
142680396 1.497009 box
142680496 1.496399 box
142680596 1.497620 box
142680696 1.495850 box
142680796 1.496399 box
142680896 1.496155 box
142680996 1.495972 box
142681096 1.496033 box
142681196 1.497559 box
142681296 1.496338 box
142681396 1.493164 box
142681496 1.494080 box
142681596 1.486511 box
142681696 1.495911 box
142681796 1.497314 box
142681896 1.496765 box
142681996 1.496277 box
142682096 1.497009 box
142682196 1.495850 box
142682296 1.496826 box
142682396 1.495728 box
142682496 1.496277 box
142682596 1.497131 box
142682696 1.495972 box
142682796 1.495483 box
142682896 1.487976 box
142682996 1.475586 box
142683096 1.497620 box
142683196 1.496582 box
142683296 1.496277 box
142683396 1.496399 box
142683496 1.496765 box
142683596 1.496521 box
142683696 1.495667 box
142683796 1.495850 box
142683896 1.495300 box
142683996 1.497314 box
142684096 1.496704 box
142684196 1.496460 box
142684296 1.492615 box
142684396 1.484253 box
142684496 1.482178 box
142684596 1.495911 box
142684696 1.497620 box
142684796 1.495789 box
142684896 1.497192 box
142684996 1.497009 box
142685096 1.495789 box
142685196 1.496582 box
142685296 1.495850 box
142685396 1.495667 box
142685496 1.497864 box
142685596 1.496582 box
142685696 1.490540 box
142685796 1.494812 box
142685896 1.478821 box
142685996 1.498596 box
142686096 1.497986 box
142686196 1.496277 box
142686296 1.496887 box
142686396 1.496338 box
142686496 1.496216 box
142686596 1.496704 box
142686696 1.495300 box
142686796 1.495972 box
142686896 1.498047 box
142686996 1.494507 box
142687096 1.494812 box
142687196 1.492004 box
142687296 1.477783 box
142687396 1.498169 box
142687496 1.495483 box
142687596 1.498230 box
142687696 1.496948 box
142687796 1.495972 box
142687896 1.496887 box
142687996 1.495972 box
142688096 1.495239 box
142688196 1.496826 box
142688296 1.496521 box
142688396 1.496155 box
142688496 1.495972 box
142688596 1.488953 box
142688696 1.476196 box
142688796 1.496033 box
142688896 1.496704 box
142688996 1.497375 box
142689096 1.497559 box
142689196 1.495911 box
142689296 1.496216 box
142689396 1.496033 box
142689496 1.495728 box
142689596 1.496826 box
142689696 1.497070 box
142689796 1.496521 box
142689896 1.495361 box
142689996 1.488220 box
142690096 1.489319 box
142690196 1.485352 box
142690296 1.495972 box
142690396 1.497437 box
142690496 1.497925 box
142690596 1.496033 box
142690696 1.495056 box
142690796 1.496399 box
142690896 1.496216 box
142690996 1.496826 box
142691096 1.495117 box
142691196 1.496765 box
142691296 1.496033 box
142691396 1.490173 box
142691496 1.494934 box
142691596 1.479919 box
