time(ms) energy(J) hostname
81811153 0.000000 box
81811252 1.040527 box
81811352 1.046265 box
81811452 1.045349 box
81811552 1.045776 box
81811652 1.044250 box
81811752 1.040527 box
81811852 1.044922 box
81811952 1.044189 box
81812052 1.043884 box
81812152 1.044678 box
81812252 1.040649 box
81812352 1.048035 box
81812452 1.043762 box
81812552 1.043701 box
81812652 1.044739 box
81812752 1.043945 box
81812852 1.043945 box
81812952 1.042419 box
81813052 1.046692 box
81813152 1.047180 box
81813252 1.044678 box
81813352 1.044189 box
81813452 1.041260 box
81813552 1.042419 box
81813652 1.045044 box
81813752 1.043274 box
81813852 1.047485 box
81813952 1.041321 box
81814052 1.046875 box
81814152 1.042786 box
81814252 1.042114 box
81814352 1.045471 box
81814452 1.044128 box
81814552 1.043884 box
81814652 1.042175 box
81814752 1.044006 box
81814852 1.046631 box
81814952 1.043640 box
81815052 1.043274 box
81815152 1.044312 box
81815252 1.043030 box
81815352 1.044250 box
81815452 1.042908 box
81815552 1.043701 box
81815652 1.046326 box
81815752 1.044861 box
81815852 1.044128 box
81815952 1.040833 box
81816052 1.042358 box
81816152 1.044373 box
81816252 1.042358 box
81816352 1.047180 box
81816452 1.043335 box
81816552 1.044800 box
81816652 1.042358 box
81816752 1.043457 box
81816852 1.044800 box
81816952 1.044250 box
81817052 1.042114 box
81817152 1.043518 box
81817252 1.043579 box
81817352 1.046509 box
81817452 1.044800 box
81817552 1.042847 box
81817652 1.044678 box
81817752 1.042664 box
81817852 1.042969 box
81817952 1.042297 box
81818052 1.043884 box
81818152 1.047180 box
81818252 1.043274 box
81818352 1.041992 box
81818452 1.041199 box
81818552 1.043884 box
81818652 1.044128 box
81818752 1.043640 box
81818852 1.046082 box
81818952 1.041443 box
81819052 1.047180 box
81819152 1.043823 box
81819252 1.043396 box
81819352 1.042725 box
81819452 1.042969 box
81819552 1.041748 box
81819652 1.043579 box
81819752 1.044983 box
81819852 1.046631 box
81819952 1.045044 box
81820052 1.044434 box
81820152 1.043762 box
81820252 1.043396 box
81820352 1.044006 box
81820452 1.042480 box
81820552 1.044067 box
81820652 1.046387 box
81820752 1.043945 box
81820852 1.043762 box
81820952 1.040771 box
81821052 1.046326 box
81821152 1.045654 box
81821252 1.043396 box
81821352 1.044983 box
81821452 1.041870 box
81821552 1.047791 box
81821652 1.044312 box
81821752 1.044312 box
81821852 1.042542 box
81821952 1.041260 box
81822052 1.044617 box
81822152 1.043457 box
81822252 1.047180 box
81822352 1.044312 box
81822452 1.043701 box
81822552 1.042908 box
81822652 1.044434 box
81822752 1.044556 box
81822852 1.042969 box
81822952 1.041260 box
81823052 1.046082 box
81823152 1.043823 box
81823252 1.045471 box
81823352 1.044983 box
81823452 1.043091 box
81823552 1.044128 box
81823652 1.046082 box
81823752 1.041260 box
81823852 1.044739 box
81823952 1.042847 box
81824052 1.046814 box
81824152 1.043701 box
81824252 1.041687 box
81824352 1.044312 box
81824452 1.043884 box
81824552 1.045044 box
81824652 1.043945 box
81824752 1.045654 box
81824852 1.044373 box
81824952 1.042969 box
81825052 1.044189 box
81825152 1.043823 box
81825252 1.041687 box
81825352 1.043091 box
81825452 1.043091 box
81825552 1.046387 box
81825652 1.044128 box
81825752 1.048035 box
81825852 1.044373 box
81825952 1.041809 box
81826052 1.045776 box
81826152 1.046021 box
81826252 1.041931 box
81826352 1.044617 box
81826452 1.044495 box
81826552 1.046753 box
81826652 1.044067 box
81826752 1.042664 box
81826852 1.041748 box
81826952 1.042725 box
81827052 1.044800 box
81827152 1.041992 box
81827252 1.046570 box
81827352 1.044861 box
81827452 1.047607 box
81827552 1.044006 box
81827652 1.042542 box
81827752 1.045776 box
81827852 1.043457 box
81827952 1.042480 box
81828052 1.041687 box
81828152 1.046143 box
81828252 1.046814 box
81828352 1.043701 box
81828452 1.043640 box
81828552 1.041443 box
81828652 1.043762 box
81828752 1.043213 box
81828852 1.043457 box
81828952 1.046753 box
81829052 1.043030 box
81829152 1.047363 box
81829252 1.045105 box
81829352 1.044739 box
81829452 1.044739 box
81829552 1.041931 box
81829652 1.042908 box
81829752 1.041565 box
81829852 1.045654 box
81829952 1.047546 box
81830052 1.043640 box
81830152 1.042175 box
81830252 1.041443 box
81830353 1.042969 box
81830452 1.043945 box
81830552 1.043701 box
81830652 1.047180 box
81830752 1.042725 box
81830852 1.046936 box
81830952 1.043823 box
81831052 1.042786 box
81831152 1.044373 box
81831252 1.042969 box
81831352 1.044250 box
81831452 1.042908 box
81831552 1.045105 box
81831652 1.046387 box
81831752 1.042664 box
81831852 1.043518 box
