time(ms) energy(J) hostname
82207195 0.000000 box
82207295 1.084045 box
82207395 1.090149 box
82207495 1.084351 box
82207595 1.094238 box
82207695 1.092163 box
82207795 1.085510 box
82207895 1.087891 box
82207995 1.092773 box
82208095 1.086182 box
82208195 1.088928 box
82208295 1.090759 box
82208395 1.090027 box
82208495 1.091553 box
82208595 1.081909 box
82208695 1.098389 box
82208795 1.084045 box
82208895 1.089783 box
82208995 1.091064 box
82209095 1.091919 box
82209195 1.093384 box
82209295 1.089478 box
82209395 1.082764 box
82209495 1.088745 box
82209595 1.086243 box
82209695 1.089966 box
82209795 1.091919 box
82209895 1.091187 box
82209995 1.092163 box
82210095 1.095459 box
82210195 1.083618 box
82210295 1.087646 box
82210395 1.091248 box
82210495 1.090820 box
82210595 1.089050 box
82210695 1.090027 box
82210795 1.091125 box
82210895 1.086060 box
82210995 1.082153 box
82211095 1.090149 box
82211195 1.090088 box
82211295 1.088440 box
82211395 1.086609 box
82211495 1.099365 box
82211595 1.089478 box
82211695 1.083923 box
82211795 1.093994 box
82211895 1.084534 box
82211995 1.089966 box
82212095 1.093994 box
82212195 1.089661 box
82212295 1.090942 box
82212395 1.088562 box
82212495 1.090576 box
82212595 1.090271 box
82212695 1.090576 box
82212795 1.086975 box
82212895 1.085571 box
82212995 1.093811 box
82213095 1.094116 box
82213195 1.090027 box
82213295 1.085999 box
82213395 1.093994 box
82213495 1.086914 box
82213595 1.095093 box
82213695 1.089233 box
82213795 1.098938 box
82213895 1.087708 box
82213995 1.085571 box
82214095 1.089233 box
82214195 1.089600 box
82214295 1.086060 box
82214395 1.089233 box
82214495 1.093262 box
82214595 1.090210 box
82214695 1.089050 box
82214795 1.085449 box
82214895 1.091187 box
82214995 1.087585 box
82215095 1.086853 box
82215195 1.088257 box
82215295 1.094116 box
82215395 1.093994 box
82215495 1.094727 box
82215595 1.082336 box
82215695 1.088623 box
82215795 1.095642 box
82215895 1.090271 box
82215995 1.097290 box
82216095 1.092529 box
82216195 1.088074 box
82216295 1.083984 box
82216395 1.089111 box
82216495 1.086609 box
82216595 1.088196 box
82216695 1.088623 box
82216795 1.093628 box
82216895 1.092346 box
82216995 1.088623 box
82217095 1.086548 box
82217195 1.090332 box
82217295 1.083923 box
82217395 1.090515 box
82217495 1.090698 box
82217595 1.099976 box
82217695 1.090698 box
82217795 1.084839 box
82217895 1.088318 box
82217995 1.084473 box
82218095 1.088135 box
82218195 1.091980 box
82218295 1.089355 box
82218395 1.093811 box
82218495 1.088989 box
82218595 1.086670 box
82218695 1.083740 box
82218795 1.088806 box
82218895 1.090210 box
82218995 1.092468 box
82219095 1.088501 box
82219195 1.091431 box
82219295 1.090942 box
82219395 1.085693 box
82219495 1.085449 box
82219595 1.092346 box
82219695 1.090515 box
82219795 1.091492 box
82219895 1.085571 box
82219995 1.094971 box
82220095 1.086731 box
82220195 1.086060 box
82220295 1.086853 box
82220395 1.092285 box
82220495 1.089722 box
82220595 1.089661 box
82220695 1.088989 box
82220795 1.093262 box
82220895 1.087158 box
82220995 1.083801 box
82221095 1.088989 box
82221195 1.092896 box
82221295 1.086060 box
82221395 1.089478 box
82221495 1.090271 box
82221595 1.098328 box
82221695 1.090759 box
82221795 1.085022 box
82221895 1.086548 box
82221995 1.087097 box
82222095 1.089844 box
82222195 1.094421 box
82222295 1.090271 box
