time(ms) energy(J) hostname
80391446 0.000000 box
80391546 0.945251 box
80391646 0.942322 box
80391746 0.948425 box
80391846 0.946838 box
80391946 0.946777 box
80392046 0.945435 box
80392146 0.944641 box
80392246 0.947327 box
80392346 0.947754 box
80392446 0.946716 box
80392546 0.944641 box
80392646 0.947876 box
80392746 0.946289 box
80392846 0.944702 box
80392946 0.945496 box
80393046 0.951721 box
80393146 0.947449 box
80393246 0.945923 box
80393346 0.945190 box
80393446 0.945496 box
80393546 0.947205 box
80393646 0.947205 box
80393746 0.946716 box
80393846 0.944946 box
80393946 0.947754 box
80394046 0.947510 box
80394146 0.944641 box
80394246 0.946899 box
80394346 0.947632 box
80394446 0.946838 box
80394546 0.946350 box
80394646 0.945312 box
80394746 0.944763 box
80394846 0.947815 box
80394946 0.947998 box
80395046 0.946045 box
80395146 0.944763 box
80395246 0.947754 box
80395346 0.946167 box
80395446 0.946777 box
80395546 0.946472 box
80395646 0.947083 box
80395746 0.946899 box
80395846 0.946106 box
80395946 0.945923 box
80396046 0.945068 box
80396146 0.947632 box
80396246 0.947327 box
80396346 0.946533 box
80396446 0.945129 box
80396546 0.947937 box
80396646 0.946045 box
80396746 0.945557 box
80396846 0.946350 box
80396946 0.947815 box
80397046 0.946350 box
80397146 0.945557 box
80397246 0.945862 box
80397346 0.945801 box
80397446 0.948303 box
80397546 0.946350 box
80397646 0.947571 box
80397746 0.945679 box
80397846 0.945618 box
80397946 0.945862 box
80398046 0.946838 box
80398146 0.946960 box
80398246 0.947021 box
80398346 0.945557 box
80398446 0.945679 box
80398546 0.947205 box
80398646 0.944763 box
80398746 0.946289 box
80398846 0.948364 box
80398946 0.947021 box
80399046 0.945862 box
80399146 0.945435 box
80399246 0.944580 box
80399346 0.948059 box
80399446 0.947388 box
80399546 0.946655 box
80399646 0.944275 box
80399746 0.947449 box
80399846 0.946472 box
80399946 0.946167 box
80400046 0.947205 box
80400146 0.946289 box
80400246 0.946472 box
80400346 0.945923 box
80400446 0.945740 box
80400546 0.946289 box
80400646 0.946045 box
80400746 0.948730 box
80400846 0.947205 box
80400946 0.945129 box
80401046 0.946533 box
80401146 0.944214 box
80401246 0.948059 box
80401346 0.947327 box
80401446 0.946899 box
80401546 0.945862 box
80401646 0.946228 box
80401746 0.945129 box
80401846 0.948059 box
80401946 0.946289 box
80402046 0.946838 box
80402146 0.944092 box
80402246 0.946777 box
80402346 0.947144 box
80402446 0.946289 box
80402546 0.946228 box
80402646 0.947998 box
80402746 0.946899 box
80402846 0.946350 box
80402946 0.945496 box
80403046 0.945618 box
80403146 0.947510 box
80403246 0.947571 box
80403346 0.946899 box
80403446 0.945618 box
80403546 0.945740 box
80403646 0.946777 box
80403746 0.946411 box
80403846 0.946838 box
80403946 0.946533 box
80404046 0.946716 box
80404146 0.944519 box
80404246 0.948059 box
80404346 0.945740 box
80404446 0.946228 box
80404546 0.947998 box
80404646 0.946655 box
80404746 0.945435 box
80404846 0.945984 box
80404946 0.946106 box
80405046 0.946777 box
80405146 0.947693 box
80405246 0.948059 box
80405346 0.944397 box
80405446 0.948120 box
80405546 0.945374 box
80405646 0.946411 box
80405746 0.945618 box
80405846 0.948608 box
80405946 0.947205 box
80406046 0.946106 box
80406146 0.946289 box
80406246 0.944885 box
80406346 0.948730 box
80406446 0.946838 box
80406546 0.946533 box
80406646 0.944763 box
80406746 0.947449 box
80406846 0.946716 box
80406946 0.945496 box
80407046 0.945618 box
80407146 0.947815 box
80407246 0.946777 box
80407346 0.945435 box
80407446 0.947510 box
80407546 0.944824 box
80407646 0.947327 box
80407746 0.948181 box
80407846 0.947327 box
80407946 0.945190 box
80408046 0.946289 box
80408146 0.945435 box
80408246 0.947266 box
80408346 0.946655 box
80408446 0.947083 box
80408546 0.944458 box
80408646 0.946960 box
80408746 0.945862 box
80408846 0.946167 box
80408946 0.945923 box
80409046 0.949158 box
80409146 0.946777 box
80409246 0.946289 box
80409346 0.945740 box
80409446 0.944397 box
80409546 0.948364 box
80409646 0.946838 box
80409746 0.947937 box
80409846 0.943970 box
80409946 0.947144 box
80410046 0.946411 box
80410146 0.946594 box
80410246 0.946411 box
80410346 0.947327 box
80410446 0.945557 box
80410546 0.944275 box
80410646 0.948608 box
80410746 0.944519 box
80410846 0.946533 box
80410946 0.948303 box
80411046 0.946960 box
80411146 0.945374 box
80411246 0.946106 box
80411346 0.945557 box
80411446 0.947205 box
80411546 0.947205 box
80411646 0.946289 box
80411746 0.945496 box
80411846 0.946289 box
80411946 0.946472 box
80412046 0.946411 box
80412146 0.944885 box
80412246 0.949219 box
80412346 0.946472 box
80412446 0.945923 box
80412546 0.945557 box
80412646 0.947083 box
80412746 0.947021 box
80412846 0.946594 box
80412946 0.946289 box
80413046 0.946350 box
80413146 0.945190 box
80413246 0.946777 box
80413346 0.945618 box
80413446 0.947632 box
80413546 0.948120 box
80413646 0.946960 box
80413746 0.944580 box
80413846 0.946716 box
80413946 0.946594 box
80414046 0.945679 box
80414146 0.946106 box
80414246 0.948730 box
80414346 0.947693 box
80414446 0.945312 box
80414546 0.946350 box
80414646 0.945129 box
80414746 0.947632 box
80414846 0.946899 box
80414946 0.946716 box
80415046 0.946838 box
80415146 0.944153 box
80415246 0.947449 box
80415346 0.945190 box
80415446 0.947998 box
80415546 0.947021 box
80415646 0.946777 box
80415746 0.943909 box
80415846 0.947021 box
80415946 0.946655 box
80416046 0.946716 box
80416146 0.945496 box
80416246 0.948486 box
80416346 0.946838 box
80416446 0.946106 box
80416546 0.946167 box
80416646 0.946167 box
80416746 0.947083 box
80416846 0.947937 box
80416946 0.946228 box
80417046 0.945679 box
80417146 0.945129 box
80417246 0.947876 box
80417346 0.945129 box
80417446 0.947144 box
80417546 0.947815 box
80417646 0.947571 box
80417746 0.943542 box
80417846 0.946777 box
80417946 0.946350 box
80418046 0.946594 box
80418146 0.945190 box
80418246 0.948486 box
80418346 0.946838 box
80418446 0.945557 box
80418546 0.945374 box
80418646 0.946533 box
80418746 0.946350 box
80418846 0.949341 box
80418946 0.946472 box
80419046 0.946838 box
80419146 0.945801 box
80419246 0.946106 box
80419346 0.946350 box
80419446 0.946838 box
80419546 0.947144 box
80419646 0.947021 box
80419746 0.944580 box
80419846 0.948364 box
80419946 0.945557 box
80420046 0.946716 box
80420146 0.945923 box
80420246 0.948853 box
80420346 0.946411 box
80420446 0.946045 box
80420546 0.946167 box
80420646 0.944885 box
80420746 0.946411 box
80420846 0.947449 box
80420946 0.946167 box
80421046 0.946533 box
80421146 0.944763 box
80421246 0.948486 box
80421346 0.944885 box
80421446 0.947754 box
80421546 0.947510 box
80421646 0.946289 box
80421746 0.944824 box
80421846 0.947083 box
80421946 0.947205 box
80422046 0.946228 box
80422146 0.945374 box
80422246 0.947998 box
80422346 0.946899 box
80422446 0.945557 box
80422546 0.945984 box
80422646 0.945618 box
80422746 0.946838 box
80422846 0.947388 box
80422946 0.946777 box
80423046 0.945740 box
80423146 0.945251 box
80423246 0.948242 box
80423346 0.944214 box
80423446 0.947693 box
80423546 0.948364 box
80423646 0.946716 box
80423746 0.945374 box
80423846 0.945557 box
80423946 0.946716 box
80424046 0.947449 box
80424146 0.944763 box
80424246 0.948669 box
80424346 0.946472 box
80424446 0.945312 box
80424546 0.944885 box
80424646 0.945618 box
80424746 0.947693 box
80424846 0.947815 box
80424946 0.945923 box
80425046 0.944824 box
80425146 0.947327 box
80425246 0.946411 box
80425346 0.945068 box
80425446 0.945862 box
80425546 0.949219 box
80425646 0.946594 box
80425746 0.945740 box
80425846 0.945312 box
80425946 0.947021 box
80426046 0.947021 box
80426146 0.944946 box
80426246 0.947754 box
80426346 0.946533 box
80426446 0.947449 box
80426546 0.944885 box
80426646 0.945984 box
80426746 0.947021 box
80426846 0.946838 box
80426946 0.946960 box
80427046 0.946411 box
80427146 0.945190 box
80427246 0.947327 box
80427346 0.945374 box
80427446 0.946472 box
80427546 0.948547 box
80427646 0.946716 box
80427746 0.945679 box
80427846 0.945435 box
80427946 0.945801 box
80428046 0.946472 box
80428146 0.945740 box
80428246 0.947876 box
80428346 0.946716 box
80428446 0.945679 box
80428546 0.946106 box
80428646 0.945679 box
80428746 0.948364 box
80428846 0.946533 box
80428946 0.946655 box
80429046 0.944702 box
80429146 0.947327 box
80429246 0.945618 box
80429346 0.946106 box
80429446 0.945740 box
80429546 0.949707 box
80429646 0.947144 box
80429746 0.945557 box
80429846 0.945740 box
80429946 0.946533 box
80430046 0.945984 box
80430146 0.947021 box
80430246 0.946411 box
80430346 0.946838 box
80430446 0.946594 box
80430546 0.945679 box
80430646 0.945007 box
80430746 0.947510 box
80430846 0.947754 box
80430946 0.946655 box
80431046 0.944702 box
80431146 0.947693 box
80431246 0.946472 box
80431346 0.945557 box
80431446 0.944458 box
80431546 0.949768 box
80431646 0.946899 box
80431746 0.945618 box
80431846 0.945923 box
80431946 0.944946 box
80432046 0.947693 box
80432146 0.947754 box
80432246 0.946594 box
80432346 0.944763 box
80432446 0.947021 box
80432546 0.945984 box
80432646 0.946716 box
80432746 0.944397 box
80432846 0.952637 box
80432946 0.946960 box
80433046 0.945068 box
80433146 0.945740 box
80433246 0.946899 box
80433346 0.946228 box
80433446 0.947083 box
80433546 0.946594 box
80433646 0.946533 box
80433746 0.945435 box
80433846 0.946655 box
80433946 0.946838 box
80434046 0.946838 box
80434146 0.947449 box
80434246 0.946899 box
80434346 0.943909 box
80434446 0.947876 box
80434546 0.946350 box
80434646 0.945740 box
80434746 0.946045 box
80434846 0.948425 box
80434946 0.947632 box
80435046 0.945068 box
80435146 0.945679 box
80435246 0.945740 box
80435346 0.947876 box
80435446 0.946411 box
80435546 0.947205 box
80435646 0.944824 box
80435746 0.945923 box
80435846 0.947571 box
80435946 0.945618 box
80436046 0.946045 box
80436146 0.948425 box
80436246 0.947327 box
80436346 0.945435 box
80436446 0.946106 box
80436546 0.946106 box
80436646 0.946777 box
80436746 0.945129 box
80436846 0.948242 box
80436946 0.946167 box
80437046 0.946838 box
80437146 0.945007 box
80437246 0.945251 box
80437346 0.947510 box
80437446 0.947510 box
80437546 0.945496 box
80437646 0.945007 box
80437746 0.947815 box
80437846 0.946350 box
80437946 0.946228 box
80438046 0.945801 box
80438146 0.949280 box
80438246 0.946594 box
80438346 0.945190 box
80438446 0.946411 box
80438546 0.946655 box
80438646 0.947144 box
80438746 0.947021 box
80438846 0.946106 box
80438946 0.946045 box
80439046 0.945435 box
80439146 0.947388 box
80439246 0.944458 box
80439346 0.948364 box
