time(ms) energy(J) hostname
169519973 0.000000 box
169520073 0.939697 box
169520173 0.947449 box
169520273 0.943787 box
169520373 0.979980 box
169520473 0.945251 box
169520573 0.958191 box
169520673 0.961426 box
169520773 0.942505 box
169520873 0.945007 box
169520973 0.946106 box
169521073 0.947266 box
169521173 0.944397 box
169521273 0.949585 box
169521373 0.943970 box
169521473 0.943970 box
169521573 0.945435 box
169521673 0.947571 box
169521773 0.942749 box
169521873 0.947815 box
169521973 0.943726 box
169522073 0.944702 box
169522173 0.946045 box
169522273 0.947205 box
169522373 0.943359 box
169522473 0.945862 box
169522573 0.943970 box
169522673 0.946045 box
169522773 0.943787 box
169522873 0.946106 box
169522973 0.942566 box
169523073 0.945679 box
169523173 0.945923 box
169523273 0.940918 box
169523373 0.941711 box
169523473 0.948242 box
169523573 0.949280 box
169523673 0.944031 box
169523773 0.941040 box
169523873 0.946716 box
169523973 0.942688 box
169524073 0.946716 box
169524173 0.945862 box
169524273 0.944214 box
169524373 0.950134 box
169524473 0.946777 box
169524573 0.944946 box
169524673 0.946777 box
169524773 0.944336 box
169524873 0.945251 box
169524973 0.942322 box
169525073 0.945618 box
169525173 0.945435 box
169525273 0.944702 box
169525373 0.945801 box
169525473 0.943481 box
169525573 0.945374 box
169525673 0.947205 box
169525773 0.944458 box
169525873 0.947510 box
169525973 0.947754 box
169526073 0.946533 box
169526173 0.946533 box
169526273 0.946533 box
169526373 0.945923 box
169526473 0.947144 box
169526573 0.947266 box
169526673 0.946289 box
169526773 0.944824 box
169526873 0.950195 box
169526973 0.944519 box
169527073 0.943848 box
169527173 0.945435 box
169527273 0.947266 box
169527373 0.945557 box
169527473 0.942322 box
169527573 0.946045 box
169527673 0.946594 box
169527773 0.946045 box
169527873 0.945679 box
169527973 0.947144 box
169528073 0.947327 box
169528173 0.947144 box
169528273 0.944885 box
169528373 0.946716 box
169528473 0.947754 box
169528573 0.944702 box
169528673 0.943726 box
169528773 0.945679 box
169528873 0.946228 box
169528973 0.945190 box
169529073 0.948425 box
169529173 0.947144 box
169529273 0.947449 box
169529373 0.943970 box
169529473 0.947693 box
169529573 0.948486 box
169529673 0.947388 box
169529773 0.946716 box
169529873 0.948975 box
169529973 0.948914 box
169530073 0.944458 box
169530173 0.946289 box
169530273 0.947693 box
169530373 0.945984 box
169530473 0.944153 box
169530573 0.944580 box
169530673 0.943604 box
169530773 0.944580 box
169530873 0.950806 box
169530973 0.942566 box
169531073 0.945740 box
169531173 0.945618 box
169531273 0.948486 box
169531373 0.945190 box
169531473 0.943481 box
169531573 0.947998 box
169531673 0.946350 box
169531773 0.943848 box
169531873 0.946106 box
169531973 0.946350 box
169532073 0.941895 box
169532173 0.945618 box
169532273 0.945129 box
169532373 0.946533 box
169532473 0.943115 box
169532573 0.945496 box
169532673 0.944702 box
169532773 0.942810 box
169532873 0.947876 box
169532973 0.945496 box
169533073 0.951172 box
169533173 0.945251 box
169533273 0.945496 box
169533373 0.947754 box
169533473 0.942688 box
169533573 0.946167 box
169533673 0.946838 box
169533773 0.944214 box
169533873 0.944946 box
169533973 0.944946 box
169534073 0.943359 box
169534173 0.947754 box
169534273 0.945435 box
169534373 0.945557 box
169534473 0.944214 box
169534573 0.945618 box
169534673 0.947327 box
169534773 0.942993 box
169534873 0.946594 box
169534973 0.945984 box
169535073 0.946960 box
169535173 0.946838 box
169535273 0.945190 box
169535373 0.945801 box
169535473 0.945618 box
169535573 0.945923 box
169535673 0.944885 box
169535773 0.946045 box
169535873 0.946045 box
169535973 0.946045 box
169536073 0.944702 box
169536173 0.941956 box
169536273 0.946228 box
169536373 0.947937 box
169536473 0.949036 box
169536573 0.947571 box
169536673 0.947815 box
169536773 0.944153 box
169536873 0.943054 box
169536973 0.945801 box
169537073 0.946106 box
169537173 0.948425 box
169537273 0.948120 box
169537373 0.949890 box
169537473 0.944092 box
169537573 0.947876 box
169537673 0.948669 box
169537773 0.943420 box
169537873 0.947632 box
169537973 0.944397 box
169538073 0.945312 box
169538173 0.945923 box
169538273 0.948730 box
169538373 0.954956 box
169538473 0.988525 box
169538573 0.994019 box
169538673 0.970276 box
169538773 0.977356 box
169538873 0.975891 box
169538973 0.972534 box
169539073 0.977600 box
169539173 0.985901 box
169539273 0.981384 box
169539373 0.986572 box
169539473 0.986572 box
169539573 0.989258 box
169539673 0.991577 box
169539773 0.986450 box
169539873 0.987488 box
169539973 0.985596 box
169540073 0.986938 box
169540173 0.987061 box
169540273 0.997498 box
169540373 0.975891 box
169540473 0.973938 box
169540573 0.985901 box
169540673 0.955933 box
169540773 1.004150 box
169540873 0.983765 box
169540979 1.000488 box
169541073 0.886108 box
169541173 0.944519 box
169541273 0.966980 box
169541373 0.945801 box
169541473 0.961365 box
169541573 0.968567 box
169541673 0.948608 box
169541773 0.946594 box
169541873 0.949280 box
169541973 0.945007 box
169542073 0.945740 box
169542173 0.942444 box
169542273 0.944214 box
169542373 0.945312 box
169542473 0.946899 box
169542573 0.943420 box
169542673 0.945251 box
169542773 0.945312 box
169542873 0.945496 box
169542973 0.945740 box
169543073 0.947266 box
169543173 0.945862 box
169543273 0.942139 box
169543373 0.948608 box
169543473 0.943970 box
169543573 0.942566 box
169543673 0.945435 box
169543773 0.946350 box
169543873 0.944641 box
169543973 0.947632 box
169544073 0.945312 box
169544173 0.941101 box
169544273 0.946838 box
169544373 0.944153 box
169544473 0.948547 box
169544573 0.944397 box
169544673 0.944641 box
169544773 0.943054 box
169544873 0.943359 box
169544973 0.948975 box
169545073 0.943909 box
169545173 0.943604 box
169545273 0.944885 box
169545373 0.946289 box
169545473 0.945007 box
169545573 0.945251 box
169545673 0.945679 box
169545773 0.944641 box
169545873 0.945190 box
169545973 0.946350 box
169546073 0.948792 box
169546173 0.947693 box
169546273 0.947388 box
169546373 0.945923 box
169546473 0.948364 box
169546573 0.947327 box
169546673 0.947632 box
169546773 0.945740 box
169546873 0.947815 box
169546973 0.949585 box
169547073 0.943420 box
169547173 0.947449 box
169547273 0.947144 box
169547373 0.945068 box
169547473 0.946899 box
169547573 0.947021 box
169547673 0.946655 box
169547773 0.945435 box
169547873 0.945190 box
169547973 0.947266 box
169548073 0.947632 box
169548173 0.947571 box
169548273 0.945862 box
169548373 0.948975 box
169548473 0.946472 box
169548573 0.946289 box
169548673 0.947021 box
169548773 0.944946 box
169548873 0.946716 box
169548973 0.945801 box
169549073 0.947205 box
169549173 0.949829 box
169549273 0.945068 box
169549373 0.945190 box
169549473 0.947693 box
169549573 0.947937 box
169549673 0.947266 box
169549773 0.943115 box
169549873 0.946960 box
169549973 0.947510 box
169550073 0.944763 box
169550173 0.946411 box
169550273 0.944519 box
169550373 0.945679 box
169550473 0.944885 box
169550573 0.947571 box
169550673 0.944702 box
169550773 0.945984 box
169550873 0.944641 box
169550973 0.947571 box
169551073 0.947388 box
169551173 0.945190 box
169551273 0.945251 box
169551373 0.945068 box
169551473 0.945801 box
169551573 0.945740 box
169551673 0.949036 box
169551773 0.945740 box
169551873 0.946289 box
169551973 0.947693 box
169552073 0.949951 box
169552173 0.945312 box
169552273 0.944031 box
169552373 0.943726 box
169552473 0.946594 box
169552573 0.945374 box
169552673 0.944763 box
169552773 0.944458 box
169552873 0.944763 box
169552973 0.945618 box
169553073 0.946350 box
169553173 0.946655 box
169553273 0.945068 box
169553373 0.942932 box
169553473 0.945679 box
169553573 0.946228 box
169553673 0.944092 box
169553773 0.944092 box
169553873 0.944641 box
169553973 0.942261 box
169554073 0.948059 box
169554173 0.939941 box
169554273 0.945557 box
169554373 0.943604 box
169554473 0.944092 box
169554573 0.944641 box
169554673 0.943665 box
169554773 0.942505 box
169554873 0.946594 box
169554973 0.945862 box
169555073 0.947266 box
169555173 0.943359 box
169555273 0.944580 box
169555373 0.946838 box
169555473 0.946228 box
169555573 0.945312 box
169555673 0.946045 box
169555773 0.948730 box
169555873 0.946716 box
169555973 0.944397 box
169556073 0.946350 box
169556173 0.945801 box
169556273 0.944214 box
169556373 0.946045 box
169556473 0.946838 box
169556573 0.945740 box
169556673 0.947510 box
169556773 0.949646 box
169556873 0.947266 box
169556973 0.943604 box
169557073 0.943176 box
169557173 0.944641 box
169557273 0.949158 box
169557373 0.947815 box
169557473 0.946411 box
169557573 0.946106 box
169557673 0.946716 box
169557773 0.943848 box
169557873 0.944519 box
169557973 0.945984 box
169558073 0.946533 box
169558173 0.947815 box
169558273 0.945679 box
169558373 0.947815 box
169558473 0.948120 box
169558573 0.944702 box
169558673 0.946106 box
169558773 0.946045 box
169558873 0.945435 box
169558973 0.945679 box
169559073 0.947693 box
169559173 0.945496 box
169559273 0.961365 box
169559373 0.968506 box
169559473 0.977966 box
169559573 0.973572 box
169559673 0.974548 box
169559773 0.988647 box
169559873 0.977173 box
169559973 0.970337 box
169560073 0.959839 box
169560173 0.957825 box
169560273 0.975037 box
169560373 0.946838 box
169560473 0.982483 box
169560573 0.994934 box
169560673 0.992188 box
169560773 0.995605 box
169560873 0.995667 box
169560973 0.991150 box
169561073 0.996826 box
169561176 0.989929 box
169561273 0.936218 box
169561373 0.951538 box
169561473 0.976135 box
169561573 0.957642 box
169561673 0.965637 box
169561773 0.959106 box
169561873 0.953552 box
169561973 0.946411 box
169562073 0.945679 box
169562173 0.944580 box
169562273 0.944458 box
169562373 0.946106 box
169562473 0.946106 box
169562573 0.947083 box
169562673 0.945740 box
169562773 0.945374 box
169562873 0.947449 box
169562973 0.947205 box
169563073 0.946167 box
169563173 0.949280 box
169563273 0.945435 box
169563373 0.946289 box
169563473 0.945007 box
169563573 0.948059 box
169563673 0.946045 box
169563773 0.948059 box
169563873 0.944641 box
169563973 0.946472 box
169564073 0.946045 box
169564173 0.944214 box
169564273 0.945190 box
169564373 0.948425 box
169564473 0.940979 box
169564573 0.945251 box
169564673 0.940918 box
169564773 0.948120 box
169564873 0.943054 box
169564973 0.944763 box
169565073 0.948669 box
169565173 0.943665 box
169565273 0.945251 box
169565373 0.946228 box
169565473 0.943726 box
169565573 0.943604 box
169565673 0.942810 box
169565773 0.945007 box
169565873 0.944702 box
169565973 0.945740 box
169566073 0.946350 box
169566173 0.943665 box
169566273 0.945312 box
169566373 0.948486 box
169566473 0.945068 box
169566573 0.946777 box
169566673 0.946106 box
169566773 0.944153 box
169566873 0.945679 box
169566973 0.944885 box
169567073 0.944641 box
169567173 0.948364 box
169567273 0.945984 box
169567373 0.943787 box
169567473 0.945923 box
169567573 0.945679 box
169567673 0.945129 box
169567773 0.948364 box
169567873 0.945435 box
169567973 0.944824 box
169568073 0.944214 box
169568173 0.945923 box
169568273 0.943481 box
169568373 0.945007 box
169568473 0.944641 box
169568573 0.945862 box
169568673 0.945251 box
169568773 0.944397 box
169568873 0.947815 box
169568973 0.946594 box
169569073 0.946106 box
169569173 0.949280 box
169569273 0.944946 box
169569373 0.947876 box
169569473 0.948303 box
169569573 0.948792 box
169569673 0.944702 box
169569773 0.948303 box
169569873 0.945557 box
169569973 0.947632 box
169570073 0.949219 box
169570173 0.947632 box
169570273 0.946411 box
169570373 0.946106 box
169570473 0.947144 box
169570573 0.944519 box
169570673 0.945374 box
169570773 0.946716 box
169570873 0.947021 box
169570973 0.946472 box
169571073 0.949219 box
169571173 0.947266 box
169571273 0.947510 box
169571373 0.945068 box
169571473 0.944763 box
169571573 0.947754 box
169571673 0.945190 box
169571773 0.947144 box
169571873 0.944885 box
169571973 0.943359 box
169572073 0.946289 box
169572173 0.947998 box
169572273 0.944641 box
169572373 0.943359 box
169572473 0.947937 box
169572573 0.944397 box
169572673 0.946472 box
169572773 0.944885 box
169572873 0.946106 box
169572973 0.945679 box
169573073 0.945251 box
169573173 0.941223 box
169573273 0.944275 box
169573373 0.946167 box
169573473 0.945984 box
169573573 0.947876 box
169573673 0.945435 box
169573773 0.947754 box
169573873 0.943970 box
169573973 0.945007 box
169574073 0.946350 box
169574173 0.946045 box
169574273 0.945129 box
169574373 0.944763 box
169574473 0.946411 box
169574573 0.946289 box
169574673 0.943481 box
169574773 0.947876 box
169574873 0.946228 box
169574973 0.946411 box
169575073 0.943787 box
169575173 0.944275 box
169575273 0.944031 box
169575373 0.947632 box
169575473 0.946289 box
169575573 0.942810 box
169575673 0.944214 box
169575773 0.944275 box
169575873 0.948181 box
169575973 0.942993 box
169576073 0.946533 box
169576173 0.946899 box
169576273 0.945557 box
169576373 0.945862 box
169576473 0.944275 box
169576573 0.944763 box
169576673 0.954834 box
169576773 0.949036 box
169576873 0.960632 box
169576973 0.956238 box
169577073 0.958801 box
169577173 0.956848 box
169577273 0.960999 box
169577373 0.956360 box
169577473 0.948242 box
169577573 0.961731 box
169577673 0.954407 box
169577773 0.956848 box
169577873 0.954468 box
169577973 0.962036 box
169578073 0.957581 box
169578173 0.950500 box
169578273 0.960938 box
169578373 0.953186 box
169578473 0.955444 box
169578573 0.954163 box
169578673 0.964417 box
169578773 0.955139 box
169578873 0.955750 box
169578973 0.960632 box
169579073 0.953186 box
169579173 0.960999 box
169579273 0.955688 box
169579373 0.956543 box
169579473 0.963257 box
169579573 0.968018 box
169579673 0.980347 box
169579773 0.976440 box
169579873 0.954224 box
169579973 0.994690 box
169580073 0.983826 box
169580173 0.964478 box
169580273 0.992554 box
169580373 0.983093 box
169580473 0.984436 box
169580573 0.993225 box
169580673 0.996582 box
169580773 0.982239 box
169580873 0.981079 box
169580973 0.986450 box
169581073 0.983337 box
169581173 0.948730 box
169581273 0.947021 box
169581373 0.946106 box
169581473 0.987610 box
169581573 0.943298 box
169581673 0.967896 box
169581773 0.956299 box
169581873 0.950073 box
169581973 0.944458 box
169582073 0.945312 box
169582173 0.947754 box
169582273 0.946411 box
169582373 0.946838 box
169582473 0.945801 box
169582573 0.945312 box
169582673 0.948792 box
169582773 0.944092 box
169582873 0.946350 box
169582973 0.946472 box
169583073 0.947876 box
169583173 0.943604 box
169583273 0.943481 box
169583373 0.946899 box
169583473 0.946533 box
169583573 0.946777 box
169583673 0.947449 box
169583773 0.947449 box
169583873 0.946899 box
169583973 0.944580 box
169584073 0.944092 box
169584173 0.944519 box
169584273 0.947144 box
169584373 0.946411 box
169584473 0.944580 box
169584573 0.944153 box
169584673 0.948608 box
169584773 0.948059 box
169584873 0.946960 box
169584973 0.946228 box
169585073 0.942200 box
169585173 0.945435 box
169585273 0.943970 box
169585373 0.943420 box
169585473 0.944702 box
169585573 0.947632 box
169585673 0.945923 box
169585773 0.943970 box
169585873 0.945312 box
169585973 0.943420 box
169586073 0.945068 box
169586173 0.944519 box
169586273 0.946533 box
169586373 0.946045 box
169586473 0.944702 box
169586573 0.947876 box
169586673 0.945312 box
169586773 0.943726 box
169586873 0.947876 box
169586973 0.944702 box
169587073 0.946594 box
169587173 0.949524 box
169587273 0.945740 box
169587373 0.946167 box
169587473 0.946045 box
169587573 0.941895 box
169587673 0.944946 box
169587773 0.944763 box
169587873 0.946228 box
169587973 0.945007 box
169588073 0.945984 box
169588173 0.946045 box
169588273 0.944275 box
169588373 0.948059 box
169588473 0.943787 box
169588573 0.947327 box
169588673 0.945862 box
169588773 0.946350 box
169588873 0.948181 box
169588973 0.943176 box
169589073 0.944397 box
169589173 0.945618 box
169589273 0.946777 box
169589373 0.943298 box
169589473 0.946960 box
169589573 0.946167 box
169589673 0.945923 box
169589773 0.943542 box
169589873 0.947327 box
169589973 0.947083 box
169590073 0.947388 box
169590173 0.947754 box
169590273 0.945312 box
169590373 0.949097 box
169590473 0.946777 box
169590573 0.946167 box
169590673 0.946960 box
169590773 0.947083 box
169590873 0.943909 box
169590973 0.945435 box
169591073 0.945923 box
169591173 0.948669 box
169591273 0.947021 box
169591373 0.945801 box
169591473 0.945801 box
169591573 0.946228 box
169591673 0.944885 box
169591773 0.947754 box
169591873 0.945557 box
169591973 0.944763 box
169592073 0.946777 box
169592173 0.946655 box
169592273 0.945068 box
169592373 0.946594 box
169592473 0.944214 box
169592573 0.946045 box
169592673 0.945312 box
169592773 0.946289 box
169592873 0.950562 box
169592973 0.944336 box
169593073 0.945251 box
169593173 0.942200 box
169593273 0.944946 box
169593373 0.948608 box
169593473 0.947571 box
169593573 0.944336 box
169593673 0.947266 box
169593773 0.946716 box
169593873 0.943298 box
169593973 0.942932 box
169594073 0.946289 box
169594173 0.946045 box
169594273 0.943115 box
169594373 0.943054 box
169594473 0.949097 box
169594573 0.948059 box
169594673 0.946106 box
169594773 0.946289 box
169594873 0.942810 box
169594973 0.945251 box
169595073 0.949890 box
169595173 0.959229 box
169595273 0.953247 box
169595373 0.960815 box
169595473 0.946899 box
169595573 0.956482 box
169595673 0.950684 box
169595773 0.963379 box
169595873 0.944580 box
169595973 0.961609 box
169596073 0.950989 box
169596173 0.961914 box
169596273 0.943909 box
169596373 0.960571 box
169596473 0.945435 box
169596573 0.963989 box
169596673 0.945618 box
169596773 0.960938 box
169596873 0.948853 box
169596973 0.963623 box
169597073 0.942383 box
169597173 0.958679 box
169597273 0.951721 box
169597373 0.963196 box
169597473 0.946167 box
169597573 0.960327 box
169597673 0.950806 box
169597773 0.961426 box
169597873 0.940979 box
169597973 0.961121 box
169598073 0.952454 box
169598173 0.965149 box
169598273 0.943970 box
169598373 0.959595 box
169598473 0.954712 box
169598573 0.950256 box
169598673 0.950928 box
169598773 0.960510 box
169598873 0.953613 box
169598973 0.960999 box
169599073 0.948792 box
169599173 0.958191 box
169599273 0.955383 box
169599373 0.966614 box
169599473 0.959351 box
169599573 0.971313 box
169599673 0.952576 box
169599773 0.973755 box
