time(ms) function_name moment
169122828 MPI_Waitall 0
169122828 MPI_Waitall 1
169122828 MPI_Wait 0
169122828 MPI_Wait 1
169122828 MPI_Wait 0
169122828 MPI_Wait 1
169122828 MPI_Wait 0
169122833 MPI_Wait 1
169122833 MPI_Wait 0
169122853 MPI_Wait 1
169122853 MPI_Wait 0
169122853 MPI_Wait 1
169122853 MPI_Wait 0
169122853 MPI_Wait 1
169122853 MPI_Wait 0
169122853 MPI_Wait 1
169122853 MPI_Barrier 0
169122899 MPI_Barrier 1
169123216 MPI_Waitall 0
169123216 MPI_Waitall 1
169123216 MPI_Wait 0
169123216 MPI_Wait 1
169123216 MPI_Wait 0
169123216 MPI_Wait 1
169123216 MPI_Wait 0
169123294 MPI_Wait 1
169123294 MPI_Wait 0
169123294 MPI_Wait 1
169123294 MPI_Wait 0
169123294 MPI_Wait 1
169123294 MPI_Wait 0
169123294 MPI_Wait 1
169123294 MPI_Wait 0
169123294 MPI_Wait 1
169123449 MPI_Waitall 0
169123449 MPI_Waitall 1
169123449 MPI_Wait 0
169123449 MPI_Wait 1
169123449 MPI_Wait 0
169123476 MPI_Wait 1
169123476 MPI_Wait 0
169123476 MPI_Wait 1
169123583 MPI_Waitall 0
169123583 MPI_Waitall 1
169123583 MPI_Wait 0
169123583 MPI_Wait 1
169123583 MPI_Wait 0
169123583 MPI_Wait 1
169123583 MPI_Wait 0
169123583 MPI_Wait 1
169142636 MPI_Allreduce 0
169143133 MPI_Allreduce 1
169143393 MPI_Waitall 0
169143393 MPI_Waitall 1
169143393 MPI_Wait 0
169143446 MPI_Wait 1
169143446 MPI_Wait 0
169143469 MPI_Wait 1
169143469 MPI_Wait 0
169143469 MPI_Wait 1
169143469 MPI_Wait 0
169143469 MPI_Wait 1
169143469 MPI_Wait 0
169143469 MPI_Wait 1
169143469 MPI_Wait 0
169143469 MPI_Wait 1
169143469 MPI_Wait 0
169143469 MPI_Wait 1
169143606 MPI_Waitall 0
169143606 MPI_Waitall 1
169143606 MPI_Wait 0
169143606 MPI_Wait 1
169143606 MPI_Wait 0
169143633 MPI_Wait 1
169143633 MPI_Wait 0
169143633 MPI_Wait 1
169143739 MPI_Waitall 0
169143739 MPI_Waitall 1
169143739 MPI_Wait 0
169143766 MPI_Wait 1
169143766 MPI_Wait 0
169143766 MPI_Wait 1
169143766 MPI_Wait 0
169143766 MPI_Wait 1
169160566 MPI_Allreduce 0
169163483 MPI_Allreduce 1
169163773 MPI_Waitall 0
169163773 MPI_Waitall 1
169163773 MPI_Wait 0
169163799 MPI_Wait 1
169163799 MPI_Wait 0
169163799 MPI_Wait 1
169163799 MPI_Wait 0
169163826 MPI_Wait 1
169163826 MPI_Wait 0
169163826 MPI_Wait 1
169163826 MPI_Wait 0
169163826 MPI_Wait 1
169163826 MPI_Wait 0
169163826 MPI_Wait 1
169163826 MPI_Wait 0
169163826 MPI_Wait 1
169163959 MPI_Waitall 0
169163959 MPI_Waitall 1
169163959 MPI_Wait 0
169163959 MPI_Wait 1
169163959 MPI_Wait 0
169163959 MPI_Wait 1
169163959 MPI_Wait 0
169163986 MPI_Wait 1
169164093 MPI_Waitall 0
169164093 MPI_Waitall 1
169164093 MPI_Wait 0
169164119 MPI_Wait 1
169164119 MPI_Wait 0
169164119 MPI_Wait 1
169164119 MPI_Wait 0
169164119 MPI_Wait 1
169181923 MPI_Allreduce 0
169183193 MPI_Allreduce 1
169183519 MPI_Waitall 0
169183519 MPI_Waitall 1
169183519 MPI_Wait 0
169183519 MPI_Wait 1
169183519 MPI_Wait 0
169183519 MPI_Wait 1
169183519 MPI_Wait 0
169183519 MPI_Wait 1
169183519 MPI_Wait 0
169183519 MPI_Wait 1
169183519 MPI_Wait 0
169183519 MPI_Wait 1
169183519 MPI_Wait 0
169183519 MPI_Wait 1
169183519 MPI_Wait 0
169183543 MPI_Wait 1
169183733 MPI_Waitall 0
169183733 MPI_Waitall 1
169183733 MPI_Wait 0
169183733 MPI_Wait 1
169183733 MPI_Wait 0
169183733 MPI_Wait 1
169183733 MPI_Wait 0
169183733 MPI_Wait 1
169183839 MPI_Waitall 0
169183839 MPI_Waitall 1
169183839 MPI_Wait 0
169183893 MPI_Wait 1
169183893 MPI_Wait 0
169183893 MPI_Wait 1
169183893 MPI_Wait 0
169183893 MPI_Wait 1
169202193 MPI_Allreduce 0
169203399 MPI_Allreduce 1
169203663 MPI_Waitall 0
169203663 MPI_Waitall 1
169203663 MPI_Wait 0
169203726 MPI_Wait 1
169203726 MPI_Wait 0
169203726 MPI_Wait 1
169203726 MPI_Wait 0
169203726 MPI_Wait 1
169203726 MPI_Wait 0
169203726 MPI_Wait 1
169203726 MPI_Wait 0
169203726 MPI_Wait 1
169203726 MPI_Wait 0
169203746 MPI_Wait 1
169203746 MPI_Wait 0
169203746 MPI_Wait 1
169203886 MPI_Waitall 0
169203886 MPI_Waitall 1
169203886 MPI_Wait 0
169203909 MPI_Wait 1
169203909 MPI_Wait 0
169203909 MPI_Wait 1
169203909 MPI_Wait 0
169203909 MPI_Wait 1
169204016 MPI_Waitall 0
169204016 MPI_Waitall 1
169204016 MPI_Wait 0
169204016 MPI_Wait 1
169204016 MPI_Wait 0
169204016 MPI_Wait 1
169204016 MPI_Wait 0
169204016 MPI_Wait 1
169218473 MPI_Reduce 0
169218729 MPI_Reduce 1
