time(ms) energy(J) hostname
91113745 0.000000 box
91113845 0.994568 box
91113945 0.995544 box
91114045 0.996948 box
91114145 0.995361 box
91114245 0.996643 box
91114345 0.996643 box
91114445 0.995911 box
91114545 0.995483 box
91114645 0.997253 box
91114745 0.995789 box
91114845 0.996216 box
91114945 0.996216 box
91115045 0.996948 box
91115145 1.001343 box
91115245 0.996826 box
91115345 0.992554 box
91115445 0.998779 box
91115545 0.996643 box
91115645 0.996277 box
91115745 0.994873 box
91115845 0.996582 box
91115945 0.996277 box
91116045 0.995667 box
91116145 0.993530 box
91116245 0.996643 box
91116345 0.996826 box
91116445 1.001221 box
91116545 0.996521 box
91116645 1.001160 box
91116745 0.996277 box
91116845 0.995911 box
91116945 0.996155 box
91117045 0.996521 box
91117145 0.992004 box
91117245 0.996399 box
91117345 0.996277 box
91117445 0.996765 box
91117545 0.996460 box
91117645 0.996826 box
91117745 0.995850 box
91117845 0.996826 box
91117945 0.996216 box
91118045 0.995972 box
91118145 0.997070 box
91118245 0.996033 box
91118345 0.995972 box
91118445 0.996155 box
91118545 0.996033 box
91118645 0.996338 box
91118745 0.996399 box
91118845 0.995361 box
91118945 0.996277 box
91119045 0.996216 box
91119145 0.996887 box
91119245 0.996277 box
91119345 0.994385 box
91119445 1.000366 box
91119545 0.996338 box
91119645 0.996582 box
91119745 0.995850 box
91119845 0.995789 box
91119945 0.996887 box
91120045 0.997009 box
91120145 0.995056 box
91120245 0.997009 box
91120345 0.996155 box
91120445 0.996277 box
91120545 0.996277 box
91120645 0.996399 box
91120745 0.996826 box
91120845 0.995972 box
91120945 0.996826 box
91121045 0.999023 box
91121145 0.996887 box
91121245 0.995544 box
91121345 0.996582 box
91121445 0.997742 box
91121545 0.995850 box
91121645 0.996948 box
91121745 0.996582 box
91121845 0.997681 box
91121945 0.995667 box
91122045 0.996460 box
91122145 0.997131 box
91122245 0.996094 box
91122345 0.997009 box
91122445 0.996155 box
91122545 0.997009 box
91122645 0.996277 box
91122745 0.996399 box
91122845 0.995972 box
91122945 0.996460 box
