time(ms) function_name moment
92415493 MPI_Allreduce 0
92415497 MPI_Allreduce 1
92415497 MPI_Bcast 0
92415497 MPI_Bcast 1
92415497 MPI_Bcast 0
92415497 MPI_Bcast 1
92415497 MPI_Allreduce 0
92415497 MPI_Allreduce 1
92415497 MPI_Allreduce 0
92415497 MPI_Allreduce 1
92415497 MPI_Allgather 0
92415497 MPI_Allgather 1
92415532 MPI_Allgather 0
92415533 MPI_Allgather 1
92415533 MPI_Allgather 0
92415533 MPI_Allgather 1
92420746 MPI_Allreduce 0
92420746 MPI_Allreduce 1
92447697 MPI_Allreduce 0
92447697 MPI_Allreduce 1
92447970 MPI_Allreduce 0
92447972 MPI_Allreduce 1
92447972 MPI_Send 0
92447972 MPI_Send 1
92447972 MPI_Wait 0
92447972 MPI_Wait 1
92447973 MPI_Send 0
92447973 MPI_Send 1
92447973 MPI_Wait 0
92447973 MPI_Wait 1
92447973 MPI_Send 0
92447973 MPI_Send 1
92447973 MPI_Wait 0
92447973 MPI_Wait 1
92447976 MPI_Allreduce 0
92447976 MPI_Allreduce 1
92447976 MPI_Allreduce 0
92447976 MPI_Allreduce 1
92447976 MPI_Allreduce 0
92447976 MPI_Allreduce 1
92448100 MPI_Send 0
92448103 MPI_Send 1
92448103 MPI_Wait 0
92448103 MPI_Wait 1
92448665 MPI_Allreduce 0
92448665 MPI_Allreduce 1
92448694 MPI_Send 0
92448694 MPI_Send 1
92448694 MPI_Wait 0
92448694 MPI_Wait 1
92449236 MPI_Allreduce 0
92449237 MPI_Allreduce 1
92449305 MPI_Allreduce 0
92449305 MPI_Allreduce 1
92449335 MPI_Send 0
92449335 MPI_Send 1
92449335 MPI_Wait 0
92449335 MPI_Wait 1
92449877 MPI_Allreduce 0
92449878 MPI_Allreduce 1
92449946 MPI_Allreduce 0
92449946 MPI_Allreduce 1
92449975 MPI_Send 0
92449976 MPI_Send 1
92449976 MPI_Wait 0
92449976 MPI_Wait 1
92450517 MPI_Allreduce 0
92450519 MPI_Allreduce 1
92450586 MPI_Allreduce 0
92450587 MPI_Allreduce 1
92450616 MPI_Send 0
92450616 MPI_Send 1
92450616 MPI_Wait 0
92450616 MPI_Wait 1
92451159 MPI_Allreduce 0
92451159 MPI_Allreduce 1
92451227 MPI_Allreduce 0
92451228 MPI_Allreduce 1
92451257 MPI_Send 0
92451257 MPI_Send 1
92451257 MPI_Wait 0
92451257 MPI_Wait 1
92451797 MPI_Allreduce 0
92451798 MPI_Allreduce 1
92451865 MPI_Allreduce 0
92451866 MPI_Allreduce 1
92451894 MPI_Send 0
92451895 MPI_Send 1
92451895 MPI_Wait 0
92451895 MPI_Wait 1
92452437 MPI_Allreduce 0
92452438 MPI_Allreduce 1
92452505 MPI_Allreduce 0
92452505 MPI_Allreduce 1
92452535 MPI_Send 0
92452535 MPI_Send 1
92452535 MPI_Wait 0
92452535 MPI_Wait 1
92453076 MPI_Allreduce 0
92453078 MPI_Allreduce 1
92453146 MPI_Allreduce 0
92453146 MPI_Allreduce 1
92453176 MPI_Send 0
92453176 MPI_Send 1
92453176 MPI_Wait 0
92453176 MPI_Wait 1
92453718 MPI_Allreduce 0
92453720 MPI_Allreduce 1
92453787 MPI_Allreduce 0
92453788 MPI_Allreduce 1
92453817 MPI_Send 0
92453817 MPI_Send 1
92453817 MPI_Wait 0
92453817 MPI_Wait 1
92454359 MPI_Allreduce 0
92454360 MPI_Allreduce 1
92454428 MPI_Allreduce 0
92454428 MPI_Allreduce 1
92454458 MPI_Send 0
92454458 MPI_Send 1
92454458 MPI_Wait 0
92454458 MPI_Wait 1
92454999 MPI_Allreduce 0
92455001 MPI_Allreduce 1
92455069 MPI_Allreduce 0
92455070 MPI_Allreduce 1
92455099 MPI_Send 0
92455099 MPI_Send 1
92455099 MPI_Wait 0
92455099 MPI_Wait 1
92455638 MPI_Allreduce 0
92455638 MPI_Allreduce 1
92455706 MPI_Allreduce 0
92455706 MPI_Allreduce 1
92455736 MPI_Send 0
92455736 MPI_Send 1
92455736 MPI_Wait 0
92455736 MPI_Wait 1
92456277 MPI_Allreduce 0
92456279 MPI_Allreduce 1
92456346 MPI_Allreduce 0
92456347 MPI_Allreduce 1
92456376 MPI_Send 0
92456377 MPI_Send 1
92456377 MPI_Wait 0
92456377 MPI_Wait 1
92456918 MPI_Allreduce 0
92456920 MPI_Allreduce 1
92456987 MPI_Allreduce 0
92456988 MPI_Allreduce 1
92457017 MPI_Send 0
92457017 MPI_Send 1
92457017 MPI_Wait 0
92457017 MPI_Wait 1
92457559 MPI_Allreduce 0
92457561 MPI_Allreduce 1
92457628 MPI_Allreduce 0
92457628 MPI_Allreduce 1
92457658 MPI_Send 0
92457658 MPI_Send 1
92457658 MPI_Wait 0
92457658 MPI_Wait 1
92458199 MPI_Allreduce 0
92458201 MPI_Allreduce 1
92458268 MPI_Allreduce 0
92458269 MPI_Allreduce 1
92458298 MPI_Send 0
92458299 MPI_Send 1
92458299 MPI_Wait 0
92458299 MPI_Wait 1
92458839 MPI_Allreduce 0
92458841 MPI_Allreduce 1
92458908 MPI_Allreduce 0
92458909 MPI_Allreduce 1
92458935 MPI_Send 0
92458935 MPI_Send 1
92458935 MPI_Wait 0
92458935 MPI_Wait 1
92459479 MPI_Allreduce 0
92459479 MPI_Allreduce 1
92459547 MPI_Allreduce 0
92459547 MPI_Allreduce 1
92459577 MPI_Send 0
92459577 MPI_Send 1
92459577 MPI_Wait 0
92459577 MPI_Wait 1
92460119 MPI_Allreduce 0
92460120 MPI_Allreduce 1
92460188 MPI_Allreduce 0
92460188 MPI_Allreduce 1
92460218 MPI_Send 0
92460218 MPI_Send 1
92460218 MPI_Wait 0
92460218 MPI_Wait 1
92460760 MPI_Allreduce 0
92460761 MPI_Allreduce 1
92460829 MPI_Allreduce 0
92460829 MPI_Allreduce 1
92460859 MPI_Send 0
92460859 MPI_Send 1
92460859 MPI_Wait 0
92460859 MPI_Wait 1
92461401 MPI_Allreduce 0
92461403 MPI_Allreduce 1
92461470 MPI_Allreduce 0
92461471 MPI_Allreduce 1
92461500 MPI_Send 0
92461500 MPI_Send 1
92461500 MPI_Wait 0
92461500 MPI_Wait 1
92462042 MPI_Allreduce 0
92462044 MPI_Allreduce 1
92462111 MPI_Allreduce 0
92462112 MPI_Allreduce 1
92462141 MPI_Send 0
92462141 MPI_Send 1
