time(ms) energy(J) hostname
93860541 0.000000 box
93860642 1.272400 box
93860741 1.297668 box
93860841 1.296631 box
93860941 1.297791 box
93861041 1.297607 box
93861141 1.297180 box
93861241 1.295471 box
93861341 1.295959 box
93861441 1.296753 box
93861541 1.296326 box
93861641 1.299622 box
93861741 1.296143 box
93861841 1.294312 box
93861941 1.296509 box
93862041 1.296204 box
93862141 1.296509 box
93862241 1.296082 box
93862341 1.297363 box
93862441 1.295227 box
93862541 1.293579 box
93862641 1.296021 box
93862741 1.296570 box
93862841 1.296570 box
93862941 1.295898 box
93863041 1.299622 box
93863141 1.297058 box
93863241 1.295837 box
93863341 1.296448 box
93863441 1.296326 box
93863541 1.296570 box
93863641 1.296448 box
93863741 1.297058 box
93863841 1.295532 box
93863941 1.296387 box
93864041 1.296265 box
93864141 1.295959 box
93864241 1.296204 box
93864341 1.296570 box
93864441 1.296143 box
93864541 1.297180 box
93864641 1.295959 box
93864741 1.297058 box
93864841 1.296082 box
93864941 1.296631 box
93865041 1.295044 box
93865141 1.296082 box
93865241 1.296448 box
93865341 1.295837 box
93865441 1.294739 box
93865541 1.299683 box
93865641 1.296448 box
93865741 1.296875 box
93865841 1.294800 box
93865941 1.294250 box
93866041 1.295715 box
93866141 1.297424 box
93866241 1.294617 box
93866341 1.298157 box
93866441 1.294678 box
93866541 1.296753 box
93866641 1.294312 box
93866741 1.296509 box
93866841 1.297058 box
93866941 1.294983 box
93867041 1.296997 box
93867141 1.295898 box
93867241 1.295532 box
93867341 1.297791 box
93867441 1.295288 box
93867541 1.296082 box
93867641 1.295776 box
93867741 1.296936 box
93867841 1.295349 box
93867941 1.296570 box
93868041 1.295593 box
93868141 1.296204 box
93868241 1.295959 box
93868341 1.296509 box
93868441 1.294922 box
93868541 1.297424 box
93868641 1.295227 box
93868741 1.296021 box
93868841 1.295837 box
93868941 1.298157 box
93869041 1.295593 box
93869141 1.296021 box
93869241 1.295288 box
93869341 1.295715 box
93869441 1.296021 box
93869541 1.298035 box
93869641 1.295532 box
93869741 1.295715 box
93869841 1.297363 box
93869941 1.294678 box
93870041 1.297852 box
93870141 1.296753 box
93870241 1.295288 box
93870341 1.295166 box
93870441 1.297058 box
93870541 1.295288 box
93870641 1.295593 box
93870741 1.297119 box
93870841 1.296082 box
93870941 1.294861 box
93871041 1.296875 box
93871141 1.295959 box
93871241 1.296265 box
93871341 1.297058 box
93871441 1.294922 box
93871541 1.295959 box
93871641 1.297180 box
93871741 1.295776 box
93871841 1.296509 box
93871941 1.295715 box
93872041 1.296997 box
93872141 1.294861 box
93872241 1.297058 box
93872341 1.295776 box
93872441 1.295776 box
93872541 1.295898 box
93872641 1.296204 box
93872741 1.296021 box
93872841 1.295715 box
93872941 1.295166 box
93873041 1.296936 box
93873141 1.297241 box
93873241 1.295776 box
93873341 1.294678 box
93873441 1.296753 box
93873541 1.296082 box
93873641 1.296021 box
93873741 1.295776 box
93873841 1.296082 box
93873941 1.296143 box
93874041 1.296814 box
93874141 1.295349 box
93874241 1.296570 box
93874341 1.296143 box
93874441 1.295166 box
93874541 1.295471 box
93874641 1.296570 box
93874741 1.296082 box
93874841 1.294861 box
93874941 1.297119 box
93875041 1.295715 box
93875141 1.296448 box
93875241 1.296936 box
93875341 1.295959 box
93875441 1.294495 box
93875541 1.296448 box
93875641 1.295532 box
93875741 1.297180 box
93875841 1.295715 box
93875941 1.296570 box
93876041 1.295898 box
93876141 1.295837 box
93876241 1.296082 box
93876341 1.295837 box
93876441 1.296692 box
93876541 1.294373 box
93876641 1.296997 box
93876741 1.295105 box
93876841 1.296692 box
93876941 1.295776 box
93877041 1.296143 box
93877141 1.296631 box
93877241 1.296997 box
93877341 1.295349 box
93877441 1.296204 box
