time(ms) function_name moment
94814377 MPI_Allreduce 0
94814377 MPI_Allreduce 1
94814377 MPI_Bcast 0
94814377 MPI_Bcast 1
94814377 MPI_Bcast 0
94814377 MPI_Bcast 1
94814377 MPI_Allreduce 0
94814377 MPI_Allreduce 1
94814377 MPI_Allreduce 0
94814377 MPI_Allreduce 1
94814377 MPI_Allgather 0
94814377 MPI_Allgather 1
94814408 MPI_Allgather 0
94814409 MPI_Allgather 1
94814409 MPI_Allgather 0
94814409 MPI_Allgather 1
94818804 MPI_Allreduce 0
94819225 MPI_Allreduce 1
94842964 MPI_Allreduce 0
94843761 MPI_Allreduce 1
94844027 MPI_Allreduce 0
94844027 MPI_Allreduce 1
94844027 MPI_Send 0
94844027 MPI_Send 1
94844027 MPI_Wait 0
94844027 MPI_Wait 1
94844028 MPI_Send 0
94844028 MPI_Send 1
94844028 MPI_Wait 0
94844028 MPI_Wait 1
94844028 MPI_Send 0
94844028 MPI_Send 1
94844028 MPI_Wait 0
94844028 MPI_Wait 1
94844030 MPI_Allreduce 0
94844031 MPI_Allreduce 1
94844031 MPI_Allreduce 0
94844031 MPI_Allreduce 1
94844031 MPI_Allreduce 0
94844031 MPI_Allreduce 1
94844153 MPI_Send 0
94844153 MPI_Send 1
94844153 MPI_Wait 0
94844153 MPI_Wait 1
94844723 MPI_Allreduce 0
94844723 MPI_Allreduce 1
94844753 MPI_Send 0
94844753 MPI_Send 1
94844753 MPI_Wait 0
94844753 MPI_Wait 1
94845295 MPI_Allreduce 0
94845295 MPI_Allreduce 1
94845362 MPI_Allreduce 0
94845362 MPI_Allreduce 1
94845392 MPI_Send 0
94845392 MPI_Send 1
94845392 MPI_Wait 0
94845392 MPI_Wait 1
94845934 MPI_Allreduce 0
94845934 MPI_Allreduce 1
94846002 MPI_Allreduce 0
94846002 MPI_Allreduce 1
94846032 MPI_Send 0
94846032 MPI_Send 1
94846032 MPI_Wait 0
94846032 MPI_Wait 1
94846573 MPI_Allreduce 0
94846573 MPI_Allreduce 1
94846641 MPI_Allreduce 0
94846641 MPI_Allreduce 1
94846668 MPI_Send 0
94846668 MPI_Send 1
94846668 MPI_Wait 0
94846668 MPI_Wait 1
94847209 MPI_Allreduce 0
94847210 MPI_Allreduce 1
94847278 MPI_Allreduce 0
94847278 MPI_Allreduce 1
94847308 MPI_Send 0
94847308 MPI_Send 1
94847308 MPI_Wait 0
94847308 MPI_Wait 1
94847850 MPI_Allreduce 0
94847850 MPI_Allreduce 1
94847918 MPI_Allreduce 0
94847918 MPI_Allreduce 1
94847947 MPI_Send 0
94847947 MPI_Send 1
94847947 MPI_Wait 0
94847947 MPI_Wait 1
94848489 MPI_Allreduce 0
94848489 MPI_Allreduce 1
94848556 MPI_Allreduce 0
94848556 MPI_Allreduce 1
94848586 MPI_Send 0
94848586 MPI_Send 1
94848586 MPI_Wait 0
94848586 MPI_Wait 1
94849128 MPI_Allreduce 0
94849128 MPI_Allreduce 1
94849195 MPI_Allreduce 0
94849195 MPI_Allreduce 1
94849225 MPI_Send 0
94849225 MPI_Send 1
94849225 MPI_Wait 0
94849225 MPI_Wait 1
94849767 MPI_Allreduce 0
94849767 MPI_Allreduce 1
94849834 MPI_Allreduce 0
94849834 MPI_Allreduce 1
94849864 MPI_Send 0
94849864 MPI_Send 1
94849864 MPI_Wait 0
94849864 MPI_Wait 1
94850402 MPI_Allreduce 0
94850402 MPI_Allreduce 1
94850469 MPI_Allreduce 0
94850469 MPI_Allreduce 1
94850499 MPI_Send 0
94850499 MPI_Send 1
94850499 MPI_Wait 0
94850499 MPI_Wait 1
94851041 MPI_Allreduce 0
94851041 MPI_Allreduce 1
94851108 MPI_Allreduce 0
94851108 MPI_Allreduce 1
94851138 MPI_Send 0
94851138 MPI_Send 1
94851138 MPI_Wait 0
94851138 MPI_Wait 1
94851681 MPI_Allreduce 0
94851681 MPI_Allreduce 1
94851748 MPI_Allreduce 0
94851748 MPI_Allreduce 1
94851778 MPI_Send 0
94851778 MPI_Send 1
94851778 MPI_Wait 0
94851778 MPI_Wait 1
94852320 MPI_Allreduce 0
94852320 MPI_Allreduce 1
94852387 MPI_Allreduce 0
94852387 MPI_Allreduce 1
94852417 MPI_Send 0
94852417 MPI_Send 1
94852417 MPI_Wait 0
94852417 MPI_Wait 1
94852959 MPI_Allreduce 0
94852959 MPI_Allreduce 1
94853026 MPI_Allreduce 0
94853026 MPI_Allreduce 1
94853056 MPI_Send 0
94853056 MPI_Send 1
94853056 MPI_Wait 0
94853056 MPI_Wait 1
94853598 MPI_Allreduce 0
94853598 MPI_Allreduce 1
94853666 MPI_Allreduce 0
94853666 MPI_Allreduce 1
94853696 MPI_Send 0
94853696 MPI_Send 1
94853696 MPI_Wait 0
94853696 MPI_Wait 1
94854233 MPI_Allreduce 0
94854234 MPI_Allreduce 1
94854301 MPI_Allreduce 0
94854301 MPI_Allreduce 1
94854331 MPI_Send 0
94854331 MPI_Send 1
94854331 MPI_Wait 0
94854331 MPI_Wait 1
94854873 MPI_Allreduce 0
94854873 MPI_Allreduce 1
94854941 MPI_Allreduce 0
94854941 MPI_Allreduce 1
94854970 MPI_Send 0
94854970 MPI_Send 1
94854970 MPI_Wait 0
94854970 MPI_Wait 1
94855512 MPI_Allreduce 0
94855512 MPI_Allreduce 1
94855580 MPI_Allreduce 0
94855580 MPI_Allreduce 1
94855610 MPI_Send 0
94855610 MPI_Send 1
94855610 MPI_Wait 0
94855610 MPI_Wait 1
94856152 MPI_Allreduce 0
94856152 MPI_Allreduce 1
94856219 MPI_Allreduce 0
94856219 MPI_Allreduce 1
94856249 MPI_Send 0
94856249 MPI_Send 1
94856249 MPI_Wait 0
94856249 MPI_Wait 1
94856792 MPI_Allreduce 0
94856792 MPI_Allreduce 1
94856860 MPI_Allreduce 0
94856860 MPI_Allreduce 1
94856889 MPI_Send 0
94856889 MPI_Send 1
94856889 MPI_Wait 0
94856889 MPI_Wait 1
94857432 MPI_Allreduce 0
94857432 MPI_Allreduce 1
94857500 MPI_Allreduce 0
94857500 MPI_Allreduce 1
94857526 MPI_Send 0
94857526 MPI_Send 1
94857526 MPI_Wait 0
94857526 MPI_Wait 1
94858068 MPI_Allreduce 0
94858068 MPI_Allreduce 1
94858136 MPI_Allreduce 0
94858136 MPI_Allreduce 1
94858166 MPI_Send 0
94858166 MPI_Send 1
94858166 MPI_Wait 0
94858166 MPI_Wait 1
94858708 MPI_Allreduce 0
94858708 MPI_Allreduce 1
94858776 MPI_Allreduce 0
94858776 MPI_Allreduce 1
94858805 MPI_Send 0
94858806 MPI_Send 1
94858806 MPI_Wait 0
94858806 MPI_Wait 1
94859348 MPI_Allreduce 0
94859348 MPI_Allreduce 1
94859416 MPI_Allreduce 0
94859416 MPI_Allreduce 1
94859445 MPI_Send 0
94859445 MPI_Send 1
94859445 MPI_Wait 0
94859445 MPI_Wait 1
94859988 MPI_Allreduce 0
94859988 MPI_Allreduce 1
94860056 MPI_Allreduce 0
94860056 MPI_Allreduce 1
94860085 MPI_Send 0
94860086 MPI_Send 1
94860086 MPI_Wait 0
94860086 MPI_Wait 1
94860628 MPI_Allreduce 0
94860628 MPI_Allreduce 1
94860696 MPI_Allreduce 0
94860696 MPI_Allreduce 1
94860726 MPI_Send 0
94860726 MPI_Send 1
94860726 MPI_Wait 0
94860726 MPI_Wait 1
94861265 MPI_Allreduce 0
94861265 MPI_Allreduce 1
94861332 MPI_Allreduce 0
94861332 MPI_Allreduce 1
94861361 MPI_Send 0
94861361 MPI_Send 1
94861361 MPI_Wait 0
94861361 MPI_Wait 1
94861902 MPI_Allreduce 0
94861902 MPI_Allreduce 1
94861970 MPI_Allreduce 0
94861970 MPI_Allreduce 1
94862000 MPI_Send 0
94862000 MPI_Send 1
94862000 MPI_Wait 0
94862000 MPI_Wait 1
94862541 MPI_Allreduce 0
94862541 MPI_Allreduce 1
94862609 MPI_Allreduce 0
94862609 MPI_Allreduce 1
94862639 MPI_Send 0
94862639 MPI_Send 1
94862639 MPI_Wait 0
94862639 MPI_Wait 1
94863181 MPI_Allreduce 0
94863181 MPI_Allreduce 1
94863249 MPI_Allreduce 0
94863249 MPI_Allreduce 1
94863279 MPI_Send 0
94863279 MPI_Send 1
94863279 MPI_Wait 0
94863279 MPI_Wait 1
94863820 MPI_Allreduce 0
94863820 MPI_Allreduce 1
94863888 MPI_Allreduce 0
94863888 MPI_Allreduce 1
94863918 MPI_Send 0
94863918 MPI_Send 1
94863918 MPI_Wait 0
94863918 MPI_Wait 1
94864460 MPI_Allreduce 0
94864460 MPI_Allreduce 1
94864528 MPI_Allreduce 0
94864528 MPI_Allreduce 1
94864558 MPI_Send 0
94864558 MPI_Send 1
94864558 MPI_Wait 0
94864558 MPI_Wait 1
94865095 MPI_Allreduce 0
94865096 MPI_Allreduce 1
