time(ms) energy(J) hostname
94338291 0.000000 box
94338391 1.335571 box
94338491 1.293091 box
94338591 1.302490 box
94338691 1.319885 box
94338791 1.346680 box
94338891 1.346802 box
94338991 1.347351 box
94339091 1.346802 box
94339191 1.346741 box
94339291 1.346497 box
94339391 1.346558 box
94339491 1.349854 box
94339591 1.343994 box
94339691 1.347168 box
94339791 1.347229 box
94339891 1.344971 box
94339991 1.346619 box
94340091 1.346741 box
94340191 1.345825 box
94340291 1.344055 box
94340391 1.345886 box
94340491 1.346558 box
94340591 1.346130 box
94340691 1.346985 box
94340791 1.349182 box
94340891 1.346741 box
94340991 1.346191 box
94341091 1.345459 box
94341191 1.346741 box
94341291 1.346619 box
94341391 1.345520 box
94341491 1.346008 box
94341591 1.346497 box
94341691 1.345642 box
94341791 1.347290 box
94341891 1.345947 box
94341991 1.345825 box
94342091 1.346191 box
94342191 1.346008 box
94342291 1.346313 box
94342391 1.345886 box
94342491 1.346375 box
94342591 1.346191 box
94342691 1.345947 box
94342791 1.344788 box
94342891 1.345642 box
94342991 1.346558 box
94343091 1.347107 box
94343191 1.343628 box
94343291 1.349426 box
94343391 1.347351 box
94343491 1.345947 box
94343591 1.345886 box
94343691 1.344360 box
94343791 1.346680 box
94343891 1.347107 box
94343991 1.345947 box
94344091 1.346802 box
94344191 1.344910 box
94344291 1.345825 box
94344391 1.346191 box
94344491 1.346924 box
94344591 1.345642 box
94344691 1.347107 box
94344791 1.346436 box
94344891 1.345215 box
94344991 1.346924 box
94345091 1.345642 box
94345191 1.346130 box
94345291 1.345581 box
94345391 1.346313 box
94345491 1.346069 box
94345591 1.346619 box
94345691 1.346252 box
94345791 1.346497 box
94345891 1.345581 box
94345991 1.347046 box
94346091 1.346252 box
94346191 1.346069 box
94346291 1.346313 box
94346391 1.345642 box
94346491 1.346619 box
94346591 1.345642 box
94346691 1.347595 box
94346791 1.344177 box
94346891 1.346924 box
94346991 1.345764 box
94347091 1.346802 box
94347191 1.345581 box
94347291 1.349426 box
94347391 1.345886 box
94347491 1.346252 box
94347591 1.345581 box
94347691 1.346436 box
94347791 1.348511 box
94347891 1.344910 box
94347991 1.346069 box
94348091 1.345886 box
94348191 1.346924 box
94348291 1.346313 box
94348391 1.345703 box
94348491 1.345886 box
94348591 1.346191 box
94348691 1.347412 box
94348791 1.344910 box
94348891 1.346130 box
94348991 1.347107 box
94349091 1.347046 box
94349191 1.345703 box
94349291 1.346436 box
94349391 1.345886 box
94349491 1.346191 box
94349591 1.346436 box
94349691 1.344299 box
94349791 1.347839 box
94349891 1.345703 box
94349991 1.345032 box
94350091 1.347229 box
94350191 1.345276 box
94350291 1.346741 box
94350391 1.345154 box
94350491 1.346741 box
94350591 1.346497 box
94350691 1.346252 box
94350791 1.346863 box
94350891 1.345703 box
94350991 1.346069 box
94351091 1.346558 box
94351191 1.345398 box
94351291 1.346252 box
94351391 1.345886 box
94351491 1.346619 box
94351591 1.347107 box
94351691 1.346069 box
94351791 1.345276 box
94351891 1.346313 box
94351991 1.346985 box
94352091 1.346619 box
94352191 1.346375 box
94352291 1.345642 box
94352391 1.346130 box
94352491 1.346436 box
94352591 1.346802 box
94352691 1.346008 box
94352791 1.346252 box
94352891 1.347595 box
94352991 1.345154 box
94353091 1.347290 box
94353191 1.345886 box
94353291 1.345764 box
94353391 1.347778 box
94353491 1.345581 box
94353591 1.346497 box
94353691 1.344666 box
94353791 1.346619 box
94353891 1.346558 box
94353991 1.345459 box
94354091 1.347046 box
94354191 1.346619 box
94354291 1.344299 box
94354391 1.346497 box
94354491 1.346863 box
94354591 1.346863 box
94354691 1.346436 box
94354791 1.345154 box
94354891 1.347290 box
94354991 1.345520 box
94355091 1.346130 box
94355191 1.346741 box
94355291 1.345459 box
94355391 1.346680 box
94355491 1.347229 box
94355591 1.345764 box
94355691 1.346741 box
94355791 1.345276 box
94355891 1.347961 box
94355991 1.345154 box
94356091 1.346985 box
94356191 1.346313 box
94356291 1.345703 box
94356391 1.346191 box
94356491 1.345947 box
94356591 1.345947 box
94356691 1.345581 box
94356791 1.346436 box
94356891 1.347351 box
94356991 1.345154 box
94357091 1.347168 box
94357191 1.346008 box
94357291 1.346069 box
94357391 1.345642 box
94357491 1.346741 box
94357591 1.345154 box
94357691 1.346741 box
94357791 1.346863 box
94357891 1.346130 box
94357991 1.346069 box
94358091 1.344360 box
94358191 1.347412 box
94358291 1.346741 box
94358391 1.345947 box
94358491 1.345581 box
94358591 1.347168 box
94358691 1.346130 box
94358791 1.345459 box
94358891 1.346863 box
94358991 1.345581 box
94359091 1.346375 box
94359191 1.346680 box
94359291 1.345825 box
94359391 1.344055 box
94359491 1.335510 box
94359591 1.340393 box
94359691 1.331970 box
94359791 1.334167 box
94359891 1.331970 box
94359991 1.331665 box
94360091 1.331909 box
94360191 1.334595 box
94360291 1.337036 box
94360391 1.332825 box
94360491 1.334106 box
94360591 1.332092 box
94360691 1.334167 box
94360791 1.330688 box
94360891 1.325378 box
94360991 1.325378 box
94361091 1.323975 box
94361191 1.323059 box
94361291 1.318970 box
94361391 1.320923 box
94361491 1.313965 box
94361591 1.314026 box
94361691 1.311584 box
94361791 1.310303 box
94361891 1.307312 box
94361991 1.307556 box
94362091 1.303406 box
94362191 1.302612 box
94362291 1.302368 box
94362391 1.301575 box
94362491 1.301331 box
94362591 1.299927 box
94362691 1.298950 box
94362791 1.299744 box
94362891 1.300232 box
94362991 1.301636 box
94363091 1.295166 box
94363191 1.300354 box
94363291 1.300537 box
94363391 1.301514 box
94363491 1.299316 box
94363591 1.300964 box
94363691 1.300293 box
94363791 1.298645 box
94363891 1.297119 box
94363991 1.297241 box
94364091 1.294006 box
94364191 1.298828 box
94364291 1.296692 box
94364391 1.297302 box
94364491 1.296692 box
94364591 1.296753 box
94364691 1.312866 box
94364791 1.346130 box
94364891 1.345459 box
94364991 1.346436 box
94365091 1.345276 box
94365191 1.347107 box
94365291 1.345947 box
94365391 1.345215 box
94365491 1.346252 box
94365591 1.346252 box
94365691 1.349060 box
94365791 1.345642 box
94365891 1.347046 box
94365991 1.346863 box
94366091 1.344543 box
94366191 1.345337 box
94366291 1.346680 box
94366391 1.345581 box
94366491 1.347046 box
94366591 1.345581 box
94366691 1.346252 box
94366791 1.344910 box
94366891 1.346130 box
94366991 1.349976 box
94367091 1.347778 box
94367191 1.346375 box
94367291 1.344971 box
94367391 1.345398 box
94367491 1.346252 box
94367591 1.343506 box
94367691 1.348145 box
94367791 1.346558 box
94367891 1.346619 box
94367991 1.343384 box
94368091 1.345154 box
94368191 1.346130 box
94368291 1.347900 box
94368391 1.331177 box
94368491 1.332092 box
94368591 1.344482 box
94368691 1.343933 box
94368791 1.344971 box
94368891 1.343750 box
94368991 1.311279 box
94369091 1.319458 box
94369191 1.344421 box
94369291 1.345276 box
94369391 1.343506 box
94369491 1.343872 box
94369591 1.285461 box
94369691 1.278870 box
94369791 1.344910 box
94369891 1.344910 box
94369991 1.343140 box
94370091 1.344727 box
94370191 1.336670 box
94370291 1.231445 box
94370391 1.344910 box
94370491 1.344971 box
94370591 1.346985 box
94370691 1.346863 box
94370791 1.348145 box
94370891 1.344971 box
94370991 1.346680 box
94371091 1.344360 box
94371191 1.346558 box
94371291 1.342346 box
94371391 1.343933 box
94371491 1.307434 box
94371591 1.266052 box
94371691 1.344299 box
94371791 1.344116 box
94371891 1.345154 box
94371991 1.344177 box
94372091 1.342834 box
94372191 1.237671 box
94372291 1.337830 box
94372391 1.345337 box
94372491 1.343384 box
94372591 1.345886 box
94372691 1.343262 box
94372791 1.277649 box
94372891 1.294067 box
94372991 1.346313 box
94373091 1.344360 box
94373191 1.343384 box
94373291 1.345642 box
94373391 1.330872 box
94373491 1.240967 box
94373591 1.346497 box
94373691 1.344604 box
94373791 1.345276 box
94373891 1.344666 box
94373991 1.344604 box
94374091 1.253357 box
94374191 1.313721 box
94374291 1.348877 box
94374391 1.346924 box
94374491 1.348083 box
94374591 1.345642 box
94374691 1.342468 box
94374791 1.344971 box
94374891 1.344055 box
94374991 1.343018 box
94375091 1.344849 box
94375191 1.345764 box
94375291 1.338379 box
94375391 1.229309 box
94375491 1.346008 box
94375591 1.343262 box
94375691 1.348267 box
94375791 1.345215 box
94375891 1.346069 box
94375991 1.256470 box
94376091 1.311890 box
94376191 1.343933 box
94376291 1.346008 box
94376391 1.343994 box
94376491 1.346130 box
94376591 1.315247 box
94376691 1.258240 box
94376791 1.344910 box
94376891 1.343140 box
94376991 1.345886 box
94377091 1.344116 box
94377191 1.344971 box
94377291 1.247253 box
94377391 1.329956 box
94377491 1.344482 box
94377591 1.342468 box
94377691 1.344421 box
94377791 1.345459 box
94377891 1.341858 box
94377991 1.345276 box
94378091 1.347961 box
94378191 1.347229 box
94378291 1.344727 box
94378391 1.346436 box
94378491 1.331421 box
94378591 1.239868 box
94378691 1.345215 box
94378791 1.344116 box
94378891 1.345276 box
94378991 1.345337 box
94379091 1.343811 box
