time(ms) energy(J) hostname
95446926 0.000000 box
95447026 1.302734 box
95447126 1.338684 box
95447226 1.346863 box
95447326 1.308167 box
95447426 1.309326 box
95447526 1.308655 box
95447626 1.303833 box
95447726 1.309570 box
95447826 1.310364 box
95447926 1.308716 box
95448026 1.307007 box
95448126 1.306091 box
95448226 1.305359 box
95448326 1.307373 box
95448426 1.397461 box
95448526 1.444336 box
95448626 1.448914 box
95448726 1.445801 box
95448826 1.445984 box
95448926 1.447388 box
95449026 1.444214 box
95449126 1.441895 box
95449226 1.419861 box
95449326 1.445374 box
95449426 1.447205 box
95449526 1.446594 box
95449626 1.446045 box
95449726 1.449097 box
95449826 1.445923 box
95449926 1.446655 box
95450026 1.445801 box
95450126 1.446350 box
95450226 1.446472 box
95450326 1.446167 box
95450426 1.446045 box
95450526 1.446533 box
95450626 1.445557 box
95450726 1.445618 box
95450826 1.446350 box
95450926 1.446350 box
95451026 1.445801 box
95451126 1.446533 box
95451226 1.446106 box
95451326 1.446289 box
95451426 1.445496 box
95451526 1.445862 box
95451626 1.445190 box
95451726 1.445984 box
95451826 1.446655 box
95451926 1.445923 box
95452026 1.444214 box
95452126 1.450378 box
95452226 1.447083 box
95452326 1.445374 box
95452426 1.446472 box
95452526 1.443726 box
95452626 1.446716 box
95452726 1.445374 box
95452826 1.447571 box
95452926 1.445312 box
95453026 1.444824 box
95453126 1.446899 box
95453226 1.445007 box
95453326 1.446716 box
95453426 1.444397 box
95453526 1.447571 box
95453626 1.445557 box
95453726 1.445984 box
95453826 1.445496 box
95453926 1.446960 box
95454026 1.444763 box
95454126 1.445679 box
95454226 1.446045 box
95454326 1.446228 box
95454426 1.445984 box
95454526 1.446228 box
95454626 1.446106 box
95454726 1.444397 box
95454826 1.447021 box
95454926 1.445557 box
95455026 1.445068 box
95455126 1.446472 box
95455226 1.445374 box
95455326 1.445435 box
95455426 1.446045 box
95455526 1.446899 box
95455626 1.445740 box
95455726 1.446594 box
95455826 1.446655 box
95455926 1.444580 box
95456026 1.446594 box
95456126 1.445618 box
95456226 1.446716 box
95456326 1.446899 box
95456426 1.445557 box
95456526 1.445374 box
95456626 1.446289 box
95456726 1.446350 box
95456826 1.445679 box
95456926 1.446045 box
95457026 1.446594 box
95457126 1.446960 box
95457226 1.445679 box
95457326 1.446167 box
95457426 1.446228 box
95457526 1.446350 box
95457626 1.445679 box
95457726 1.446716 box
95457826 1.445740 box
95457926 1.445312 box
95458026 1.445435 box
95458126 1.445862 box
95458226 1.446350 box
95458326 1.445496 box
95458426 1.446472 box
95458526 1.446106 box
95458626 1.447021 box
95458726 1.445374 box
95458826 1.445740 box
95458926 1.446350 box
95459026 1.445618 box
95459126 1.446777 box
95459226 1.445496 box
95459326 1.447266 box
95459426 1.444580 box
95459526 1.445984 box
95459626 1.446411 box
95459726 1.444946 box
95459826 1.447083 box
95459926 1.444824 box
95460026 1.445801 box
95460126 1.445435 box
95460226 1.446167 box
95460326 1.445740 box
95460426 1.446411 box
95460526 1.446350 box
95460626 1.446716 box
95460726 1.446594 box
95460826 1.446106 box
95460926 1.445679 box
95461026 1.446838 box
