time(ms) energy(J) hostname
6020430 0.000000 power2018
6020530 1.007874 power2018
6020630 0.995483 power2018
6020730 0.995605 power2018
6020830 0.994324 power2018
6020930 0.996460 power2018
6021030 0.995544 power2018
6021130 0.999146 power2018
6021230 0.996521 power2018
6021330 0.996399 power2018
6021444 1.124451 power2018
6021530 0.866333 power2018
6021630 0.996521 power2018
6021730 1.007080 power2018
6021830 0.996399 power2018
6021930 0.996277 power2018
6022030 0.994568 power2018
6022130 0.996094 power2018
6022230 0.996765 power2018
6022330 0.981689 power2018
6022430 0.996826 power2018
6022530 0.994934 power2018
6022630 0.996033 power2018
6022730 0.996643 power2018
6022830 0.995850 power2018
6022930 0.994507 power2018
6023030 0.997192 power2018
6023130 0.997192 power2018
6023230 0.995911 power2018
6023330 0.996338 power2018
6023430 0.995239 power2018
6023530 1.004211 power2018
6023630 0.992065 power2018
6023730 1.005859 power2018
6023830 0.986938 power2018
6023930 0.991272 power2018
6024030 1.001587 power2018
6024130 0.996460 power2018
6024230 1.007751 power2018
6024330 0.996399 power2018
6024430 0.996582 power2018
6024530 0.983215 power2018
6024630 0.998169 power2018
6024730 0.997131 power2018
6024830 0.994995 power2018
6024930 0.997070 power2018
6025030 0.995605 power2018
6025130 0.996216 power2018
6025230 1.006653 power2018
6025330 0.986450 power2018
6025430 0.996521 power2018
6025530 0.996155 power2018
6025630 0.996704 power2018
6025730 0.996887 power2018
6025830 0.995483 power2018
6025930 0.996582 power2018
6026030 0.997070 power2018
6026130 0.995178 power2018
6026230 0.995911 power2018
6026330 0.996155 power2018
6026430 0.996094 power2018
6026530 0.996460 power2018
6026630 0.995911 power2018
6026730 0.997009 power2018
6026830 0.996094 power2018
6026930 0.995789 power2018
6027030 0.996765 power2018
6027130 0.996033 power2018
6027230 0.997437 power2018
6027330 0.996338 power2018
6027430 0.994934 power2018
6027530 0.996582 power2018
6027630 0.997192 power2018
6027730 0.995239 power2018
6027830 0.996765 power2018
6027930 0.996033 power2018
6028030 0.996460 power2018
6028130 0.996338 power2018
6028230 0.996460 power2018
6028330 0.995728 power2018
6028430 0.996948 power2018
6028530 0.995728 power2018
6028630 0.995911 power2018
6028730 0.995911 power2018
6028830 0.996765 power2018
6028930 0.995667 power2018
6029030 0.997314 power2018
6029130 0.995850 power2018
6029230 0.994934 power2018
6029330 0.997192 power2018
6029430 0.995972 power2018
6029530 0.996765 power2018
6029630 0.996521 power2018
6029730 0.995117 power2018
6029830 0.996826 power2018
6029930 0.995911 power2018
6030030 1.002747 power2018
6030130 0.990356 power2018
6030230 0.996887 power2018
6030330 0.995605 power2018
6030430 0.996948 power2018
6030530 0.995850 power2018
6030630 0.996582 power2018
6030730 0.995850 power2018
6030830 0.996216 power2018
6030930 0.997559 power2018
6031030 0.996704 power2018
6031130 0.995911 power2018
6031230 0.996155 power2018
6031330 0.995667 power2018
6031430 0.996277 power2018
6031530 0.996826 power2018
6031630 0.995605 power2018
6031730 0.996399 power2018
6031830 0.997803 power2018
6031930 0.995850 power2018
6032030 0.995544 power2018
6032130 0.996155 power2018
6032230 0.996948 power2018
6032330 0.996216 power2018
6032430 0.996521 power2018
6032530 0.997498 power2018
6032630 0.995605 power2018
6032730 0.996826 power2018
6032830 0.995422 power2018
6032930 0.997253 power2018
6033030 0.995789 power2018
6033130 0.997009 power2018
6033230 0.997070 power2018
6033330 0.995789 power2018
6033430 0.996948 power2018
6033530 0.995544 power2018
6033630 0.996521 power2018
6033730 0.997192 power2018
6033830 0.995544 power2018
6033930 0.996887 power2018
6034030 0.995728 power2018
6034130 0.997925 power2018
6034230 0.995605 power2018
6034330 0.996155 power2018
6034430 0.995789 power2018
6034530 0.997375 power2018
6034630 0.995605 power2018
6034730 0.997009 power2018
6034830 0.995789 power2018
6034930 0.996155 power2018
6035030 0.996338 power2018
6035130 0.996460 power2018
6035230 0.995544 power2018
6035330 0.996643 power2018
6035430 0.996582 power2018
6035530 0.996338 power2018
6035630 0.996887 power2018
6035730 0.995789 power2018
6035830 0.997070 power2018
6035930 0.996155 power2018
6036030 0.996704 power2018
6036130 0.996094 power2018
6036230 0.996399 power2018
6036330 0.995300 power2018
6036430 0.997314 power2018
6036530 0.995117 power2018
6036630 0.996643 power2018
6036730 0.996094 power2018
6036830 0.995972 power2018
6036930 0.997253 power2018
6037030 0.994873 power2018
6037130 0.996338 power2018
6037230 0.997253 power2018
6037330 0.995239 power2018
6037430 0.997498 power2018
6037530 0.995667 power2018
6037630 0.994751 power2018
6037730 0.997070 power2018
6037830 0.995422 power2018
6037930 0.997437 power2018
6038030 0.995972 power2018
6038130 0.995911 power2018
6038230 0.995728 power2018
6038330 0.996460 power2018
6038430 0.995850 power2018
6038530 0.996277 power2018
6038630 0.996765 power2018
6038730 0.996521 power2018
6038830 0.996338 power2018
6038930 0.996338 power2018
6039030 0.996277 power2018
6039130 0.996155 power2018
6039230 0.996521 power2018
6039330 0.995361 power2018
6039430 0.995850 power2018
6039530 0.996033 power2018
6039630 0.996948 power2018
6039730 0.996338 power2018
6039830 0.996582 power2018
6039930 0.996948 power2018
6040030 0.995789 power2018
6040130 0.996399 power2018
6040230 0.997314 power2018
6040330 0.997253 power2018
6040430 0.996155 power2018
6040530 0.995361 power2018
6040630 0.997559 power2018
6040730 0.996399 power2018
6040830 0.996155 power2018
6040930 0.997375 power2018
6041030 0.995178 power2018
6041130 0.995667 power2018
6041230 0.997559 power2018
6041330 0.995850 power2018
6041430 0.996033 power2018
6041530 0.995117 power2018
6041630 0.996338 power2018
6041730 0.996277 power2018
6041830 0.995728 power2018
6041930 0.997131 power2018
6042030 0.996216 power2018
6042130 0.996399 power2018
6042230 0.995605 power2018
6042330 0.995911 power2018
6042430 0.996338 power2018
6042530 0.997192 power2018
6042630 0.995422 power2018
6042730 0.997253 power2018
6042830 0.995728 power2018
6042930 0.995789 power2018
6043030 0.995911 power2018
6043130 0.997559 power2018
6043230 0.995483 power2018
6043330 0.996277 power2018
6043430 0.995972 power2018
6043530 0.996155 power2018
6043630 0.997192 power2018
6043730 0.995789 power2018
6043830 0.996155 power2018
6043930 0.995911 power2018
6044030 0.996643 power2018
6044130 0.996399 power2018
6044230 0.995850 power2018
6044330 0.996521 power2018
6044430 0.996033 power2018
6044530 0.996399 power2018
6044630 0.996521 power2018
6044730 0.995361 power2018
6044830 0.996643 power2018
6044930 0.997009 power2018
6045030 0.995239 power2018
6045130 0.996094 power2018
6045230 0.996948 power2018
6045330 0.997253 power2018
6045430 0.995239 power2018
6045530 0.995789 power2018
6045630 0.996582 power2018
6045730 0.996460 power2018
6045830 0.995911 power2018
6045930 0.996094 power2018
6046030 0.995728 power2018
6046130 0.996521 power2018
6046230 0.996155 power2018
6046330 0.996887 power2018
6046430 0.995911 power2018
6046530 0.996887 power2018
6046630 0.996338 power2018
6046730 0.996460 power2018
6046830 0.996399 power2018
6046930 0.995911 power2018
6047030 0.997070 power2018
6047130 0.995972 power2018
6047230 0.995361 power2018
6047330 0.996216 power2018
6047430 0.996155 power2018
6047530 0.996094 power2018
6047630 0.998047 power2018
6047730 0.997620 power2018
6047830 0.995483 power2018
6047930 0.996399 power2018
6048030 0.996399 power2018
6048130 0.996765 power2018
6048230 0.996155 power2018
6048330 0.996338 power2018
