time(ms) function_name moment
6020412 MPI_Allreduce 0
6020428 MPI_Allreduce 1
6020428 MPI_Bcast 0
6020428 MPI_Bcast 1
6020428 MPI_Bcast 0
6020428 MPI_Bcast 1
6020428 MPI_Allreduce 0
6020428 MPI_Allreduce 1
6020429 MPI_Allreduce 0
6020429 MPI_Allreduce 1
6020429 MPI_Allgather 0
6020429 MPI_Allgather 1
6020488 MPI_Allgather 0
6020503 MPI_Allgather 1
6020503 MPI_Allgather 0
6020503 MPI_Allgather 1
6029960 MPI_Allreduce 0
6029960 MPI_Allreduce 1
6074429 MPI_Allreduce 0
6074429 MPI_Allreduce 1
6074917 MPI_Allreduce 0
6074917 MPI_Allreduce 1
6074917 MPI_Send 0
6074917 MPI_Send 1
6074917 MPI_Wait 0
6074917 MPI_Wait 1
6074918 MPI_Send 0
6074918 MPI_Send 1
6074918 MPI_Wait 0
6074918 MPI_Wait 1
6074918 MPI_Send 0
6074919 MPI_Send 1
6074919 MPI_Wait 0
6074919 MPI_Wait 1
6074922 MPI_Allreduce 0
6074922 MPI_Allreduce 1
6074922 MPI_Allreduce 0
6074922 MPI_Allreduce 1
6074922 MPI_Allreduce 0
6074922 MPI_Allreduce 1
6075644 MPI_Send 0
6075675 MPI_Send 1
6075675 MPI_Wait 0
6075675 MPI_Wait 1
6082424 MPI_Allreduce 0
6082429 MPI_Allreduce 1
6082500 MPI_Send 0
6082500 MPI_Send 1
6082500 MPI_Wait 0
6082500 MPI_Wait 1
6085727 MPI_Allreduce 0
6087268 MPI_Allreduce 1
6087342 MPI_Allreduce 0
6087351 MPI_Allreduce 1
6087408 MPI_Send 0
6087438 MPI_Send 1
6087438 MPI_Wait 0
6087438 MPI_Wait 1
6090916 MPI_Allreduce 0
6092345 MPI_Allreduce 1
6092459 MPI_Allreduce 0
6092459 MPI_Allreduce 1
6092524 MPI_Send 0
6092532 MPI_Send 1
6092532 MPI_Wait 0
6092532 MPI_Wait 1
6093099 MPI_Allreduce 0
6095936 MPI_Allreduce 1
6096051 MPI_Allreduce 0
6096051 MPI_Allreduce 1
6096116 MPI_Send 0
6096116 MPI_Send 1
6096116 MPI_Wait 0
6096116 MPI_Wait 1
6100044 MPI_Allreduce 0
6100644 MPI_Allreduce 1
6100744 MPI_Allreduce 0
6100755 MPI_Allreduce 1
6100781 MPI_Send 0
6100812 MPI_Send 1
6100812 MPI_Wait 0
6100812 MPI_Wait 1
6101759 MPI_Allreduce 0
6103609 MPI_Allreduce 1
6103723 MPI_Allreduce 0
6103740 MPI_Allreduce 1
6103780 MPI_Send 0
6103800 MPI_Send 1
6103800 MPI_Wait 0
6103800 MPI_Wait 1
6104540 MPI_Allreduce 0
6104991 MPI_Allreduce 1
6105107 MPI_Allreduce 0
6105107 MPI_Allreduce 1
6105172 MPI_Send 0
6105172 MPI_Send 1
6105172 MPI_Wait 0
6105172 MPI_Wait 1
6108021 MPI_Allreduce 0
6108021 MPI_Allreduce 1
6108093 MPI_Allreduce 0
6108108 MPI_Allreduce 1
6108133 MPI_Send 0
6108134 MPI_Send 1
