time(ms) energy(J) hostname
10734631 0.000000 power2018
10734731 1.347351 power2018
10734831 1.341919 power2018
10734931 1.345886 power2018
10735031 1.346008 power2018
10735131 1.348511 power2018
10735231 1.345825 power2018
10735331 1.344788 power2018
10735431 1.346252 power2018
10735531 1.346008 power2018
10735631 1.348511 power2018
10735731 1.346680 power2018
10735831 1.345642 power2018
10735931 1.347351 power2018
10736031 1.344849 power2018
10736131 1.345276 power2018
10736231 1.346863 power2018
10736331 1.346619 power2018
10736431 1.345764 power2018
10736531 1.353210 power2018
10736631 1.343445 power2018
10736731 1.346191 power2018
10736831 1.346863 power2018
10736931 1.344482 power2018
10737031 1.345215 power2018
10737131 1.346375 power2018
10737231 1.346436 power2018
10737331 1.345886 power2018
10737431 1.345093 power2018
10737531 1.348755 power2018
10737631 1.343872 power2018
10737731 1.345642 power2018
10737831 1.347717 power2018
10737931 1.341370 power2018
10738031 1.346191 power2018
10738131 1.346375 power2018
10738231 1.345947 power2018
10738331 1.346436 power2018
10738431 1.346436 power2018
10738531 1.345886 power2018
10738631 1.346802 power2018
10738731 1.345154 power2018
10738831 1.350037 power2018
10738931 1.347107 power2018
10739031 1.346863 power2018
10739131 1.345581 power2018
10739231 1.346619 power2018
10739331 1.346313 power2018
10739431 1.345276 power2018
10739531 1.346375 power2018
10739631 1.346924 power2018
10739731 1.346252 power2018
10739831 1.345520 power2018
10739931 1.346497 power2018
10740031 1.345825 power2018
10740131 1.346558 power2018
10740231 1.345581 power2018
10740331 1.345947 power2018
10740431 1.345642 power2018
10740531 1.346191 power2018
10740631 1.346130 power2018
10740731 1.346436 power2018
10740831 1.346069 power2018
10740931 1.346680 power2018
10741031 1.345825 power2018
10741131 1.346375 power2018
10741231 1.346863 power2018
10741331 1.348328 power2018
10741431 1.346497 power2018
10741531 1.346802 power2018
10741631 1.346741 power2018
10741731 1.344788 power2018
10741831 1.346741 power2018
10741931 1.346497 power2018
10742031 1.345764 power2018
10742131 1.346252 power2018
10742231 1.345947 power2018
10742331 1.346069 power2018
10742431 1.346863 power2018
10742531 1.346008 power2018
10742631 1.346558 power2018
10742731 1.347656 power2018
10742831 1.344788 power2018
10742931 1.345581 power2018
10743031 1.345093 power2018
10743131 1.346741 power2018
10743231 1.345459 power2018
10743331 1.346436 power2018
10743431 1.347412 power2018
10743531 1.345215 power2018
10743631 1.345581 power2018
10743731 1.346863 power2018
10743831 1.346924 power2018
10743931 1.344666 power2018
10744031 1.347290 power2018
10744131 1.345459 power2018
10744231 1.345276 power2018
10744331 1.346130 power2018
10744431 1.345276 power2018
10744531 1.345337 power2018
10744631 1.346313 power2018
10744731 1.345764 power2018
10744831 1.347290 power2018
10744931 1.344299 power2018
10745031 1.346191 power2018
10745131 1.346436 power2018
10745231 1.346130 power2018
10745331 1.346619 power2018
10745431 1.344177 power2018
10745531 1.346375 power2018
