time(ms) function_name moment
10956880 MPI_Allreduce 0
10956888 MPI_Allreduce 1
10956888 MPI_Bcast 0
10956888 MPI_Bcast 1
10956888 MPI_Bcast 0
10956888 MPI_Bcast 1
10956888 MPI_Allreduce 0
10956888 MPI_Allreduce 1
10956900 MPI_Allreduce 0
10956900 MPI_Allreduce 1
10956900 MPI_Allgather 0
10956900 MPI_Allgather 1
10956957 MPI_Allgather 0
10956957 MPI_Allgather 1
10956957 MPI_Allgather 0
10956957 MPI_Allgather 1
10965043 MPI_Allreduce 0
10965043 MPI_Allreduce 1
11004113 MPI_Allreduce 0
11004113 MPI_Allreduce 1
11004545 MPI_Allreduce 0
11004556 MPI_Allreduce 1
11004556 MPI_Send 0
11004556 MPI_Send 1
11004556 MPI_Wait 0
11004556 MPI_Wait 1
11004557 MPI_Send 0
11004557 MPI_Send 1
11004557 MPI_Wait 0
11004557 MPI_Wait 1
11004557 MPI_Send 0
11004557 MPI_Send 1
11004557 MPI_Wait 0
11004557 MPI_Wait 1
11004560 MPI_Allreduce 0
11004560 MPI_Allreduce 1
11004560 MPI_Allreduce 0
11004560 MPI_Allreduce 1
11004560 MPI_Allreduce 0
11004560 MPI_Allreduce 1
11005392 MPI_Send 0
11005393 MPI_Send 1
11005393 MPI_Wait 0
11005393 MPI_Wait 1
11009576 MPI_Allreduce 0
11009577 MPI_Allreduce 1
11009647 MPI_Send 0
11009665 MPI_Send 1
11009665 MPI_Wait 0
11009665 MPI_Wait 1
11014682 MPI_Allreduce 0
11014682 MPI_Allreduce 1
11014782 MPI_Allreduce 0
11014782 MPI_Allreduce 1
11014840 MPI_Send 0
11014840 MPI_Send 1
11014840 MPI_Wait 0
11014840 MPI_Wait 1
11018115 MPI_Allreduce 0
11019515 MPI_Allreduce 1
11019630 MPI_Allreduce 0
11019630 MPI_Allreduce 1
11019676 MPI_Send 0
11019696 MPI_Send 1
11019696 MPI_Wait 0
11019696 MPI_Wait 1
11023311 MPI_Allreduce 0
11023585 MPI_Allreduce 1
11023702 MPI_Allreduce 0
11023702 MPI_Allreduce 1
11023760 MPI_Send 0
11023768 MPI_Send 1
11023768 MPI_Wait 0
11023768 MPI_Wait 1
11027186 MPI_Allreduce 0
11027186 MPI_Allreduce 1
11027266 MPI_Allreduce 0
11027288 MPI_Allreduce 1
11027360 MPI_Send 0
11027360 MPI_Send 1
11027360 MPI_Wait 0
11027360 MPI_Wait 1
11027949 MPI_Allreduce 0
11028543 MPI_Allreduce 1
11028616 MPI_Allreduce 0
11028656 MPI_Allreduce 1
11028686 MPI_Send 0
11028728 MPI_Send 1
11028728 MPI_Wait 0
11028728 MPI_Wait 1
11029319 MPI_Allreduce 0
11031135 MPI_Allreduce 1
11031225 MPI_Allreduce 0
11031248 MPI_Allreduce 1
11031277 MPI_Send 0
11031320 MPI_Send 1
11031320 MPI_Wait 0
11031320 MPI_Wait 1
11031977 MPI_Allreduce 0
11031977 MPI_Allreduce 1
11032051 MPI_Allreduce 0
11032064 MPI_Allreduce 1
11032090 MPI_Send 0
11032107 MPI_Send 1
11032107 MPI_Wait 0
11032107 MPI_Wait 1
11032722 MPI_Allreduce 0
11032722 MPI_Allreduce 1
11032802 MPI_Allreduce 0
11032824 MPI_Allreduce 1
11032896 MPI_Send 0
11032896 MPI_Send 1
11032896 MPI_Wait 0
11032896 MPI_Wait 1
11033505 MPI_Allreduce 0
11033505 MPI_Allreduce 1
11033621 MPI_Allreduce 0
11033622 MPI_Allreduce 1
11033650 MPI_Send 0
11033684 MPI_Send 1
11033684 MPI_Wait 0
11033684 MPI_Wait 1
11034277 MPI_Allreduce 0
11034292 MPI_Allreduce 1
11034394 MPI_Allreduce 0
11034394 MPI_Allreduce 1
11034456 MPI_Send 0
11034456 MPI_Send 1
11034456 MPI_Wait 0
11034456 MPI_Wait 1
11035078 MPI_Allreduce 0
11035078 MPI_Allreduce 1
11035196 MPI_Allreduce 0
11035196 MPI_Allreduce 1
11035225 MPI_Send 0
11035227 MPI_Send 1
11035227 MPI_Wait 0
11035227 MPI_Wait 1
11035817 MPI_Allreduce 0
11035834 MPI_Allreduce 1
11035915 MPI_Allreduce 0
11035948 MPI_Allreduce 1
11036008 MPI_Send 0
11036008 MPI_Send 1
11036008 MPI_Wait 0
11036008 MPI_Wait 1
11036626 MPI_Allreduce 0
11036626 MPI_Allreduce 1
11036744 MPI_Allreduce 0
11036744 MPI_Allreduce 1
11036780 MPI_Send 0
11036812 MPI_Send 1
11036812 MPI_Wait 0
11036812 MPI_Wait 1
11037428 MPI_Allreduce 0
11037428 MPI_Allreduce 1
11037534 MPI_Allreduce 0
11037534 MPI_Allreduce 1
11037565 MPI_Send 0
11037566 MPI_Send 1
11037566 MPI_Wait 0
11037566 MPI_Wait 1
11038162 MPI_Allreduce 0
11038176 MPI_Allreduce 1
11038258 MPI_Allreduce 0
11038258 MPI_Allreduce 1
11038315 MPI_Send 0
11038316 MPI_Send 1
11038316 MPI_Wait 0
11038316 MPI_Wait 1
11038935 MPI_Allreduce 0
11038952 MPI_Allreduce 1
11039033 MPI_Allreduce 0
11039033 MPI_Allreduce 1
11039060 MPI_Send 0
11039104 MPI_Send 1
11039104 MPI_Wait 0
11039104 MPI_Wait 1
11039714 MPI_Allreduce 0
11039714 MPI_Allreduce 1
11039834 MPI_Allreduce 0
11039852 MPI_Allreduce 1
11039900 MPI_Send 0
11039928 MPI_Send 1
11039928 MPI_Wait 0
11039928 MPI_Wait 1
11040542 MPI_Allreduce 0
11040542 MPI_Allreduce 1
11040652 MPI_Allreduce 0
11040660 MPI_Allreduce 1
11040699 MPI_Send 0
11040728 MPI_Send 1
11040728 MPI_Wait 0
11040728 MPI_Wait 1
11041336 MPI_Allreduce 0
11041336 MPI_Allreduce 1
11041464 MPI_Allreduce 0
11041464 MPI_Allreduce 1
11041536 MPI_Send 0
11041540 MPI_Send 1
11041540 MPI_Wait 0
11041540 MPI_Wait 1
11042126 MPI_Allreduce 0
11042140 MPI_Allreduce 1
11042216 MPI_Allreduce 0
11042216 MPI_Allreduce 1
11042256 MPI_Send 0
11042276 MPI_Send 1
11042276 MPI_Wait 0
11042276 MPI_Wait 1
11042864 MPI_Allreduce 0
11042890 MPI_Allreduce 1
11043000 MPI_Allreduce 0
11043004 MPI_Allreduce 1
11043072 MPI_Send 0
11043072 MPI_Send 1
11043072 MPI_Wait 0
11043072 MPI_Wait 1
11043661 MPI_Allreduce 0
11043662 MPI_Allreduce 1
11043734 MPI_Allreduce 0
11043754 MPI_Allreduce 1
11043815 MPI_Send 0
11043815 MPI_Send 1
11043815 MPI_Wait 0
11043815 MPI_Wait 1
11044419 MPI_Allreduce 0
11044419 MPI_Allreduce 1
11044493 MPI_Allreduce 0
11044520 MPI_Allreduce 1
11044580 MPI_Send 0
11044583 MPI_Send 1
11044583 MPI_Wait 0
11044583 MPI_Wait 1
11045176 MPI_Allreduce 0
11045178 MPI_Allreduce 1
11045282 MPI_Allreduce 0
11045282 MPI_Allreduce 1
11045340 MPI_Send 0
11045344 MPI_Send 1
11045344 MPI_Wait 0
11045344 MPI_Wait 1
11045944 MPI_Allreduce 0
11045944 MPI_Allreduce 1
11046002 MPI_Allreduce 0
11046026 MPI_Allreduce 1
11046084 MPI_Send 0
11046084 MPI_Send 1
11046084 MPI_Wait 0
11046084 MPI_Wait 1
11046698 MPI_Allreduce 0
11046698 MPI_Allreduce 1
11046779 MPI_Allreduce 0
11046782 MPI_Allreduce 1
11046809 MPI_Send 0
11046833 MPI_Send 1
11046833 MPI_Wait 0
11046833 MPI_Wait 1
11047430 MPI_Allreduce 0
11047432 MPI_Allreduce 1
11047534 MPI_Allreduce 0
11047534 MPI_Allreduce 1
11047600 MPI_Send 0
11047600 MPI_Send 1
11047600 MPI_Wait 0
11047600 MPI_Wait 1
11048203 MPI_Allreduce 0
11048203 MPI_Allreduce 1
11048314 MPI_Allreduce 0
11048318 MPI_Allreduce 1
11048380 MPI_Send 0
11048380 MPI_Send 1
11048380 MPI_Wait 0
11048380 MPI_Wait 1
11048982 MPI_Allreduce 0
11048997 MPI_Allreduce 1
11049082 MPI_Allreduce 0
11049082 MPI_Allreduce 1
11049140 MPI_Send 0
11049140 MPI_Send 1
11049140 MPI_Wait 0
11049140 MPI_Wait 1
11049756 MPI_Allreduce 0
