time(ms) energy(J) hostname
10039963 0.000000 power2018
10040063 1.298157 power2018
10040163 1.295044 power2018
10040263 1.292725 power2018
10040363 1.299255 power2018
10040463 1.294861 power2018
10040563 1.294861 power2018
10040663 1.297729 power2018
10040763 1.295715 power2018
10040863 1.294739 power2018
10040963 1.298706 power2018
10041063 1.295898 power2018
10041163 1.295837 power2018
10041263 1.294434 power2018
10041363 1.298157 power2018
10041463 1.294067 power2018
10041563 1.295837 power2018
10041663 1.297913 power2018
10041763 1.292969 power2018
10041863 1.301331 power2018
10041963 1.297424 power2018
10042063 1.295166 power2018
10042163 1.295410 power2018
10042263 1.296814 power2018
10042363 1.295349 power2018
10042463 1.293884 power2018
10042563 1.298279 power2018
10042663 1.295105 power2018
10042763 1.296814 power2018
10042863 1.295776 power2018
10042963 1.297119 power2018
10043063 1.295105 power2018
10043163 1.295959 power2018
10043263 1.292542 power2018
10043363 1.296143 power2018
10043463 1.296875 power2018
10043563 1.296692 power2018
10043663 1.296204 power2018
10043763 1.295715 power2018
10043863 1.296204 power2018
10043963 1.296448 power2018
10044063 1.295471 power2018
10044163 1.296936 power2018
10044263 1.299133 power2018
10044363 1.298035 power2018
10044463 1.295471 power2018
10044563 1.295532 power2018
10044663 1.296387 power2018
10044763 1.296143 power2018
10044863 1.296570 power2018
10044963 1.296570 power2018
10045063 1.295715 power2018
10045163 1.297913 power2018
10045263 1.294922 power2018
10045363 1.297180 power2018
10045463 1.296387 power2018
10045563 1.296204 power2018
10045663 1.295898 power2018
10045763 1.296692 power2018
10045863 1.297241 power2018
10045963 1.296021 power2018
10046063 1.296387 power2018
10046163 1.295898 power2018
10046263 1.295898 power2018
10046363 1.295410 power2018
10046463 1.296936 power2018
10046563 1.297363 power2018
10046663 1.295044 power2018
10046763 1.295959 power2018
10046863 1.296509 power2018
10046963 1.296692 power2018
10047063 1.297058 power2018
10047163 1.295837 power2018
10047263 1.296448 power2018
10047363 1.296631 power2018
10047463 1.295654 power2018
10047563 1.296570 power2018
10047663 1.296692 power2018
10047763 1.296814 power2018
10047863 1.296265 power2018
10047963 1.295715 power2018
10048063 1.295349 power2018
10048163 1.296631 power2018
10048263 1.299500 power2018
10048363 1.296021 power2018
10048463 1.296021 power2018
10048563 1.295776 power2018
10048663 1.295044 power2018
10048763 1.296692 power2018
10048863 1.294495 power2018
10048963 1.300415 power2018
10049063 1.294189 power2018
10049163 1.295715 power2018
10049263 1.296387 power2018
10049363 1.295898 power2018
10049463 1.295593 power2018
10049563 1.296875 power2018
10049663 1.296021 power2018
10049763 1.296997 power2018
10049863 1.295166 power2018
10049963 1.296204 power2018
10050063 1.295532 power2018
