time(ms) energy(J) hostname
12347259 0.000000 power2018
12347359 1.447266 power2018
12347459 1.441833 power2018
12347559 1.424927 power2018
12347659 1.430176 power2018
12347759 1.447632 power2018
12347859 1.445129 power2018
12347959 1.445618 power2018
12348059 1.441833 power2018
12348159 1.445007 power2018
12348259 1.449524 power2018
12348359 1.446167 power2018
12348459 1.446472 power2018
12348559 1.448303 power2018
12348659 1.444153 power2018
12348759 1.443542 power2018
12348859 1.448853 power2018
12348959 1.447876 power2018
12349059 1.446716 power2018
12349159 1.444885 power2018
12349259 1.445740 power2018
12349359 1.446899 power2018
12349459 1.445557 power2018
12349559 1.443726 power2018
12349659 1.448425 power2018
12349759 1.446777 power2018
12349859 1.445435 power2018
12349959 1.446228 power2018
12350059 1.447205 power2018
12350159 1.446655 power2018
12350259 1.444092 power2018
12350359 1.443726 power2018
12350459 1.447144 power2018
12350559 1.445801 power2018
12350659 1.446106 power2018
12350759 1.445618 power2018
12350859 1.445801 power2018
12350959 1.450317 power2018
12351059 1.446838 power2018
12351159 1.446228 power2018
12351259 1.445801 power2018
12351359 1.446716 power2018
12351459 1.446777 power2018
12351559 1.446106 power2018
12351659 1.446228 power2018
12351759 1.445618 power2018
12351859 1.446289 power2018
12351959 1.445984 power2018
12352059 1.446289 power2018
12352159 1.445740 power2018
12352259 1.445862 power2018
12352359 1.446472 power2018
12352459 1.447021 power2018
12352559 1.446289 power2018
12352659 1.446045 power2018
12352759 1.446411 power2018
12352859 1.445740 power2018
12352959 1.446533 power2018
12353059 1.446045 power2018
12353159 1.446350 power2018
12353259 1.445923 power2018
12353359 1.448364 power2018
12353459 1.446411 power2018
12353559 1.446716 power2018
12353659 1.446838 power2018
12353759 1.445068 power2018
12353859 1.446106 power2018
12353959 1.446350 power2018
12354059 1.445984 power2018
12354159 1.447021 power2018
12354259 1.445068 power2018
12354359 1.446350 power2018
12354459 1.445984 power2018
12354559 1.446411 power2018
12354659 1.445679 power2018
12354759 1.446777 power2018
12354859 1.446716 power2018
12354959 1.443420 power2018
12355059 1.446289 power2018
12355159 1.445618 power2018
12355259 1.445801 power2018
12355359 1.446899 power2018
12355459 1.446289 power2018
12355559 1.445801 power2018
12355659 1.446899 power2018
12355759 1.445007 power2018
12355859 1.446106 power2018
12355959 1.446167 power2018
12356059 1.446472 power2018
12356159 1.443970 power2018
12356259 1.448914 power2018
12356359 1.446411 power2018
12356459 1.443970 power2018
12356559 1.446655 power2018
12356659 1.446533 power2018
12356759 1.446167 power2018
12356859 1.444946 power2018
12356959 1.446655 power2018
12357059 1.444275 power2018
12357159 1.446106 power2018
12357259 1.445801 power2018
