time(ms) energy(J) hostname
4429184 0.000000 box
4429284 1.045654 box
4429384 1.044250 box
4429484 1.046509 box
4429584 1.046509 box
4429684 1.046204 box
4429784 1.047791 box
4429884 1.045410 box
4429984 1.047302 box
4430084 1.046204 box
4430184 1.045654 box
4430284 1.047852 box
4430384 1.045654 box
4430484 1.046204 box
4430584 1.045959 box
4430684 1.046265 box
4430784 1.047363 box
4430884 1.048401 box
4430984 1.048584 box
4431084 1.046570 box
4431184 1.047485 box
4431284 1.045898 box
4431384 1.046326 box
4431484 1.046448 box
4431584 1.044189 box
4431684 1.044617 box
4431784 1.046265 box
4431884 1.051147 box
4431984 1.045227 box
4432084 1.049683 box
4432184 1.050110 box
4432284 1.046387 box
4432384 1.046814 box
4432484 1.045349 box
4432584 1.046021 box
4432684 1.044067 box
4432784 1.045593 box
4432884 1.046631 box
4432984 1.046204 box
4433084 1.046570 box
4433184 1.046143 box
4433284 1.046631 box
4433384 1.046326 box
4433484 1.046509 box
4433584 1.046753 box
4433684 1.045898 box
4433784 1.046448 box
4433884 1.046021 box
4433984 1.046692 box
4434084 1.046021 box
4434184 1.046448 box
4434284 1.045410 box
4434384 1.046753 box
4434484 1.046814 box
4434584 1.047424 box
4434684 1.046448 box
4434784 1.043274 box
4434884 1.050964 box
4434984 1.046265 box
4435084 1.046143 box
4435184 1.045715 box
4435284 1.046204 box
4435384 1.046875 box
4435484 1.045471 box
4435584 1.047241 box
4435684 1.044983 box
4435784 1.046509 box
4435884 1.046326 box
4435984 1.046997 box
4436084 1.046326 box
4436184 1.045837 box
4436284 1.046814 box
4436384 1.046509 box
4436484 1.045715 box
4436584 1.046631 box
4436684 1.045593 box
4436784 1.046265 box
4436884 1.046021 box
4436984 1.046692 box
4437084 1.046509 box
4437184 1.045959 box
4437284 1.047180 box
4437384 1.046143 box
4437484 1.046509 box
4437584 1.045654 box
4437684 1.047485 box
4437784 1.046082 box
4437884 1.045776 box
4437984 1.046692 box
4438084 1.046082 box
4438184 1.046143 box
4438284 1.045044 box
4438384 1.046875 box
4438484 1.046265 box
4438584 1.045959 box
4438684 1.046875 box
4438784 1.045349 box
4438884 1.045959 box
4438984 1.046875 box
4439084 1.045715 box
4439184 1.046326 box
4439284 1.045898 box
4439384 1.046814 box
4439484 1.045715 box
4439584 1.046082 box
4439684 1.046082 box
4439784 1.045715 box
4439884 1.045410 box
4439984 1.046692 box
4440084 1.045959 box
4440184 1.046448 box
4440284 1.046082 box
4440384 1.046448 box
4440484 1.046265 box
4440584 1.046692 box
4440684 1.045471 box
4440784 1.046692 box
4440884 1.046997 box
4440984 1.045410 box
4441084 1.046936 box
4441184 1.045959 box
4441284 1.045898 box
4441384 1.046570 box
4441484 1.046997 box
4441584 1.045837 box
4441684 1.045776 box
4441784 1.046509 box
4441884 1.046326 box
4441984 1.046875 box
4442084 1.046570 box
4442184 1.045532 box
4442284 1.046143 box
4442384 1.045593 box
4442484 1.047058 box
4442584 1.046936 box
4442684 1.046204 box
4442784 1.045532 box
4442884 1.046814 box
4442984 1.046936 box
4443084 1.045349 box
4443184 1.047363 box
4443284 1.045288 box
4443384 1.046692 box
4443484 1.045776 box
4443584 1.045532 box
4443684 1.047852 box
4443784 1.045532 box
4443884 1.045837 box
4443984 1.046082 box
4444084 1.046387 box
4444184 1.046631 box
4444284 1.046326 box
4444384 1.045715 box
4444484 1.045715 box
4444584 1.046692 box
4444684 1.046631 box
4444784 1.046936 box
4444884 1.046631 box
4444984 1.046204 box
4445084 1.045105 box
4445184 1.046570 box
4445284 1.046021 box
4445384 1.047180 box
4445484 1.046265 box
4445584 1.046753 box
4445684 1.045166 box
4445784 1.047302 box
4445884 1.045593 box
4445984 1.047241 box
4446084 1.045715 box
4446184 1.046143 box
4446284 1.045837 box
4446384 1.046814 box
4446484 1.046387 box
4446584 1.046875 box
4446684 1.046448 box
4446784 1.048462 box
4446884 1.046143 box
4446984 1.046570 box
4447084 1.045471 box
4447184 1.047058 box
4447284 1.045410 box
4447384 1.046387 box
4447484 1.046204 box
4447584 1.046082 box
4447684 1.045776 box
4447784 1.046875 box
4447884 1.046021 box
4447984 1.045959 box
4448084 1.046692 box
4448184 1.046570 box
4448284 1.046326 box
4448384 1.046448 box
4448484 1.046692 box
4448584 1.046631 box
4448684 1.046509 box
4448784 1.046326 box
4448884 1.046753 box
4448984 1.045715 box
4449084 1.045776 box
4449184 1.046570 box
4449284 1.045959 box
4449384 1.046631 box
4449484 1.046326 box
4449584 1.046265 box
4449684 1.046143 box
4449784 1.046692 box
4449884 1.046082 box
4449984 1.047546 box
4450084 1.045654 box
4450184 1.046021 box
4450284 1.046204 box
4450384 1.045471 box
4450484 1.046570 box
4450584 1.046753 box
4450684 1.044922 box
4450784 1.046753 box
4450884 1.045959 box
4450984 1.046448 box
4451084 1.046631 box
4451184 1.046265 box
4451284 1.046570 box
4451384 1.046204 box
4451484 1.045837 box
4451584 1.046143 box
4451684 1.046143 box
4451784 1.045593 box
4451884 1.046387 box
4451984 1.045715 box
4452084 1.046204 box
4452184 1.046570 box
4452284 1.046936 box
4452384 1.045288 box
4452484 1.045959 box
4452584 1.046936 box
4452684 1.046387 box
4452784 1.046326 box
4452884 1.046631 box
4452984 1.046265 box
4453084 1.046692 box
4453184 1.042664 box
4453284 1.044250 box
4453384 1.044617 box
4453484 1.046021 box
4453584 1.045898 box
4453684 1.047424 box
4453784 1.045776 box
4453884 1.046448 box
4453984 1.046387 box
4454084 1.046936 box
4454184 1.045898 box
4454284 1.047607 box
4454384 1.044495 box
4454484 1.047363 box
4454584 1.045410 box
4454684 1.046692 box
4454784 1.045593 box
4454884 1.046997 box
4454984 1.046021 box
4455084 1.045532 box
4455184 1.046143 box
4455284 1.045532 box
4455384 1.047485 box
4455484 1.045837 box
4455584 1.046021 box
4455684 1.046387 box
4455784 1.045471 box
4455884 1.046875 box
4455984 1.045715 box
4456084 1.047119 box
4456184 1.045959 box
4456284 1.046814 box
4456384 1.045288 box
4456484 1.046509 box
4456584 1.045959 box
4456684 1.046814 box
4456784 1.045105 box
4456884 1.047119 box
4456984 1.045959 box
4457084 1.046021 box
4457184 1.047241 box
4457284 1.045837 box
4457384 1.045959 box
4457484 1.045532 box
4457584 1.046204 box
4457684 1.045898 box
4457784 1.046753 box
4457884 1.046204 box
4457984 1.046692 box
4458084 1.046448 box
4458184 1.045166 box
4458284 1.046936 box
4458384 1.046509 box
4458484 1.045837 box
4458584 1.046997 box
4458684 1.046448 box
4458784 1.046936 box
4458884 1.046570 box
4458984 1.045654 box
4459084 1.047424 box
4459184 1.048767 box
4459284 1.045959 box
4459384 1.046265 box
4459484 1.047180 box
4459584 1.046326 box
4459684 1.046326 box
4459784 1.046204 box
4459884 1.046448 box
4459984 1.045837 box
4460084 1.046448 box
4460184 1.046021 box
4460284 1.046326 box
4460384 1.046753 box
4460484 1.045227 box
4460584 1.046509 box
4460684 1.046814 box
4460784 1.045227 box
4460884 1.046509 box
4460984 1.046448 box
4461084 1.046143 box
4461184 1.045227 box
4461284 1.046570 box
4461384 1.045898 box
4461484 1.045227 box
4461584 1.044678 box
4461684 1.052307 box
4461784 1.046692 box
4461884 1.049316 box
4461984 1.046875 box
4462084 1.044189 box
4462184 1.047241 box
4462284 1.046631 box
4462384 1.042236 box
4462484 1.045410 box
4462584 1.047180 box
4462684 1.046265 box
4462784 1.047302 box
4462884 1.046753 box
4462984 1.047180 box
4463084 1.045593 box
4463184 1.046692 box
4463284 1.045959 box
4463384 1.046814 box
4463484 1.046814 box
4463584 1.046021 box
4463684 1.043518 box
4463784 1.050293 box
4463884 1.046448 box
4463984 1.046570 box
4464084 1.046631 box
4464184 1.046326 box
4464284 1.043030 box
4464384 1.049438 box
4464484 1.046082 box
4464584 1.046631 box
4464684 1.046265 box
4464784 1.046509 box
4464884 1.044983 box
4464984 1.044067 box
4465084 1.049622 box
4465184 1.046875 box
4465284 1.046204 box
4465384 1.051575 box
4465484 1.046387 box
4465584 1.044495 box
4465684 1.049377 box
4465784 1.045349 box
4465884 1.046692 box
4465984 1.041016 box
4466084 1.046265 box
4466184 1.043579 box
4466284 1.049622 box
4466384 1.046631 box
4466484 1.046143 box
4466584 1.046143 box
4466684 1.046082 box
4466784 1.046204 box
4466884 1.043091 box
4466984 1.049561 box
4467084 1.045715 box
4467184 1.047241 box
4467284 1.045654 box
4467384 1.045959 box
4467484 1.042664 box
4467584 1.050049 box
4467684 1.046143 box
4467784 1.046509 box
4467884 1.046570 box
4467984 1.046692 box
4468084 1.045044 box
4468184 1.044250 box
4468284 1.049622 box
4468384 1.046021 box
4468484 1.046265 box
4468584 1.046509 box
4468684 1.046387 box
4468784 1.043213 box
4468884 1.049377 box
4468984 1.051697 box
4469084 1.046875 box
4469184 1.049500 box
4469284 1.042603 box
4469384 1.042786 box
4469484 1.047791 box
4469584 1.043152 box
4469684 1.046814 box
4469784 1.045288 box
4469884 1.046936 box
4469984 1.046265 box
4470084 1.043335 box
4470184 1.048889 box
4470284 1.046631 box
4470384 1.046082 box
4470484 1.046326 box
4470584 1.047180 box
4470684 1.042175 box
4470784 1.045349 box
4470884 1.046021 box
4470984 1.046570 box
4471084 1.046570 box
4471184 1.046387 box
4471284 1.044678 box
4471384 1.044922 box
4471484 1.049133 box
4471584 1.046448 box
4471684 1.046448 box
4471784 1.045898 box
4471884 1.046326 box
4471984 1.043640 box
4472084 1.048828 box
4472184 1.046448 box
4472284 1.046326 box
4472384 1.046143 box
4472484 1.046265 box
4472584 1.046936 box
4472684 1.049316 box
4472784 1.048950 box
4472884 1.043884 box
4472984 1.046753 box
4473084 1.041809 box
4473184 1.048157 box
4473284 1.044556 box
4473384 1.048401 box
4473484 1.046265 box
4473584 1.046143 box
4473684 1.046326 box
4473784 1.046204 box
4473884 1.043701 box
4473984 1.049500 box
4474084 1.046875 box
4474184 1.046265 box
4474284 1.046692 box
4474384 1.046448 box
4474484 1.044250 box
4474584 1.047058 box
4474684 1.046692 box
4474784 1.046265 box
4474884 1.046387 box
4474984 1.047302 box
4475084 1.046082 box
4475184 1.043701 box
4475284 1.049500 box
4475384 1.046875 box
4475484 1.046509 box
4475584 1.046448 box
4475684 1.046082 box
4475784 1.043762 box
4475884 1.048950 box
4475984 1.046631 box
4476084 1.051514 box
4476184 1.046143 box
4476284 1.046631 box
4476384 1.047180 box
4476484 1.042114 box
4476584 1.050293 box
4476684 1.041077 box
4476784 1.046143 box
4476884 1.046265 box
4476984 1.046387 box
4477084 1.043213 box
4477184 1.049561 box
4477284 1.046570 box
4477384 1.045837 box
4477484 1.046509 box
4477584 1.046021 box
4477684 1.044678 box
4477784 1.047791 box
4477884 1.046997 box
4477984 1.046509 box
4478084 1.046570 box
4478184 1.046570 box
4478284 1.046143 box
4478384 1.047180 box
4478484 1.046143 box
4478584 1.044983 box
4478684 1.046753 box
4478784 1.045593 box
4478884 1.047241 box
4478984 1.043274 box
4479084 1.046570 box
