time(ms) function_name moment
16288874 MPI_Allreduce 0
16288885 MPI_Allreduce 1
16288885 MPI_Bcast 0
16288885 MPI_Bcast 1
16288885 MPI_Bcast 0
16288885 MPI_Bcast 1
16288885 MPI_Allreduce 0
16288885 MPI_Allreduce 1
16288885 MPI_Allreduce 0
16288885 MPI_Allreduce 1
16288885 MPI_Allgather 0
16288885 MPI_Allgather 1
16288921 MPI_Allgather 0
16288922 MPI_Allgather 1
16288922 MPI_Allgather 0
16288922 MPI_Allgather 1
16294674 MPI_Allreduce 0
16294674 MPI_Allreduce 1
16321715 MPI_Allreduce 0
16321715 MPI_Allreduce 1
16321983 MPI_Allreduce 0
16321989 MPI_Allreduce 1
16321989 MPI_Send 0
16321989 MPI_Send 1
16321989 MPI_Wait 0
16321989 MPI_Wait 1
16321990 MPI_Send 0
16321990 MPI_Send 1
16321990 MPI_Wait 0
16321990 MPI_Wait 1
16321990 MPI_Send 0
16321990 MPI_Send 1
16321990 MPI_Wait 0
16321990 MPI_Wait 1
16321993 MPI_Allreduce 0
16321993 MPI_Allreduce 1
16321993 MPI_Allreduce 0
16321993 MPI_Allreduce 1
16321993 MPI_Allreduce 0
16321993 MPI_Allreduce 1
16322097 MPI_Send 0
16322098 MPI_Send 1
16322098 MPI_Wait 0
16322098 MPI_Wait 1
16322666 MPI_Allreduce 0
16322668 MPI_Allreduce 1
16322697 MPI_Send 0
16322697 MPI_Send 1
16322697 MPI_Wait 0
16322697 MPI_Wait 1
16323232 MPI_Allreduce 0
16323233 MPI_Allreduce 1
16323301 MPI_Allreduce 0
16323301 MPI_Allreduce 1
16323331 MPI_Send 0
16323331 MPI_Send 1
16323331 MPI_Wait 0
16323331 MPI_Wait 1
16323871 MPI_Allreduce 0
16323873 MPI_Allreduce 1
16323941 MPI_Allreduce 0
16323941 MPI_Allreduce 1
16323970 MPI_Send 0
16323971 MPI_Send 1
16323971 MPI_Wait 0
16323971 MPI_Wait 1
16324513 MPI_Allreduce 0
16324514 MPI_Allreduce 1
16324581 MPI_Allreduce 0
16324582 MPI_Allreduce 1
16324611 MPI_Send 0
16324611 MPI_Send 1
16324611 MPI_Wait 0
16324611 MPI_Wait 1
16325149 MPI_Allreduce 0
16325151 MPI_Allreduce 1
16325218 MPI_Allreduce 0
16325219 MPI_Allreduce 1
16325245 MPI_Send 0
16325245 MPI_Send 1
16325245 MPI_Wait 0
16325245 MPI_Wait 1
16325788 MPI_Allreduce 0
16325788 MPI_Allreduce 1
16325855 MPI_Allreduce 0
16325856 MPI_Allreduce 1
16325885 MPI_Send 0
16325885 MPI_Send 1
16325885 MPI_Wait 0
16325885 MPI_Wait 1
16326427 MPI_Allreduce 0
16326428 MPI_Allreduce 1
16326496 MPI_Allreduce 0
16326496 MPI_Allreduce 1
16326526 MPI_Send 0
16326526 MPI_Send 1
16326526 MPI_Wait 0
16326526 MPI_Wait 1
16327067 MPI_Allreduce 0
16327069 MPI_Allreduce 1
16327136 MPI_Allreduce 0
16327136 MPI_Allreduce 1
16327166 MPI_Send 0
16327166 MPI_Send 1
16327166 MPI_Wait 0
16327166 MPI_Wait 1
16327708 MPI_Allreduce 0
16327710 MPI_Allreduce 1
16327777 MPI_Allreduce 0
16327777 MPI_Allreduce 1
16327807 MPI_Send 0
16327807 MPI_Send 1
16327807 MPI_Wait 0
16327807 MPI_Wait 1
16328348 MPI_Allreduce 0
16328350 MPI_Allreduce 1
16328418 MPI_Allreduce 0
16328418 MPI_Allreduce 1
16328448 MPI_Send 0
16328448 MPI_Send 1
16328448 MPI_Wait 0
16328448 MPI_Wait 1
16328987 MPI_Allreduce 0
16328988 MPI_Allreduce 1
16329054 MPI_Allreduce 0
16329055 MPI_Allreduce 1
16329084 MPI_Send 0
16329084 MPI_Send 1
16329084 MPI_Wait 0
16329084 MPI_Wait 1
16329625 MPI_Allreduce 0
16329626 MPI_Allreduce 1
16329694 MPI_Allreduce 0
16329694 MPI_Allreduce 1
16329724 MPI_Send 0
16329724 MPI_Send 1
16329724 MPI_Wait 0
16329724 MPI_Wait 1
16330265 MPI_Allreduce 0
16330266 MPI_Allreduce 1
16330333 MPI_Allreduce 0
16330334 MPI_Allreduce 1
16330363 MPI_Send 0
16330363 MPI_Send 1
16330363 MPI_Wait 0
16330363 MPI_Wait 1
16330905 MPI_Allreduce 0
16330907 MPI_Allreduce 1
16330974 MPI_Allreduce 0
16330974 MPI_Allreduce 1
16331004 MPI_Send 0
16331004 MPI_Send 1
16331004 MPI_Wait 0
16331004 MPI_Wait 1
16331546 MPI_Allreduce 0
16331547 MPI_Allreduce 1
16331615 MPI_Allreduce 0
16331615 MPI_Allreduce 1
16331645 MPI_Send 0
16331645 MPI_Send 1
16331645 MPI_Wait 0
16331645 MPI_Wait 1
16332186 MPI_Allreduce 0
16332188 MPI_Allreduce 1
16332256 MPI_Allreduce 0
16332256 MPI_Allreduce 1
16332285 MPI_Send 0
16332286 MPI_Send 1
16332286 MPI_Wait 0
16332286 MPI_Wait 1
16332825 MPI_Allreduce 0
16332825 MPI_Allreduce 1
16332892 MPI_Allreduce 0
16332892 MPI_Allreduce 1
16332922 MPI_Send 0
16332922 MPI_Send 1
16332922 MPI_Wait 0
16332922 MPI_Wait 1
16333463 MPI_Allreduce 0
16333465 MPI_Allreduce 1
16333532 MPI_Allreduce 0
16333532 MPI_Allreduce 1
16333562 MPI_Send 0
16333562 MPI_Send 1
16333562 MPI_Wait 0
16333562 MPI_Wait 1
16334103 MPI_Allreduce 0
16334104 MPI_Allreduce 1
16334172 MPI_Allreduce 0
16334172 MPI_Allreduce 1
16334202 MPI_Send 0
16334202 MPI_Send 1
16334202 MPI_Wait 0
16334202 MPI_Wait 1
16334743 MPI_Allreduce 0
16334745 MPI_Allreduce 1
16334812 MPI_Allreduce 0
16334812 MPI_Allreduce 1
16334842 MPI_Send 0
16334842 MPI_Send 1
16334842 MPI_Wait 0
16334842 MPI_Wait 1
16335383 MPI_Allreduce 0
16335385 MPI_Allreduce 1
16335452 MPI_Allreduce 0
16335452 MPI_Allreduce 1
16335482 MPI_Send 0
16335482 MPI_Send 1
16335482 MPI_Wait 0
16335482 MPI_Wait 1
16336022 MPI_Allreduce 0
16336023 MPI_Allreduce 1
16336086 MPI_Allreduce 0
16336086 MPI_Allreduce 1
16336113 MPI_Send 0
16336114 MPI_Send 1
16336114 MPI_Wait 0
16336114 MPI_Wait 1
16336653 MPI_Allreduce 0
16336653 MPI_Allreduce 1
16336720 MPI_Allreduce 0
16336720 MPI_Allreduce 1
16336750 MPI_Send 0
16336750 MPI_Send 1
16336750 MPI_Wait 0
16336750 MPI_Wait 1
16337292 MPI_Allreduce 0
16337293 MPI_Allreduce 1
16337361 MPI_Allreduce 0
16337361 MPI_Allreduce 1
16337390 MPI_Send 0
16337390 MPI_Send 1
16337390 MPI_Wait 0
16337390 MPI_Wait 1
16337931 MPI_Allreduce 0
16337933 MPI_Allreduce 1
16338001 MPI_Allreduce 0
16338001 MPI_Allreduce 1
16338030 MPI_Send 0
16338031 MPI_Send 1
16338031 MPI_Wait 0
16338031 MPI_Wait 1
16338572 MPI_Allreduce 0
16338574 MPI_Allreduce 1
16338641 MPI_Allreduce 0
16338641 MPI_Allreduce 1
16338671 MPI_Send 0
16338671 MPI_Send 1
16338671 MPI_Wait 0
16338671 MPI_Wait 1
16339212 MPI_Allreduce 0
16339214 MPI_Allreduce 1
16339281 MPI_Allreduce 0
16339281 MPI_Allreduce 1
16339311 MPI_Send 0
16339311 MPI_Send 1
16339311 MPI_Wait 0
16339311 MPI_Wait 1
16339850 MPI_Allreduce 0
16339850 MPI_Allreduce 1
16339918 MPI_Allreduce 0
16339918 MPI_Allreduce 1
16339948 MPI_Send 0
16339948 MPI_Send 1
16339948 MPI_Wait 0
16339948 MPI_Wait 1
16340490 MPI_Allreduce 0
16340491 MPI_Allreduce 1
16340558 MPI_Allreduce 0
16340559 MPI_Allreduce 1
16340588 MPI_Send 0
16340588 MPI_Send 1
16340588 MPI_Wait 0
16340588 MPI_Wait 1
16341130 MPI_Allreduce 0
16341132 MPI_Allreduce 1
16341199 MPI_Allreduce 0
16341199 MPI_Allreduce 1
16341229 MPI_Send 0
16341229 MPI_Send 1
16341229 MPI_Wait 0
16341229 MPI_Wait 1
16341770 MPI_Allreduce 0
16341772 MPI_Allreduce 1
16341839 MPI_Allreduce 0
16341839 MPI_Allreduce 1
16341869 MPI_Send 0
16341869 MPI_Send 1
16341869 MPI_Wait 0
16341869 MPI_Wait 1
16342410 MPI_Allreduce 0
16342412 MPI_Allreduce 1
