time(ms) function_name moment
15801488 MPI_Allreduce 0
15801488 MPI_Allreduce 1
15801488 MPI_Bcast 0
15801488 MPI_Bcast 1
15801488 MPI_Bcast 0
15801488 MPI_Bcast 1
15801488 MPI_Allreduce 0
15801488 MPI_Allreduce 1
15801488 MPI_Allreduce 0
15801488 MPI_Allreduce 1
15801488 MPI_Allgather 0
15801488 MPI_Allgather 1
15801522 MPI_Allgather 0
15801522 MPI_Allgather 1
15801522 MPI_Allgather 0
15801522 MPI_Allgather 1
15806606 MPI_Allreduce 0
15807065 MPI_Allreduce 1
15834322 MPI_Allreduce 0
15834821 MPI_Allreduce 1
15835099 MPI_Allreduce 0
15835099 MPI_Allreduce 1
15835099 MPI_Send 0
15835099 MPI_Send 1
15835099 MPI_Wait 0
15835099 MPI_Wait 1
15835099 MPI_Send 0
15835099 MPI_Send 1
15835099 MPI_Wait 0
15835099 MPI_Wait 1
15835099 MPI_Send 0
15835100 MPI_Send 1
15835100 MPI_Wait 0
15835100 MPI_Wait 1
15835102 MPI_Allreduce 0
15835103 MPI_Allreduce 1
15835103 MPI_Allreduce 0
15835103 MPI_Allreduce 1
15835103 MPI_Allreduce 0
15835103 MPI_Allreduce 1
15835207 MPI_Send 0
15835207 MPI_Send 1
15835207 MPI_Wait 0
15835207 MPI_Wait 1
15835779 MPI_Allreduce 0
15835779 MPI_Allreduce 1
15835808 MPI_Send 0
15835809 MPI_Send 1
15835809 MPI_Wait 0
15835809 MPI_Wait 1
15836352 MPI_Allreduce 0
15836352 MPI_Allreduce 1
15836420 MPI_Allreduce 0
15836420 MPI_Allreduce 1
15836449 MPI_Send 0
15836450 MPI_Send 1
15836450 MPI_Wait 0
15836450 MPI_Wait 1
15836993 MPI_Allreduce 0
15836993 MPI_Allreduce 1
15837061 MPI_Allreduce 0
15837061 MPI_Allreduce 1
15837090 MPI_Send 0
15837090 MPI_Send 1
15837090 MPI_Wait 0
15837090 MPI_Wait 1
15837633 MPI_Allreduce 0
15837633 MPI_Allreduce 1
15837701 MPI_Allreduce 0
15837701 MPI_Allreduce 1
15837730 MPI_Send 0
15837731 MPI_Send 1
15837731 MPI_Wait 0
15837731 MPI_Wait 1
15838274 MPI_Allreduce 0
15838274 MPI_Allreduce 1
15838341 MPI_Allreduce 0
15838341 MPI_Allreduce 1
15838368 MPI_Send 0
15838368 MPI_Send 1
15838368 MPI_Wait 0
15838368 MPI_Wait 1
15838905 MPI_Allreduce 0
15838905 MPI_Allreduce 1
15838973 MPI_Allreduce 0
15838973 MPI_Allreduce 1
15839002 MPI_Send 0
15839002 MPI_Send 1
15839002 MPI_Wait 0
15839002 MPI_Wait 1
15839545 MPI_Allreduce 0
15839545 MPI_Allreduce 1
15839613 MPI_Allreduce 0
15839613 MPI_Allreduce 1
15839642 MPI_Send 0
15839642 MPI_Send 1
15839642 MPI_Wait 0
15839642 MPI_Wait 1
15840185 MPI_Allreduce 0
15840185 MPI_Allreduce 1
15840253 MPI_Allreduce 0
15840253 MPI_Allreduce 1
15840282 MPI_Send 0
15840283 MPI_Send 1
15840283 MPI_Wait 0
15840283 MPI_Wait 1
15840826 MPI_Allreduce 0
15840826 MPI_Allreduce 1
15840893 MPI_Allreduce 0
15840893 MPI_Allreduce 1
15840923 MPI_Send 0
15840923 MPI_Send 1
15840923 MPI_Wait 0
15840923 MPI_Wait 1
15841466 MPI_Allreduce 0
15841466 MPI_Allreduce 1
15841534 MPI_Allreduce 0
15841534 MPI_Allreduce 1
15841563 MPI_Send 0
15841564 MPI_Send 1
15841564 MPI_Wait 0
15841564 MPI_Wait 1
15842104 MPI_Allreduce 0
15842104 MPI_Allreduce 1
15842170 MPI_Allreduce 0
15842170 MPI_Allreduce 1
15842200 MPI_Send 0
15842200 MPI_Send 1
15842200 MPI_Wait 0
