time(ms) energy(J) hostname
6679223 0.000000 box
6679323 1.272278 box
6679423 1.277588 box
6679523 1.298035 box
6679623 1.295959 box
6679722 1.284912 box
6679823 1.265259 box
6679923 1.267761 box
6680022 1.267822 box
6680123 1.267273 box
6680223 1.268127 box
6680323 1.298828 box
6680422 1.296692 box
6680523 1.298523 box
6680622 1.297424 box
6680722 1.296204 box
6680822 1.297485 box
6680922 1.296997 box
6681022 1.295105 box
6681122 1.296570 box
6681222 1.296265 box
6681322 1.296326 box
6681422 1.295898 box
6681523 1.293884 box
6681623 1.296265 box
6681723 1.296814 box
6681823 1.295837 box
6681923 1.295654 box
6682022 1.299622 box
6682122 1.297119 box
6682222 1.295837 box
6682322 1.296753 box
6682422 1.295837 box
6682522 1.295776 box
6682622 1.296631 box
6682722 1.296631 box
6682822 1.296387 box
6682922 1.297119 box
6683022 1.295532 box
6683122 1.297241 box
6683222 1.295593 box
6683322 1.297180 box
6683422 1.295715 box
6683522 1.296570 box
6683622 1.296265 box
6683722 1.295959 box
6683822 1.296875 box
6683922 1.295715 box
6684022 1.295410 box
6684122 1.296387 box
6684222 1.297058 box
6684322 1.296265 box
6684423 1.294922 box
6684522 1.298767 box
6684622 1.296082 box
6684722 1.297180 box
6684822 1.296021 box
6684922 1.294189 box
6685022 1.296082 box
6685122 1.296814 box
6685222 1.295410 box
6685322 1.295715 box
6685422 1.295044 box
6685522 1.296631 box
6685622 1.295349 box
6685722 1.298096 box
6685822 1.294739 box
6685922 1.296143 box
6686022 1.296692 box
6686122 1.296326 box
6686222 1.295593 box
6686322 1.295837 box
6686422 1.295654 box
6686522 1.297913 box
6686622 1.295288 box
6686722 1.295288 box
6686822 1.297119 box
6686922 1.295349 box
6687022 1.296509 box
6687122 1.295776 box
6687222 1.295776 box
6687322 1.295349 box
6687422 1.297119 box
6687522 1.295898 box
6687622 1.295715 box
6687722 1.296265 box
6687822 1.297424 box
6687922 1.295288 box
6688022 1.297119 box
6688122 1.296631 box
6688222 1.295898 box
6688322 1.295532 box
