time(ms) energy(J) hostname
11967829 0.000000 box
11967930 1.232849 box
11968030 1.238770 box
11968130 1.247070 box
11968229 1.235596 box
11968329 1.239990 box
11968429 1.238464 box
11968529 1.238403 box
11968630 1.247375 box
11968729 1.245483 box
11968829 1.248413 box
11968929 1.247070 box
11969029 1.247803 box
11969129 1.245178 box
11969229 1.247192 box
11969329 1.247498 box
11969429 1.246033 box
11969529 1.246826 box
11969629 1.245911 box
11969729 1.246094 box
11969829 1.244629 box
11969929 1.245972 box
11970030 1.245422 box
11970130 1.246399 box
11970230 1.246277 box
11970330 1.246460 box
11970430 1.245850 box
11970529 1.250732 box
11970629 1.246216 box
11970729 1.245667 box
11970829 1.245850 box
11970929 1.246643 box
11971029 1.246277 box
11971129 1.246887 box
11971229 1.246094 box
11971329 1.246643 box
11971429 1.246582 box
11971529 1.246460 box
11971629 1.245728 box
11971729 1.246765 box
11971829 1.245728 box
11971929 1.249329 box
11972029 1.245850 box
11972129 1.246826 box
11972229 1.246094 box
11972329 1.246582 box
11972429 1.246277 box
11972529 1.244751 box
11972629 1.247314 box
11972729 1.246277 box
11972829 1.246033 box
11972929 1.245911 box
11973029 1.245178 box
11973129 1.249084 box
11973229 1.246704 box
11973329 1.245667 box
11973429 1.243591 box
11973529 1.246887 box
11973629 1.245605 box
11973729 1.247131 box
11973829 1.246033 box
11973929 1.245850 box
11974029 1.245361 box
11974129 1.246460 box
11974229 1.246216 box
11974329 1.246765 box
11974429 1.246277 box
11974529 1.246094 box
11974629 1.246338 box
11974729 1.246155 box
11974829 1.247742 box
11974929 1.244446 box
11975029 1.246277 box
11975129 1.246338 box
11975229 1.247559 box
11975329 1.245117 box
11975429 1.246033 box
11975529 1.246887 box
11975629 1.245728 box
11975729 1.244812 box
11975829 1.246521 box
11975929 1.245911 box
11976029 1.246887 box
11976129 1.246094 box
11976229 1.246094 box
11976329 1.245483 box
11976429 1.247253 box
11976529 1.246338 box
11976629 1.246399 box
11976729 1.245972 box
11976829 1.246216 box
11976929 1.247803 box
11977029 1.245117 box
11977129 1.246338 box
11977229 1.246643 box
11977329 1.245239 box
11977429 1.247192 box
11977529 1.246643 box
11977629 1.244995 box
11977729 1.246338 box
11977829 1.246216 box
11977929 1.247253 box
11978029 1.245178 box
11978129 1.247009 box
11978229 1.245483 box
11978329 1.245972 box
11978429 1.247192 box
11978529 1.246155 box
11978629 1.246460 box
11978729 1.245728 box
11978829 1.247498 box
11978929 1.245728 box
11979029 1.245789 box
11979129 1.245789 box
11979229 1.247192 box
11979329 1.245117 box
11979429 1.247070 box
11979529 1.245544 box
11979629 1.246704 box
11979729 1.246643 box
11979829 1.244690 box
11979929 1.246704 box
11980029 1.246948 box
11980129 1.246887 box
11980229 1.244507 box
11980329 1.245544 box
11980429 1.246704 box
11980529 1.246338 box
11980629 1.246582 box
11980729 1.246399 box
11980829 1.246094 box
11980929 1.246216 box
11981029 1.246521 box
11981129 1.246399 box
11981229 1.245239 box
11981329 1.245789 box
11981429 1.247070 box
11981529 1.245422 box
11981629 1.247742 box
11981729 1.245117 box
11981829 1.247620 box
11981929 1.245300 box
11982029 1.246826 box
11982129 1.245850 box
11982229 1.245300 box
11982329 1.246521 box
11982429 1.247070 box
11982529 1.246338 box
11982629 1.246521 box
11982729 1.245422 box
11982829 1.247742 box
11982929 1.245239 box
11983029 1.246643 box
11983129 1.247070 box
11983229 1.246033 box
11983329 1.245667 box
11983429 1.246399 box
11983529 1.246033 box
11983629 1.247253 box
11983729 1.244995 box
11983829 1.246460 box
11983929 1.246948 box
11984029 1.245789 box
11984129 1.245789 box
11984229 1.246399 box
11984329 1.245789 box
11984429 1.245361 box
11984529 1.246704 box
11984629 1.247131 box
11984729 1.245300 box
11984829 1.246033 box
11984929 1.246155 box
11985029 1.246399 box
11985129 1.246338 box
11985229 1.245361 box
11985329 1.247009 box
11985429 1.246216 box
11985529 1.246765 box
11985629 1.244995 box
11985729 1.246094 box
11985829 1.245911 box
11985929 1.245728 box
11986029 1.246399 box
11986129 1.246643 box
11986229 1.245972 box
11986329 1.246643 box
11986429 1.247009 box
11986529 1.248474 box
11986629 1.245911 box
11986729 1.246521 box
11986829 1.248047 box
11986929 1.244385 box
11987029 1.247437 box
11987129 1.245422 box
11987229 1.246460 box
11987329 1.246094 box
11987429 1.246948 box
11987529 1.245789 box
11987629 1.245361 box
11987729 1.247131 box
11987829 1.246582 box
11987929 1.246277 box
11988029 1.244873 box
11988129 1.246643 box
11988229 1.246216 box
11988329 1.246399 box
11988429 1.245911 box
11988529 1.245911 box
11988629 1.247070 box
11988729 1.244934 box
11988829 1.246704 box
11988929 1.246216 box
11989029 1.245850 box
11989129 1.246826 box
11989229 1.246033 box
11989329 1.246216 box
11989429 1.247437 box
11989529 1.245728 box
11989629 1.246826 box
11989729 1.245544 box
11989829 1.245178 box
11989929 1.242493 box
11990029 1.246765 box
11990129 1.245605 box
11990229 1.246826 box
11990329 1.245056 box
11990429 1.246216 box
11990529 1.245544 box
11990629 1.247620 box
11990729 1.244934 box
11990829 1.246399 box
11990929 1.246277 box
11991029 1.246094 box
11991129 1.245544 box
11991229 1.246094 box
11991329 1.245728 box
11991429 1.245605 box
11991529 1.246826 box
11991629 1.245911 box
11991729 1.245789 box
11991829 1.246277 box
11991929 1.245422 box
11992029 1.245544 box
11992129 1.245972 box
11992229 1.246338 box
11992329 1.246216 box
11992429 1.245361 box
11992529 1.245117 box
11992629 1.245911 box
11992729 1.245422 box
11992829 1.245178 box
11992929 1.245483 box
11993029 1.245361 box
11993129 1.244995 box
11993229 1.244873 box
11993329 1.244812 box
11993429 1.244812 box
11993529 1.244385 box
11993629 1.244202 box
11993729 1.246338 box
11993829 1.243958 box
11993929 1.244934 box
11994029 1.245056 box
11994129 1.244812 box
11994229 1.242737 box
11994329 1.244446 box
11994429 1.241943 box
11994529 1.239624 box
11994629 1.240540 box
11994729 1.244690 box
11994829 1.243896 box
11994929 1.243042 box
11995029 1.242554 box
11995129 1.243774 box
11995229 1.243347 box
11995329 1.246338 box
11995429 1.246887 box
11995529 1.245667 box
11995629 1.247498 box
11995729 1.244568 box
11995829 1.246643 box
11995929 1.245728 box
11996029 1.249023 box
11996129 1.244934 box
11996229 1.246521 box
11996329 1.247314 box
11996429 1.244934 box
11996529 1.246948 box
11996629 1.246277 box
11996729 1.245483 box
11996829 1.246155 box
11996929 1.246643 box
11997029 1.246338 box
11997129 1.244873 box
11997229 1.245972 box
11997329 1.245667 box
11997429 1.245544 box
11997529 1.248230 box
11997629 1.245850 box
11997729 1.250122 box
11997829 1.245850 box
11997929 1.244446 box
11998029 1.248108 box
11998129 1.246765 box
11998229 1.243835 box
11998329 1.246399 box
11998429 1.245483 box
11998529 1.243896 box
11998629 1.246277 box
11998729 1.246765 box
11998829 1.237549 box
11998929 1.246521 box
11999029 1.246460 box
11999129 1.246094 box
11999229 1.245422 box
11999329 1.245117 box
11999429 1.235596 box
11999529 1.246521 box
11999629 1.246460 box
11999729 1.246521 box
11999829 1.248474 box
11999929 1.245667 box
12000029 1.212524 box
12000129 1.243835 box
12000229 1.245911 box
