time(ms) energy(J) hostname
14502746 0.000000 box
14502846 1.396606 box
14502946 1.339233 box
14503046 1.379272 box
14503146 1.310974 box
14503246 1.312927 box
14503346 1.308228 box
14503446 1.305054 box
14503546 1.311462 box
14503646 1.309509 box
14503746 1.308716 box
14503846 1.309143 box
14503946 1.309692 box
14504046 1.306885 box
14504146 1.308960 box
14504246 1.309082 box
14504346 1.304626 box
14504446 1.360107 box
14504546 1.495544 box
14504646 1.496033 box
14504746 1.496460 box
14504846 1.496399 box
14504946 1.495667 box
14505046 1.483154 box
14505146 1.422058 box
14505246 1.420898 box
14505346 1.458862 box
14505446 1.462158 box
14505546 1.469543 box
14505646 1.484741 box
14505746 1.495972 box
14505846 1.498230 box
14505946 1.495911 box
14506046 1.497070 box
14506146 1.495972 box
14506246 1.495667 box
14506346 1.495911 box
14506446 1.497070 box
14506546 1.495300 box
14506646 1.495728 box
14506746 1.495972 box
14506846 1.496277 box
14506946 1.495789 box
14507046 1.496033 box
14507146 1.496277 box
14507246 1.496521 box
14507346 1.495544 box
14507446 1.495239 box
14507546 1.496460 box
14507646 1.495728 box
14507746 1.495850 box
14507846 1.494385 box
14507946 1.500000 box
14508046 1.496460 box
14508146 1.495850 box
14508246 1.495972 box
14508346 1.494873 box
14508446 1.496094 box
14508546 1.496704 box
14508646 1.495544 box
14508746 1.497864 box
14508846 1.495667 box
14508946 1.494080 box
14509046 1.495972 box
14509146 1.496216 box
14509246 1.495239 box
14509346 1.496887 box
14509446 1.495544 box
14509546 1.496582 box
14509646 1.496521 box
14509746 1.494995 box
14509846 1.494934 box
14509946 1.495911 box
14510046 1.497681 box
14510146 1.495667 box
14510246 1.496094 box
14510346 1.495483 box
14510446 1.495911 box
14510546 1.496399 box
14510646 1.496216 box
14510746 1.495361 box
14510846 1.496765 box
14510946 1.495178 box
14511046 1.496399 box
14511146 1.496338 box
14511246 1.495789 box
14511346 1.496704 box
14511446 1.497192 box
14511546 1.493652 box
14511646 1.496582 box
14511746 1.497375 box
14511846 1.494446 box
14511946 1.496887 box
14512046 1.496948 box
14512146 1.494324 box
14512246 1.495972 box
14512346 1.496704 box
14512446 1.495056 box
14512546 1.495789 box
14512646 1.496826 box
14512746 1.496399 box
14512846 1.494507 box
14512946 1.495850 box
14513046 1.497620 box
14513146 1.494873 box
14513246 1.496033 box
14513346 1.496216 box
14513446 1.496460 box
14513546 1.496521 box
14513646 1.496033 box
14513746 1.495544 box
14513846 1.496216 box
14513946 1.496155 box
14514046 1.495972 box
14514146 1.496155 box
14514246 1.496521 box
14514346 1.494812 box
14514446 1.496582 box
14514546 1.495667 box
14514646 1.495422 box
14514746 1.496094 box
14514846 1.496094 box
14514946 1.495605 box
14515046 1.497192 box
14515146 1.494934 box
14515246 1.496948 box
14515346 1.495422 box
14515446 1.496155 box
14515546 1.496460 box
14515646 1.495361 box
14515746 1.496948 box
14515846 1.496216 box
14515946 1.496887 box
14516046 1.494873 box
14516146 1.495850 box
14516246 1.496399 box
14516346 1.495605 box
14516446 1.497742 box
14516546 1.494263 box
14516646 1.496582 box
14516746 1.496765 box
14516846 1.496033 box
14516946 1.495911 box
14517046 1.496216 box
14517146 1.496033 box
14517246 1.495117 box
14517346 1.495422 box
14517446 1.496582 box
14517546 1.496277 box
14517646 1.495178 box
14517746 1.496216 box
14517846 1.495056 box
14517946 1.497620 box
14518046 1.494751 box
14518146 1.496521 box
14518246 1.498718 box
14518346 1.495483 box
14518446 1.495789 box
14518546 1.495544 box
14518646 1.496460 box
14518746 1.496277 box
14518846 1.497131 box
14518946 1.496765 box
14519046 1.495850 box
14519146 1.495483 box
14519246 1.495056 box
14519346 1.497253 box
14519446 1.496460 box
14519546 1.494263 box
14519646 1.496521 box
14519746 1.495850 box
14519846 1.496521 box
14519946 1.496582 box
14520046 1.494690 box
14520146 1.495178 box
14520246 1.497742 box
14520346 1.494385 box
14520446 1.497681 box
14520546 1.496094 box
14520646 1.495117 box
14520746 1.497131 box
14520846 1.495178 box
14520946 1.495605 box
14521046 1.495117 box
14521146 1.496765 box
14521246 1.496460 box
14521346 1.495544 box
14521446 1.496094 box
14521546 1.495850 box
14521646 1.496277 box
14521746 1.496948 box
14521846 1.494751 box
14521946 1.496765 box
14522046 1.494873 box
14522146 1.496643 box
14522246 1.496460 box
14522346 1.495300 box
14522446 1.498047 box
14522546 1.494995 box
14522646 1.494873 box
14522746 1.496338 box
14522846 1.496948 box
14522946 1.495361 box
14523046 1.496155 box
14523146 1.496460 box
14523246 1.496887 box
14523346 1.493164 box
14523446 1.484863 box
14523546 1.437622 box
14523646 1.407166 box
14523746 1.406433 box
14523846 1.402527 box
14523946 1.405029 box
14524046 1.408508 box
14524146 1.410461 box
14524246 1.413330 box
14524346 1.405701 box
14524446 1.411072 box
14524546 1.409790 box
14524646 1.407593 box
14524746 1.398804 box
14524846 1.397400 box
14524946 1.391724 box
14525046 1.388672 box
14525146 1.389038 box
14525246 1.381226 box
14525346 1.383789 box
14525446 1.367981 box
14525546 1.372314 box
14525646 1.368286 box
14525746 1.363281 box
14525846 1.361938 box
14525946 1.353516 box
14526046 1.351624 box
14526146 1.353943 box
14526246 1.346313 box
14526346 1.347778 box
14526446 1.346558 box
14526546 1.344604 box
14526646 1.348755 box
14526746 1.349487 box
14526846 1.348572 box
14526946 1.346558 box
14527046 1.347107 box
14527146 1.348816 box
14527246 1.346802 box
14527346 1.348755 box
14527446 1.348572 box
14527546 1.337646 box
14527646 1.332703 box
14527746 1.330261 box
14527846 1.327698 box
14527946 1.328613 box
14528046 1.331116 box
14528146 1.332764 box
14528246 1.329407 box
14528346 1.323669 box
14528446 1.322510 box
14528546 1.324829 box
14528646 1.347778 box
14528746 1.439026 box
14528846 1.466797 box
14528946 1.465637 box
14529046 1.456665 box
14529146 1.458862 box
14529246 1.457153 box
14529346 1.472290 box
14529446 1.494629 box
14529546 1.496765 box
14529646 1.497192 box
14529746 1.495789 box
14529846 1.495178 box
14529946 1.496521 box
14530046 1.495544 box
14530146 1.494812 box
14530246 1.497925 box
14530346 1.496277 box
14530446 1.497009 box
14530546 1.494934 box
14530646 1.496277 box
14530746 1.481140 box
14530846 1.497681 box
14530946 1.496399 box
14531046 1.498901 box
14531146 1.495483 box
14531246 1.496094 box
14531346 1.495667 box
14531446 1.496338 box
14531546 1.496216 box
14531646 1.491760 box
14531746 1.496094 box
14531846 1.496582 box
14531946 1.485718 box
14532046 1.397400 box
14532146 1.403564 box
14532246 1.404297 box
14532346 1.406738 box
14532446 1.422241 box
14532546 1.421204 box
14532646 1.338989 box
14532746 1.427734 box
14532846 1.429382 box
14532946 1.431824 box
14533046 1.429810 box
14533146 1.428589 box
14533246 1.294495 box
14533346 1.400940 box
14533446 1.428467 box
14533546 1.429749 box
14533646 1.428528 box
14533746 1.430664 box
14533846 1.340149 box
14533946 1.353638 box
14534046 1.427551 box
14534146 1.429016 box
14534246 1.429749 box
14534346 1.427429 box
14534446 1.408142 box
14534546 1.264648 box
14534646 1.409607 box
14534746 1.411682 box
14534846 1.412903 box
14534946 1.467407 box
14535046 1.496460 box
14535146 1.453369 box
14535246 1.488647 box
14535346 1.495300 box
14535446 1.496033 box
14535546 1.485596 box
14535646 1.427307 box
14535746 1.365479 box
14535846 1.329346 box
14535946 1.427734 box
14536046 1.426636 box
