time(ms) function_name moment
56017625 MPI_Allreduce 0
56017625 MPI_Allreduce 1
56017625 MPI_Bcast 0
56017625 MPI_Bcast 1
56017625 MPI_Bcast 0
56017625 MPI_Bcast 1
56017625 MPI_Allreduce 0
56017625 MPI_Allreduce 1
56017625 MPI_Allreduce 0
56017625 MPI_Allreduce 1
56017625 MPI_Allgather 0
56017625 MPI_Allgather 1
56017661 MPI_Allgather 0
56017661 MPI_Allgather 1
56017661 MPI_Allgather 0
56017661 MPI_Allgather 1
56023259 MPI_Allreduce 0
56023259 MPI_Allreduce 1
56050236 MPI_Allreduce 0
56050236 MPI_Allreduce 1
56050505 MPI_Allreduce 0
56050507 MPI_Allreduce 1
56050507 MPI_Send 0
56050507 MPI_Send 1
56050507 MPI_Wait 0
56050507 MPI_Wait 1
56050507 MPI_Send 0
56050507 MPI_Send 1
56050507 MPI_Wait 0
56050507 MPI_Wait 1
56050507 MPI_Send 0
56050508 MPI_Send 1
56050508 MPI_Wait 0
56050508 MPI_Wait 1
56050511 MPI_Allreduce 0
56050511 MPI_Allreduce 1
56050511 MPI_Allreduce 0
56050511 MPI_Allreduce 1
56050511 MPI_Allreduce 0
56050511 MPI_Allreduce 1
56050614 MPI_Send 0
56050614 MPI_Send 1
56050614 MPI_Wait 0
56050614 MPI_Wait 1
56051185 MPI_Allreduce 0
56051185 MPI_Allreduce 1
56051215 MPI_Send 0
56051215 MPI_Send 1
56051215 MPI_Wait 0
56051215 MPI_Wait 1
56051757 MPI_Allreduce 0
56051758 MPI_Allreduce 1
56051826 MPI_Allreduce 0
56051826 MPI_Allreduce 1
56051856 MPI_Send 0
56051856 MPI_Send 1
56051856 MPI_Wait 0
56051856 MPI_Wait 1
56052398 MPI_Allreduce 0
56052399 MPI_Allreduce 1
56052467 MPI_Allreduce 0
56052467 MPI_Allreduce 1
56052496 MPI_Send 0
56052497 MPI_Send 1
56052497 MPI_Wait 0
56052497 MPI_Wait 1
56053038 MPI_Allreduce 0
56053040 MPI_Allreduce 1
56053107 MPI_Allreduce 0
56053107 MPI_Allreduce 1
56053137 MPI_Send 0
56053137 MPI_Send 1
56053137 MPI_Wait 0
56053137 MPI_Wait 1
56053679 MPI_Allreduce 0
56053680 MPI_Allreduce 1
56053747 MPI_Allreduce 0
56053748 MPI_Allreduce 1
56053774 MPI_Send 0
56053774 MPI_Send 1
56053774 MPI_Wait 0
56053774 MPI_Wait 1
56054318 MPI_Allreduce 0
56054318 MPI_Allreduce 1
56054385 MPI_Allreduce 0
56054385 MPI_Allreduce 1
56054415 MPI_Send 0
56054415 MPI_Send 1
56054415 MPI_Wait 0
56054415 MPI_Wait 1
56054957 MPI_Allreduce 0
56054959 MPI_Allreduce 1
56055026 MPI_Allreduce 0
56055026 MPI_Allreduce 1
56055056 MPI_Send 0
56055056 MPI_Send 1
56055056 MPI_Wait 0
56055056 MPI_Wait 1
56055598 MPI_Allreduce 0
56055599 MPI_Allreduce 1
56055667 MPI_Allreduce 0
56055667 MPI_Allreduce 1
56055697 MPI_Send 0
56055697 MPI_Send 1
56055697 MPI_Wait 0
56055697 MPI_Wait 1
56056238 MPI_Allreduce 0
56056240 MPI_Allreduce 1
56056307 MPI_Allreduce 0
56056307 MPI_Allreduce 1
56056337 MPI_Send 0
56056337 MPI_Send 1
56056337 MPI_Wait 0
56056337 MPI_Wait 1
56056879 MPI_Allreduce 0
56056880 MPI_Allreduce 1
56056948 MPI_Allreduce 0
56056948 MPI_Allreduce 1
56056977 MPI_Send 0
56056978 MPI_Send 1
56056978 MPI_Wait 0
56056978 MPI_Wait 1
56057517 MPI_Allreduce 0
56057517 MPI_Allreduce 1
56057583 MPI_Allreduce 0
56057583 MPI_Allreduce 1
56057613 MPI_Send 0
56057613 MPI_Send 1
56057613 MPI_Wait 0
56057613 MPI_Wait 1
56058154 MPI_Allreduce 0
56058155 MPI_Allreduce 1
56058223 MPI_Allreduce 0
56058223 MPI_Allreduce 1
56058253 MPI_Send 0
56058253 MPI_Send 1
56058253 MPI_Wait 0
56058253 MPI_Wait 1
56058795 MPI_Allreduce 0
56058796 MPI_Allreduce 1
56058864 MPI_Allreduce 0
56058864 MPI_Allreduce 1
56058893 MPI_Send 0
56058894 MPI_Send 1
56058894 MPI_Wait 0
