time(ms) energy(J) hostname
55530438 0.000000 box
55530538 1.045898 box
55530638 1.043579 box
55530738 1.045837 box
55530838 1.046448 box
55530938 1.046753 box
55531038 1.045654 box
55531138 1.047485 box
55531238 1.045532 box
55531338 1.046326 box
55531438 1.046204 box
55531538 1.046387 box
55531638 1.045837 box
55531738 1.046692 box
55531838 1.046570 box
55531938 1.046265 box
55532038 1.046326 box
55532138 1.048157 box
55532238 1.049194 box
55532338 1.046387 box
55532438 1.036133 box
55532538 1.055481 box
55532638 1.036865 box
55532738 1.046570 box
55532838 1.043640 box
55532938 1.055481 box
55533038 1.045837 box
55533138 1.050720 box
55533238 1.046814 box
55533338 1.047424 box
55533438 1.049500 box
55533538 1.046570 box
55533638 1.045715 box
55533738 1.046631 box
55533838 1.046204 box
55533938 1.042358 box
55534038 1.046936 box
55534138 1.046692 box
55534238 1.045349 box
55534338 1.046387 box
55534438 1.046143 box
55534538 1.046509 box
55534638 1.046753 box
55534738 1.046448 box
55534838 1.046143 box
55534938 1.046448 box
55535038 1.045776 box
55535138 1.046936 box
55535238 1.046326 box
55535338 1.045715 box
55535438 1.047180 box
55535538 1.044434 box
55535638 1.046509 box
55535738 1.046631 box
55535838 1.046021 box
55535938 1.036072 box
55536038 1.053101 box
55536138 1.051697 box
55536238 1.046814 box
55536338 1.045044 box
55536438 1.036926 box
55536538 1.045776 box
55536638 1.056458 box
55536738 1.046875 box
55536838 1.036438 box
55536938 1.046692 box
55537038 1.056274 box
55537138 1.046204 box
55537238 1.046387 box
55537338 1.035950 box
55537438 1.055664 box
55537538 1.046448 box
55537638 1.046265 box
55537738 1.045898 box
55537838 1.047363 box
55537938 1.046753 box
55538038 1.035645 box
55538138 1.046692 box
55538238 1.045898 box
55538338 1.056396 box
55538438 1.045898 box
55538538 1.036072 box
55538638 1.046387 box
55538738 1.055847 box
55538838 1.035400 box
55538938 1.057312 box
55539038 1.047363 box
55539138 1.033752 box
55539238 1.058228 box
55539338 1.034851 box
55539438 1.046326 box
55539538 1.046509 box
55539638 1.057861 box
55539738 1.033752 box
55539838 1.058899 box
55539938 1.034119 box
55540038 1.058350 box
55540138 1.046509 box
55540238 1.045776 box
55540338 1.036316 box
55540438 1.046021 box
55540538 1.046204 box
55540638 1.045959 box
55540738 1.046326 box
55540838 1.057800 box
55540938 1.034851 box
55541038 1.056580 box
55541138 1.036255 box
55541238 1.046997 box
55541338 1.056091 box
55541438 1.045532 box
55541538 1.036133 box
55541638 1.046753 box
55541738 1.056335 box
55541838 1.036438 box
55541938 1.055908 box
55542038 1.036133 box
55542138 1.057007 box
55542238 1.046082 box
55542338 1.036926 box
55542438 1.055664 box
55542538 1.036560 box
55542638 1.046265 box
55542738 1.055969 box
55542838 1.037048 box
55542938 1.046143 box
55543038 1.055908 box
55543138 1.036011 box
55543238 1.046997 box
55543338 1.056030 box
55543438 1.036377 box
55543538 1.045837 box
55543638 1.045776 box
55543738 1.056030 box
55543838 1.046143 box
55543938 1.045654 box
55544038 1.046448 box
55544138 1.037659 box
55544238 1.045898 box
55544338 1.045959 box
55544438 1.056641 box
55544538 1.036682 box
55544638 1.055542 box
55544738 1.036926 box
55544838 1.045715 box
55544938 1.046570 box
55545038 1.045410 box
55545138 1.046692 box
55545238 1.055969 box
55545338 1.036194 box
55545438 1.046692 box
55545538 1.054993 box
55545638 1.046570 box
