time(ms) energy(J) hostname
63709589 0.000000 box
63709689 1.297363 box
63709789 1.271423 box
63709889 1.279907 box
63709989 1.262390 box
63710089 1.267212 box
63710189 1.268799 box
63710289 1.296875 box
63710389 1.295959 box
63710489 1.299072 box
63710589 1.298035 box
63710689 1.295959 box
63710789 1.296082 box
63710889 1.295715 box
63710989 1.296814 box
63711089 1.297607 box
63711189 1.296753 box
63711289 1.296082 box
63711389 1.296265 box
63711489 1.295837 box
63711589 1.295288 box
63711689 1.297302 box
63711789 1.293091 box
63711889 1.296631 box
63711989 1.298584 box
63712089 1.294922 box
63712189 1.297302 box
63712289 1.299866 box
63712389 1.296204 box
63712489 1.296875 box
63712589 1.295654 box
63712689 1.296387 box
63712789 1.295837 box
63712889 1.297241 box
63712989 1.296143 box
63713089 1.297180 box
63713189 1.296509 box
63713289 1.295593 box
63713389 1.297058 box
63713489 1.296692 box
63713589 1.295532 box
63713689 1.296204 box
63713789 1.296204 box
63713889 1.295837 box
63713989 1.296692 box
63714089 1.296814 box
63714189 1.295410 box
63714289 1.295471 box
63714389 1.296387 box
63714489 1.296448 box
63714589 1.296265 box
63714689 1.294556 box
63714789 1.299072 box
63714889 1.296814 box
63714989 1.296082 box
63715089 1.294495 box
63715189 1.295593 box
63715289 1.297119 box
63715389 1.295410 box
63715489 1.296753 box
63715589 1.296387 box
63715689 1.295776 box
63715789 1.295959 box
63715889 1.296875 box
63715989 1.295837 box
63716089 1.295227 box
63716189 1.296692 box
63716289 1.295776 box
63716389 1.295471 box
63716489 1.295288 box
63716589 1.297302 box
63716689 1.295166 box
63716789 1.296082 box
63716889 1.295410 box
63716989 1.296509 box
63717089 1.296692 box
63717189 1.295776 box
63717289 1.296204 box
63717389 1.296875 box
63717489 1.296204 box
63717589 1.295166 box
63717689 1.295898 box
63717789 1.295288 box
63717889 1.296692 box
63717989 1.296021 box
63718089 1.295288 box
63718189 1.296204 box
63718289 1.295288 box
63718389 1.296997 box
63718489 1.296143 box
63718589 1.294922 box
63718689 1.296082 box
63718789 1.295898 box
63718889 1.297729 box
63718989 1.295471 box
63719089 1.295349 box
63719189 1.297180 box
63719289 1.296021 box
63719389 1.296692 box
63719489 1.296204 box
63719589 1.296082 box
63719689 1.295837 box
63719789 1.296265 box
63719889 1.296570 box
63719989 1.295349 box
63720089 1.295837 box
63720189 1.297302 box
63720289 1.295105 box
63720389 1.296875 box
63720489 1.295593 box
63720589 1.296387 box
63720689 1.295654 box
63720789 1.297241 box
63720889 1.295410 box
63720989 1.296448 box
63721089 1.296875 box
63721189 1.295410 box
63721289 1.295898 box
63721389 1.296143 box
63721489 1.294861 box
63721589 1.297119 box
63721689 1.296082 box
63721789 1.295654 box
63721889 1.297852 box
63721989 1.294373 box
63722089 1.296814 box
63722189 1.295105 box
63722289 1.295898 box
63722389 1.297485 box
63722489 1.295776 box
63722589 1.295288 box
63722689 1.297058 box
63722789 1.294861 box
63722889 1.297302 box
63722989 1.295593 box
63723089 1.295654 box
63723189 1.295288 box
63723289 1.296326 box
63723389 1.297058 box
63723489 1.294800 box
63723589 1.295410 box
63723689 1.296326 box
63723789 1.297363 box
63723889 1.296326 box
63723989 1.295044 box
63724089 1.296570 box
63724189 1.295898 box
63724289 1.296631 box
63724389 1.296509 box
63724489 1.295654 box
63724589 1.296814 box
63724689 1.295227 box
63724789 1.296082 box
63724889 1.296509 box
63724989 1.296387 box
63725089 1.295166 box
63725189 1.295837 box
63725289 1.294800 box
63725389 1.297729 box
63725489 1.295410 box
63725589 1.296692 box
63725689 1.294739 box
63725789 1.296265 box
63725889 1.297119 box
63725989 1.295532 box
