time(ms) function_name moment
51695135 MPI_Allreduce 0
51695135 MPI_Allreduce 1
51695135 MPI_Bcast 0
51695135 MPI_Bcast 1
51695135 MPI_Bcast 0
51695135 MPI_Bcast 1
51695135 MPI_Allreduce 0
51695135 MPI_Allreduce 1
51695136 MPI_Allreduce 0
51695136 MPI_Allreduce 1
51695136 MPI_Allgather 0
51695136 MPI_Allgather 1
51695172 MPI_Allgather 0
51695172 MPI_Allgather 1
51695172 MPI_Allgather 0
51695172 MPI_Allgather 1
51700283 MPI_Allreduce 0
51700283 MPI_Allreduce 1
51725018 MPI_Allreduce 0
51725228 MPI_Allreduce 1
51725505 MPI_Allreduce 0
51725505 MPI_Allreduce 1
51725506 MPI_Send 0
51725506 MPI_Send 1
51725506 MPI_Wait 0
51725506 MPI_Wait 1
51725506 MPI_Send 0
51725506 MPI_Send 1
51725506 MPI_Wait 0
51725506 MPI_Wait 1
51725506 MPI_Send 0
51725506 MPI_Send 1
51725506 MPI_Wait 0
51725506 MPI_Wait 1
51725509 MPI_Allreduce 0
51725509 MPI_Allreduce 1
51725509 MPI_Allreduce 0
51725509 MPI_Allreduce 1
51725509 MPI_Allreduce 0
51725509 MPI_Allreduce 1
51725613 MPI_Send 0
51725614 MPI_Send 1
51725614 MPI_Wait 0
51725614 MPI_Wait 1
51726183 MPI_Allreduce 0
51726184 MPI_Allreduce 1
51726214 MPI_Send 0
51726214 MPI_Send 1
51726214 MPI_Wait 0
51726214 MPI_Wait 1
51726755 MPI_Allreduce 0
51726756 MPI_Allreduce 1
51726824 MPI_Allreduce 0
51726824 MPI_Allreduce 1
51726853 MPI_Send 0
51726853 MPI_Send 1
51726853 MPI_Wait 0
51726853 MPI_Wait 1
51727394 MPI_Allreduce 0
51727396 MPI_Allreduce 1
51727463 MPI_Allreduce 0
51727463 MPI_Allreduce 1
51727493 MPI_Send 0
51727493 MPI_Send 1
51727493 MPI_Wait 0
51727493 MPI_Wait 1
51728034 MPI_Allreduce 0
51728035 MPI_Allreduce 1
51728103 MPI_Allreduce 0
51728103 MPI_Allreduce 1
51728133 MPI_Send 0
51728133 MPI_Send 1
51728133 MPI_Wait 0
51728133 MPI_Wait 1
