time(ms) energy(J) hostname
42221133 0.000000 box
42221233 1.396667 box
42221333 1.334839 box
42221433 1.418152 box
42221533 1.413208 box
42221633 1.332092 box
42221733 1.311951 box
42221833 1.306030 box
42221933 1.307861 box
42222033 1.308533 box
42222133 1.307556 box
42222233 1.307983 box
42222333 1.311646 box
42222433 1.307068 box
42222533 1.309265 box
42222633 1.306641 box
42222733 1.307800 box
42222833 1.349854 box
42222933 1.449219 box
42223033 1.447083 box
42223133 1.446350 box
42223233 1.446411 box
42223333 1.446350 box
42223433 1.441345 box
42223533 1.413879 box
42223633 1.445190 box
42223733 1.447571 box
42223833 1.446594 box
42223933 1.446411 box
42224033 1.449890 box
42224133 1.445679 box
42224233 1.446167 box
42224333 1.446899 box
42224433 1.445312 box
42224533 1.446655 box
42224633 1.445862 box
42224733 1.446472 box
42224833 1.445862 box
42224933 1.446167 box
42225033 1.445984 box
42225133 1.446228 box
42225233 1.446411 box
42225333 1.446472 box
42225433 1.445862 box
42225533 1.446228 box
42225633 1.445862 box
42225733 1.446106 box
42225833 1.446289 box
42225933 1.444824 box
42226033 1.445984 box
42226133 1.446045 box
42226233 1.445862 box
42226333 1.444824 box
42226433 1.449402 box
42226533 1.447449 box
42226633 1.445496 box
42226733 1.445984 box
42226833 1.443909 box
42226933 1.446899 box
42227033 1.445251 box
42227133 1.446228 box
42227233 1.446716 box
42227333 1.445862 box
42227433 1.446228 box
42227533 1.446838 box
42227633 1.444580 box
42227733 1.447449 box
42227833 1.445007 box
42227933 1.447021 box
42228033 1.444885 box
42228133 1.446960 box
42228233 1.445374 box
42228333 1.446167 box
42228433 1.446960 box
42228533 1.445068 box
42228633 1.447144 box
42228733 1.445618 box
42228833 1.446106 box
42228933 1.446045 box
42229033 1.445374 box
42229133 1.446716 box
42229233 1.444458 box
42229333 1.446899 box
42229433 1.445068 box
42229533 1.446289 box
42229633 1.445984 box
42229733 1.446167 box
42229833 1.445984 box
42229933 1.447144 box
42230033 1.445190 box
42230133 1.446411 box
42230233 1.447021 box
42230333 1.444885 box
42230433 1.446106 box
42230533 1.445496 box
42230633 1.446838 box
42230733 1.446167 box
42230833 1.444885 box
42230933 1.447632 box
42231033 1.444031 box
42231133 1.446716 box
42231233 1.446960 box
42231333 1.445496 box
42231433 1.446045 box
42231533 1.446960 box
42231633 1.446594 box
42231733 1.446106 box
42231833 1.445679 box
42231933 1.445557 box
42232033 1.446350 box
42232133 1.444763 box
42232233 1.447144 box
42232333 1.445801 box
42232433 1.446899 box
42232533 1.446045 box
42232633 1.446045 box
42232733 1.445496 box
42232833 1.445557 box
42232933 1.447327 box
42233033 1.445374 box
42233133 1.446899 box
42233233 1.445374 box
42233333 1.446228 box
42233433 1.445557 box
42233533 1.446777 box
42233633 1.444946 box
42233733 1.446472 box
42233833 1.449341 box
42233933 1.445374 box
42234033 1.445862 box
42234133 1.445312 box
42234233 1.446716 box
42234333 1.446289 box
42234433 1.447144 box
42234533 1.445007 box
42234633 1.446350 box
42234733 1.446228 box
42234833 1.445923 box
42234933 1.445618 box
42235033 1.445618 box
42235133 1.446411 box
42235233 1.446350 box
42235333 1.444885 box
42235433 1.446289 box
42235533 1.446655 box
42235633 1.445923 box
42235733 1.445374 box
42235833 1.447266 box
42235933 1.445557 box
42236033 1.446045 box
42236133 1.445801 box
42236233 1.444885 box
42236333 1.446228 box
42236433 1.445923 box
42236533 1.447144 box
42236633 1.446045 box
42236733 1.446106 box
42236833 1.445862 box
42236933 1.446106 box
42237033 1.445312 box
42237133 1.446838 box
42237233 1.445984 box
42237333 1.446655 box
42237433 1.446045 box
42237533 1.445190 box
42237633 1.447815 box
42237733 1.444458 box
42237833 1.446594 box
42237933 1.446960 box
42238033 1.445129 box
42238133 1.445190 box
42238233 1.445984 box
42238333 1.447083 box
42238433 1.446228 box
42238533 1.446167 box
42238633 1.446106 box
42238733 1.445129 box
42238833 1.445740 box
42238933 1.446045 box
42239033 1.447021 box
42239133 1.446411 box
42239233 1.445435 box
42239333 1.445801 box
42239433 1.445557 box
42239533 1.447754 box
42239633 1.444702 box
42239733 1.447693 box
42239833 1.444336 box
42239933 1.445801 box
42240033 1.446838 box
42240133 1.445679 box
42240233 1.446838 box
42240333 1.446045 box
42240433 1.446472 box
42240533 1.446716 box
42240633 1.446289 box
42240733 1.445618 box
42240833 1.445190 box
42240933 1.447571 box
42241033 1.445007 box
42241133 1.444885 box
42241233 1.446899 box
42241333 1.444824 box
42241433 1.446167 box
42241533 1.446533 box
42241633 1.445251 box
42241733 1.445679 box
42241833 1.447876 box
42241933 1.445557 box
42242033 1.443176 box
42242133 1.444763 box
42242233 1.418274 box
42242333 1.396667 box
42242433 1.392944 box
42242533 1.390991 box
42242633 1.394714 box
42242733 1.396851 box
42242833 1.391907 box
42242933 1.396423 box
42243033 1.394470 box
42243133 1.398193 box
42243233 1.397644 box
42243333 1.393066 box
42243433 1.394287 box
