time(ms) energy(J) hostname
59999968 0.000000 box
60000068 1.211609 box
60000168 1.351807 box
60000268 1.433350 box
60000368 1.365173 box
60000468 1.309204 box
60000568 1.315674 box
60000668 1.314392 box
60000768 1.309509 box
60000868 1.310303 box
60000968 1.313599 box
60001068 1.313965 box
60001168 1.309082 box
60001268 1.311646 box
60001368 1.310364 box
60001468 1.311646 box
60001568 1.310425 box
60001668 1.344788 box
60001768 1.493286 box
60001868 1.496704 box
60001968 1.495972 box
60002068 1.496460 box
60002168 1.496277 box
60002268 1.494873 box
60002368 1.409058 box
60002468 1.399536 box
60002568 1.436951 box
60002668 1.465820 box
60002768 1.474365 box
60002868 1.483643 box
60002968 1.498413 box
60003068 1.496094 box
60003168 1.496460 box
60003268 1.496643 box
60003368 1.495300 box
60003468 1.496582 box
60003568 1.495483 box
60003668 1.497009 box
60003768 1.496216 box
60003868 1.496216 box
60003968 1.495239 box
60004068 1.496582 box
60004168 1.496216 box
60004268 1.495483 box
60004368 1.496521 box
60004468 1.495789 box
60004568 1.496582 box
60004668 1.494263 box
60004768 1.496094 box
60004868 1.496704 box
60004968 1.495789 box
60005068 1.496338 box
60005168 1.496826 box
60005268 1.496826 box
60005368 1.495789 box
60005468 1.495422 box
60005568 1.495056 box
60005668 1.496277 box
60005768 1.496399 box
60005868 1.496948 box
60005968 1.495850 box
60006068 1.496033 box
60006168 1.495178 box
60006268 1.496094 box
60006368 1.496521 box
60006468 1.496399 box
60006568 1.495911 box
60006668 1.497253 box
60006768 1.494141 box
60006868 1.496948 box
60006968 1.496399 box
60007068 1.495422 box
60007168 1.495178 box
60007268 1.497253 box
60007368 1.494995 box
60007468 1.495972 box
60007568 1.495667 box
60007668 1.495605 box
60007768 1.496704 box
60007868 1.496582 box
60007968 1.495850 box
60008068 1.496399 box
60008168 1.496704 box
60008268 1.495911 box
60008368 1.496948 box
60008468 1.494751 box
60008568 1.496643 box
60008668 1.495483 box
60008768 1.495911 box
60008868 1.496826 box
60008968 1.496460 box
60009068 1.495544 box
60009168 1.496643 box
60009268 1.495667 box
60009368 1.495789 box
60009468 1.496765 box
60009568 1.496277 box
60009668 1.496277 box
60009768 1.495544 box
60009868 1.497070 box
60009968 1.495544 box
60010068 1.497314 box
60010168 1.494690 box
60010268 1.496521 box
60010368 1.494812 box
60010468 1.496399 box
60010568 1.496460 box
60010668 1.495850 box
60010768 1.497681 box
60010868 1.495667 box
60010968 1.495972 box
60011068 1.495605 box
60011168 1.496582 box
60011268 1.495728 box
60011368 1.497009 box
60011468 1.494751 box
60011568 1.497009 box
60011668 1.495789 box
60011768 1.495667 box
60011868 1.495911 box
60011968 1.496277 box
60012068 1.495728 box
60012168 1.495422 box
60012268 1.496094 box
60012368 1.498535 box
60012468 1.495667 box
60012568 1.495239 box
60012668 1.495605 box
60012768 1.497803 box
60012868 1.495300 box
60012968 1.496582 box
60013068 1.496033 box
60013168 1.494751 box
60013268 1.499329 box
60013368 1.495789 box
60013468 1.496704 box
60013568 1.495178 box
60013668 1.496704 box
60013768 1.496094 box
60013868 1.497131 box
60013968 1.496338 box
60014068 1.495483 box
60014168 1.495728 box
60014268 1.496948 box
60014368 1.496033 box
60014468 1.495117 box
60014568 1.496948 box
60014668 1.495422 box
60014768 1.495667 box
60014868 1.497437 box
60014968 1.495483 box
60015068 1.496582 box
60015168 1.495239 box
60015268 1.496582 box
60015368 1.495361 box
60015468 1.496521 box
60015568 1.495789 box
60015668 1.496582 box
60015768 1.495056 box
60015868 1.497375 box
60015968 1.496094 box
60016068 1.495789 box
60016168 1.497253 box
60016268 1.495544 box
60016368 1.496399 box
60016468 1.495056 box
60016568 1.496399 box
60016668 1.496887 box
60016768 1.495850 box
60016868 1.494690 box
60016968 1.496460 box
60017068 1.496887 box
60017168 1.496887 box
60017268 1.496338 box
60017368 1.496033 box
60017468 1.496094 box
60017568 1.495850 box
60017668 1.495728 box
60017768 1.496033 box
60017868 1.497192 box
60017968 1.495789 box
60018068 1.495300 box
